trial_type,arrow_1,arrow_2,corrAns,jitter,run_end_fixation,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,key_response.keys,key_response.corr,key_response.rt,trial_t.routineEndVal,ss_delay,iti_duration,SOA,participant,prac_or_scan,handedness,run,date,expName,psychopyVersion,frameRate,
go,sst_images/Left_Arrow.BMP,None,1,760,None,0,10,10,10,1,1,0.37596787797519937,go,0.1,0.76,1.76,019,Practice,R,2,2019_Aug_31_1449,SST,3.0.7,59.99599549173945,
stop,sst_images/Left_Arrow.BMP,sst_images/Stop_Arrow.BMP,none,880,None,0,11,11,11,None,1,,stop,0.15000000000000002,0.88,1.8800000000000001,019,Practice,R,2,2019_Aug_31_1449,SST,3.0.7,59.99599549173945,
go,sst_images/Right_Arrow.BMP,None,2,730,None,0,12,12,12,2,1,0.3573637990048155,go,0.15000000000000002,0.73,1.73,019,Practice,R,2,2019_Aug_31_1449,SST,3.0.7,59.99599549173945,
go,sst_images/Left_Arrow.BMP,None,1,910,None,0,13,13,13,1,1,0.49512000498361886,go,0.15000000000000002,0.91,1.9100000000000001,019,Practice,R,2,2019_Aug_31_1449,SST,3.0.7,59.99599549173945,
go,sst_images/Left_Arrow.BMP,None,1,955,None,0,14,14,14,1,1,0.4380552860093303,go,0.15000000000000002,0.955,1.955,019,Practice,R,2,2019_Aug_31_1449,SST,3.0.7,59.99599549173945,
go,sst_images/Left_Arrow.BMP,None,1,1045,None,0,15,15,15,1,1,0.39017832098761573,go,0.15000000000000002,1.045,2.045,019,Practice,R,2,2019_Aug_31_1449,SST,3.0.7,59.99599549173945,
go,sst_images/Right_Arrow.BMP,None,2,1045,None,0,16,16,16,2,1,0.3267501119989902,go,0.15000000000000002,1.045,2.045,019,Practice,R,2,2019_Aug_31_1449,SST,3.0.7,59.99599549173945,
go,sst_images/Left_Arrow.BMP,None,1,985,None,0,17,17,17,1,1,0.4931219670106657,go,0.15000000000000002,0.985,1.9849999999999999,019,Practice,R,2,2019_Aug_31_1449,SST,3.0.7,59.99599549173945,
stop,sst_images/Left_Arrow.BMP,sst_images/Stop_Arrow.BMP,none,760,None,0,18,18,18,1,0,0.3250313790049404,stop,0.10000000000000002,0.76,1.8849686209950598,019,Practice,R,2,2019_Aug_31_1449,SST,3.0.7,59.99599549173945,
go,sst_images/Left_Arrow.BMP,None,1,775,None,0,19,19,19,1,1,0.3919490080443211,go,0.10000000000000002,0.775,1.775,019,Practice,R,2,2019_Aug_31_1449,SST,3.0.7,59.99599549173945,
go,sst_images/Right_Arrow.BMP,None,2,1015,None,0,20,20,20,2,1,0.30789149401243776,go,0.10000000000000002,1.015,2.0149999999999997,019,Practice,R,2,2019_Aug_31_1449,SST,3.0.7,59.99599549173945,
go,sst_images/Left_Arrow.BMP,None,1,760,None,0,21,21,21,1,1,0.37165227998048067,go,0.10000000000000002,0.76,1.76,019,Practice,R,2,2019_Aug_31_1449,SST,3.0.7,59.99599549173945,
stop,sst_images/Right_Arrow.BMP,sst_images/Stop_Arrow.BMP,none,985,None,0,22,22,22,2,0,0.35683762503322214,stop,0.05000000000000002,0.985,2.0281623749667776,019,Practice,R,2,2019_Aug_31_1449,SST,3.0.7,59.99599549173945,
go,sst_images/Right_Arrow.BMP,None,2,715,None,0,23,23,23,2,1,0.3599279159680009,go,0.05000000000000002,0.715,1.7149999999999999,019,Practice,R,2,2019_Aug_31_1449,SST,3.0.7,59.99599549173945,
go,sst_images/Left_Arrow.BMP,None,1,745,3264.0,0,24,24,24,1,1,0.44047593604773283,go,0.05000000000000002,0.745,1.745,019,Practice,R,2,2019_Aug_31_1449,SST,3.0.7,59.99599549173945,
