trial_type,arrow_1,arrow_2,corrAns,jitter,run_end_fixation,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,randomized TrialOrder,key_response.keys,key_response.corr,key_response.rt,trial_t.routineEndVal,ss_delay,iti_duration,SOA,participant,prac_or_scan,handedness,run,date,expName,psychopyVersion,frameRate,
go,sst_images/Left_Arrow.bmp,None,1,813,None,0,170,170,170,,1,1,0.5897652500134427,go,0.25,0.813,1.813,033,Scanner,R,1,2019_Aug_27_1231,SST,3.0.7,24.021469409648734,
stop,sst_images/Right_Arrow.bmp,sst_images/Stop_Arrow.bmp,none,783,None,0,171,171,171,,2,0,0.44987066101748496,stop,0.2,0.783,1.883129338982515,033,Scanner,R,1,2019_Aug_27_1231,SST,3.0.7,24.021469409648734,
go,sst_images/Right_Arrow.bmp,None,2,931,None,0,172,172,172,,2,1,0.5048786870029289,go,0.2,0.931,1.931,033,Scanner,R,1,2019_Aug_27_1231,SST,3.0.7,24.021469409648734,
go,sst_images/Right_Arrow.bmp,None,2,946,None,0,173,173,173,,2,1,0.5476159889949486,go,0.2,0.946,1.946,033,Scanner,R,1,2019_Aug_27_1231,SST,3.0.7,24.021469409648734,
go,sst_images/Right_Arrow.bmp,None,2,800,None,0,174,174,174,,2,1,0.5864816689863801,go,0.2,0.8,1.8,033,Scanner,R,1,2019_Aug_27_1231,SST,3.0.7,24.021469409648734,
go,sst_images/Left_Arrow.bmp,None,1,962,None,0,175,175,175,,1,1,0.6713878419832326,go,0.2,0.962,1.962,033,Scanner,R,1,2019_Aug_27_1231,SST,3.0.7,24.021469409648734,
go,sst_images/Right_Arrow.bmp,None,2,740,None,0,176,176,176,,2,1,0.630741978995502,go,0.2,0.74,1.74,033,Scanner,R,1,2019_Aug_27_1231,SST,3.0.7,24.021469409648734,
go,sst_images/Left_Arrow.bmp,None,1,758,None,0,177,177,177,,1,1,0.5441534479905386,go,0.2,0.758,1.758,033,Scanner,R,1,2019_Aug_27_1231,SST,3.0.7,24.021469409648734,
stop,sst_images/Left_Arrow.bmp,sst_images/Stop_Arrow.bmp,none,798,None,0,178,178,178,,None,1,,stop,0.25,0.798,1.798,033,Scanner,R,1,2019_Aug_27_1231,SST,3.0.7,24.021469409648734,
go,sst_images/Right_Arrow.bmp,None,2,737,2661.0,0,179,179,179,,2,1,0.587262565997662,go,0.25,0.737,1.737,033,Scanner,R,1,2019_Aug_27_1231,SST,3.0.7,24.021469409648734,
