trial_type,arrow_1,arrow_2,corrAns,jitter,run_end_fixation,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,randomized TrialOrder,key_response.keys,key_response.corr,trial_t.routineEndVal,ss_delay,iti_duration,SOA,key_response.rt,participant,prac_or_scan,handedness,run,date,expName,psychopyVersion,frameRate,
go,sst_images/Left_Arrow.bmp,None,1,871,None,0,15,15,15,,1,1,go,0.2,0.871,1.871,0.6299419259885326,0042,Scanner,L,2,2019_Aug_21_1254,SST,3.0.7,24.014252054961027,
go,sst_images/Left_Arrow.bmp,None,1,1238,None,0,16,16,16,,1,1,go,0.2,1.238,2.238,0.6712149170052726,0042,Scanner,L,2,2019_Aug_21_1254,SST,3.0.7,24.014252054961027,
go,sst_images/Right_Arrow.bmp,None,2,744,None,0,17,17,17,,2,1,go,0.2,0.744,1.744,0.7077229900023667,0042,Scanner,L,2,2019_Aug_21_1254,SST,3.0.7,24.014252054961027,
go,sst_images/Left_Arrow.bmp,None,1,811,None,0,18,18,18,,1,1,go,0.2,0.811,1.811,0.5454295380041003,0042,Scanner,L,2,2019_Aug_21_1254,SST,3.0.7,24.014252054961027,
stop,sst_images/Right_Arrow.bmp,sst_images/Stop_Arrow.bmp,none,725,None,0,19,19,19,,None,1,stop,0.25,0.725,1.7249999999999999,,0042,Scanner,L,2,2019_Aug_21_1254,SST,3.0.7,24.014252054961027,
go,sst_images/Left_Arrow.bmp,None,1,737,None,0,20,20,20,,1,1,go,0.25,0.737,1.737,0.7063205519953044,0042,Scanner,L,2,2019_Aug_21_1254,SST,3.0.7,24.014252054961027,
go,sst_images/Right_Arrow.bmp,None,2,1242,None,0,21,21,21,,2,1,go,0.25,1.242,2.242,0.5841414790047565,0042,Scanner,L,2,2019_Aug_21_1254,SST,3.0.7,24.014252054961027,
go,sst_images/Left_Arrow.bmp,None,1,1460,None,0,22,22,22,,1,1,go,0.25,1.46,2.46,0.5863848449953366,0042,Scanner,L,2,2019_Aug_21_1254,SST,3.0.7,24.014252054961027,
go,sst_images/Right_Arrow.bmp,None,2,1043,None,0,23,23,23,,2,1,go,0.25,1.043,2.043,0.6279993479984114,0042,Scanner,L,2,2019_Aug_21_1254,SST,3.0.7,24.014252054961027,
go,sst_images/Left_Arrow.bmp,None,1,1231,None,0,24,24,24,,1,1,go,0.25,1.231,2.231,0.4641843649878865,0042,Scanner,L,2,2019_Aug_21_1254,SST,3.0.7,24.014252054961027,
go,sst_images/Right_Arrow.bmp,None,2,780,None,0,25,25,25,,2,1,go,0.25,0.78,1.78,0.5038480980001623,0042,Scanner,L,2,2019_Aug_21_1254,SST,3.0.7,24.014252054961027,
stop,sst_images/Right_Arrow.bmp,sst_images/Stop_Arrow.bmp,none,865,None,0,26,26,26,,1,0,stop,0.2,0.865,2.006963079001289,0.40803692099871114,0042,Scanner,L,2,2019_Aug_21_1254,SST,3.0.7,24.014252054961027,
