trial_type,arrow_1,arrow_2,corrAns,jitter,run_end_fixation,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,key_response.keys,key_response.corr,key_response.rt,trial_t.routineEndVal,ss_delay,iti_duration,SOA,participant,prac_or_scan,handedness,run,date,expName,psychopyVersion,frameRate,
go,sst_images/Left_Arrow.BMP,None,1,955,None,0,14,14,14,1,1,0.4855036149965599,go,0.15000000000000002,0.955,1.955,006,Practice,R,2,2019_Sep_08_1113,SST,3.0.7,60.30152511095401,
go,sst_images/Left_Arrow.BMP,None,1,1045,None,0,15,15,15,1,1,0.5288615239987848,go,0.15000000000000002,1.045,2.045,006,Practice,R,2,2019_Sep_08_1113,SST,3.0.7,60.30152511095401,
go,sst_images/Right_Arrow.BMP,None,2,1045,None,0,16,16,16,2,1,0.4710531599994283,go,0.15000000000000002,1.045,2.045,006,Practice,R,2,2019_Sep_08_1113,SST,3.0.7,60.30152511095401,
go,sst_images/Left_Arrow.BMP,None,1,985,None,0,17,17,17,1,1,0.5356243480055127,go,0.15000000000000002,0.985,1.9849999999999999,006,Practice,R,2,2019_Sep_08_1113,SST,3.0.7,60.30152511095401,
stop,sst_images/Left_Arrow.BMP,sst_images/Stop_Arrow.BMP,none,760,None,0,18,18,18,1,0,0.4197882199950982,stop,0.10000000000000002,0.76,1.790211780004902,006,Practice,R,2,2019_Sep_08_1113,SST,3.0.7,60.30152511095401,
go,sst_images/Left_Arrow.BMP,None,1,775,None,0,19,19,19,1,1,0.4532882450002944,go,0.10000000000000002,0.775,1.775,006,Practice,R,2,2019_Sep_08_1113,SST,3.0.7,60.30152511095401,
go,sst_images/Right_Arrow.BMP,None,2,1015,None,0,20,20,20,2,1,0.5037374880048446,go,0.10000000000000002,1.015,2.0149999999999997,006,Practice,R,2,2019_Sep_08_1113,SST,3.0.7,60.30152511095401,
go,sst_images/Left_Arrow.BMP,None,1,760,None,0,21,21,21,1,1,0.4549345359992003,go,0.10000000000000002,0.76,1.76,006,Practice,R,2,2019_Sep_08_1113,SST,3.0.7,60.30152511095401,
stop,sst_images/Right_Arrow.BMP,sst_images/Stop_Arrow.BMP,none,985,None,0,22,22,22,None,1,,stop,0.15000000000000002,0.985,1.985,006,Practice,R,2,2019_Sep_08_1113,SST,3.0.7,60.30152511095401,
go,sst_images/Right_Arrow.BMP,None,2,715,None,0,23,23,23,2,1,0.4796934869955294,go,0.15000000000000002,0.715,1.7149999999999999,006,Practice,R,2,2019_Sep_08_1113,SST,3.0.7,60.30152511095401,
go,sst_images/Left_Arrow.BMP,None,1,745,3264.0,0,24,24,24,1,1,0.3283294319990091,go,0.15000000000000002,0.745,1.745,006,Practice,R,2,2019_Sep_08_1113,SST,3.0.7,60.30152511095401,
