Condition,FixationDur,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,TrialOrder,cueImage.started,cueImage.stopped,FixationDur,fixation.started,fixation.stopped,fixationResp.keys,fixationResp.started,fixationResp.stopped,feedbackDur,Trial counter,Target.started,Target.stopped,probeResp.keys,probeResp.corr,probeResp.started,probeResp.stopped,msg,TrackEarnings,TrialType,NonNeutralTrialsNum,probeDur,percentacc_total,meanrt,UserAcc,Acc,AdjTrial,AdjTrialInc,probeResp.rt,AdjRTmsg,participant,prac_or_scan,run,date,expName,psychopyVersion,frameRate,
SmallReward,2000,0,26,26,26,,188.15167743698112,None,2000,190.16746250598226,None,None,190.16746250598226,None,1.5,27,192.18389916798333,None,1,1,192.18389916798333,None,You won $0.20!,-15.4,2,21,0.5,18.51851851851852,0.35700941320392304,[],16.666666666666664,21,3,0.34495295499800704,Adjusting RT...,043,Scanner,1,2019_Aug_24_1246,MID,3.1.5,24.018650885586013,
SmallPun,1500,0,27,27,27,,194.1535617139889,None,1500,196.15436462298385,None,None,196.15436462298385,None,1.5,28,197.6693823489768,None,1,1,197.6693823489768,None,You did not lose $0.20!,-15.4,5,22,0.5,21.428571428571427,0.3534380088337154,[1],16.666666666666664,21,3,0.33558098698267713,,043,Scanner,1,2019_Aug_24_1246,MID,3.1.5,24.018650885586013,
SmallPun,3000,0,28,28,28,,199.65094611098175,None,3000,201.65536483298638,None,None,201.65536483298638,None,1.5,29,204.6710451709805,None,None,0,204.6710451709805,None,You lost $0.20!,-15.6,5,23,0.5,20.689655172413794,0.3534380088337154,"[1, 0]",16.666666666666664,21,3,,,043,Scanner,1,2019_Aug_24_1246,MID,3.1.5,24.018650885586013,
Triangle,1500,0,29,29,29,,206.65184024200425,None,1500,208.6702739619941,None,None,208.6702739619941,None,1.5,30,210.1710920459882,None,None,0,210.1710920459882,None,You did not win or lose anything!,-15.6,3,23,0.5,20.0,0.3534380088337154,"[1, 0]",16.666666666666664,21,3,,,043,Scanner,1,2019_Aug_24_1246,MID,3.1.5,24.018650885586013,
SmallReward,1500,0,30,30,30,,212.15226471499773,None,1500,214.17075960399234,None,None,214.17075960399234,None,1.5,31,215.68602231997647,None,None,0,215.68602231997647,None,You did not win $0.20!,-15.6,2,24,0.5,19.35483870967742,0.3534380088337154,[],33.33333333333333,24,3,,Adjusting RT...,043,Scanner,1,2019_Aug_24_1246,MID,3.1.5,24.018650885586013,
SmallReward,3500,0,31,31,31,,217.65286411199486,None,3500,219.67093340097927,None,None,219.67093340097927,None,1.5,32,223.18861430097604,None,1,1,223.18861430097604,None,You won $0.20!,-15.4,2,25,0.5,21.875,0.35413226185898694,[1],33.33333333333333,24,3,0.3582977800106164,,043,Scanner,1,2019_Aug_24_1246,MID,3.1.5,24.018650885586013,
LgReward,1500,0,32,32,32,,225.1521865419927,None,1500,227.1724706379755,None,None,227.1724706379755,None,1.5,33,228.68964414400398,None,None,0,228.68964414400398,None,You did not win $5.00!,-15.4,1,26,0.5,21.21212121212121,0.35413226185898694,"[1, 0]",33.33333333333333,24,3,,,043,Scanner,1,2019_Aug_24_1246,MID,3.1.5,24.018650885586013,
LgReward,2500,0,33,33,33,,230.65840283798752,None,2500,232.6731658699864,None,None,232.6731658699864,None,1.5,34,235.1902732839808,None,None,0,235.1902732839808,None,You did not win $5.00!,-15.4,1,27,0.5,20.588235294117645,0.35413226185898694,[],33.33333333333333,27,3,,Adjusting RT...,043,Scanner,1,2019_Aug_24_1246,MID,3.1.5,24.018650885586013,
SmallPun,2500,0,34,34,34,,237.153270477982,None,2500,239.16101419299957,None,None,239.16101419299957,None,1.5,35,241.67448664898984,None,None,0,241.67448664898984,None,You lost $0.20!,-15.6,5,28,0.5,20.0,0.35413226185898694,[0],33.33333333333333,27,3,,,043,Scanner,1,2019_Aug_24_1246,MID,3.1.5,24.018650885586013,
SmallPun,4000,0,35,35,35,,243.65420388398343,None,4000,245.6751617419941,None,None,245.6751617419941,None,1.5,36,249.6754747889936,None,None,0,249.6754747889936,None,You lost $0.20!,-15.799999999999999,5,29,0.5,19.444444444444446,0.35413226185898694,"[0, 0]",33.33333333333333,27,3,,,043,Scanner,1,2019_Aug_24_1246,MID,3.1.5,24.018650885586013,
