Condition,FixationDur,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,TrialOrder,cueImage.started,cueImage.stopped,FixationDur,fixation.started,fixation.stopped,fixationResp.keys,fixationResp.started,fixationResp.stopped,feedbackDur,Trial counter,Target.started,Target.stopped,probeResp.keys,probeResp.corr,probeResp.started,probeResp.stopped,msg,TrackEarnings,TrialType,NonNeutralTrialsNum,probeDur,percentacc_total,meanrt,UserAcc,Acc,AdjTrial,AdjTrialInc,feedback_resp.keys,OverallRT,probeResp.rt,AdjRTmsg,feedback_resp.rt,fixationResp.rt,participant,prac_or_scan,run,date,expName,psychopyVersion,frameRate,
SmallReward,4000,0,23,23,23,,187.8503800489998,None,4000,189.8842965419899,None,1,189.8842965419899,None,1.75,24,193.93347762798658,None,None,0,193.93347762798658,None,You did not win $0.20!,9.600000000000001,2,21,0.29999999999999993,54.166666666666664,0.24562684615375474,[],16.666666666666664,21,3,1,0.32055238200409797,,Adjusting RT...,0.020552382004098035,2.5848586200008867,044,Scanner,1,2019_Sep_07_1643,MID,3.1.5,59.91576598558163,
Triangle,2000,0,24,24,24,,195.96754295298888,None,2000,198.0013017559977,None,None,198.0013017559977,None,1.7000000000000002,25,200.0508537509886,None,None,0,200.0508537509886,None,You did not win or lose anything!,9.600000000000001,3,21,0.29999999999999993,52.0,0.24562684615375474,[],16.666666666666664,21,3,1,0.32989799100032535,,,0.02989799100032542,,044,Scanner,1,2019_Sep_07_1643,MID,3.1.5,59.91576598558163,
LgPun,2000,0,25,25,25,,202.10141796698736,None,2000,204.1349256259855,None,None,204.1349256259855,None,1.7000000000000002,26,206.16788326499227,None,1,1,206.16788326499227,None,You did not lose $5.00!,9.600000000000001,4,22,0.29999999999999993,53.84615384615385,0.24510046128541166,[1],16.666666666666664,21,3,None,0.23825745799695142,0.23825745799695142,,,,044,Scanner,1,2019_Sep_07_1643,MID,3.1.5,59.91576598558163,
SmallReward,2000,0,26,26,26,,208.21804904499731,None,2000,210.25151019298937,None,None,210.25151019298937,None,1.7000000000000002,27,212.30198085699521,None,None,0,212.30198085699521,None,You did not win $0.20!,9.600000000000001,2,23,0.29999999999999993,51.85185185185185,0.24510046128541166,"[1, 0]",16.666666666666664,21,3,None,0.23825745799695142,,,,,044,Scanner,1,2019_Sep_07_1643,MID,3.1.5,59.91576598558163,
Triangle,3000,0,27,27,27,,214.3353306739882,None,3000,216.35776805698697,None,None,216.35776805698697,None,1.7000000000000002,28,219.40179383299255,None,1,1,219.40179383299255,None,You did not win or lose anything!,9.600000000000001,3,23,0.29999999999999993,53.57142857142857,0.2461253994658667,"[1, 0]",16.666666666666664,21,3,None,0.2604745339922374,0.2604745339922374,,,,044,Scanner,1,2019_Sep_07_1643,MID,3.1.5,59.91576598558163,
SmallReward,3500,0,28,28,28,,221.45287970799836,None,3500,223.48645177499566,None,None,223.48645177499566,None,1.7000000000000002,29,227.02500319399405,None,1,1,227.02500319399405,None,You won $0.20!,9.8,2,24,0.3399999999999999,55.172413793103445,0.24606353674971615,[],33.33333333333333,24,3,None,0.24513559600745793,0.24513559600745793,Adjusting RT...,,,044,Scanner,1,2019_Sep_07_1643,MID,3.1.5,59.91576598558163,
Triangle,1500,0,29,29,29,,229.06970120899496,None,1500,231.09344089598744,None,None,231.09344089598744,None,1.6600000000000001,30,232.6362308139942,None,None,0,232.6362308139942,None,You did not win or lose anything!,9.8,3,24,0.3399999999999999,53.333333333333336,0.24606353674971615,[],33.33333333333333,24,3,1,0.3368047340080374,,,-0.003195265991962515,,044,Scanner,1,2019_Sep_07_1643,MID,3.1.5,59.91576598558163,
SmallReward,1500,0,30,30,30,,234.68663021799875,None,1500,236.72020987898577,None,None,236.72020987898577,None,1.6600000000000001,31,238.2702921209857,None,None,0,238.2702921209857,None,You did not win $0.20!,9.8,2,25,0.3399999999999999,51.61290322580645,0.24606353674971615,[0],33.33333333333333,24,3,None,0.3368047340080374,,,,,044,Scanner,1,2019_Sep_07_1643,MID,3.1.5,59.91576598558163,
Triangle,2000,0,31,31,31,,240.30390024799271,None,2000,242.32780434998858,None,None,242.32780434998858,None,1.6600000000000001,32,244.37068494099367,None,1,1,244.37068494099367,None,You did not win or lose anything!,9.8,3,25,0.3399999999999999,53.125,0.24668307623463026,[0],33.33333333333333,24,3,None,0.25659570799325593,0.25659570799325593,,,,044,Scanner,1,2019_Sep_07_1643,MID,3.1.5,59.91576598558163,
LgPun,1500,0,32,32,32,,246.40382763498928,None,1500,248.42839120898861,None,None,248.42839120898861,None,1.6600000000000001,33,249.96319586898608,None,1,1,249.96319586898608,None,You did not lose $5.00!,9.8,4,26,0.3399999999999999,54.54545454545454,0.2470299218330183,"[0, 1]",33.33333333333333,24,3,None,0.2529262970056152,0.2529262970056152,,,,044,Scanner,1,2019_Sep_07_1643,MID,3.1.5,59.91576598558163,
Triangle,3500,0,33,33,33,,252.00432680199447,None,3500,254.02960868299124,None,None,254.02960868299124,None,1.6600000000000001,34,257.571250693989,None,1,1,257.571250693989,None,You did not win or lose anything!,9.8,3,26,0.3399999999999999,55.88235294117647,0.24812914084146828,"[0, 1]",33.33333333333333,24,3,None,0.2679150829935679,0.2679150829935679,,,,044,Scanner,1,2019_Sep_07_1643,MID,3.1.5,59.91576598558163,
LgPun,1500,0,34,34,34,,259.60497054699226,None,1500,261.6308511899988,None,None,261.6308511899988,None,1.6600000000000001,35,263.17135915999825,None,1,1,263.17135915999825,None,You did not lose $5.00!,9.8,4,27,0.3199999999999999,57.14285714285714,0.24906843439894147,[],66.66666666666666,27,3,None,0.2669150119909318,0.2669150119909318,Adjusting RT...,,,044,Scanner,1,2019_Sep_07_1643,MID,3.1.5,59.91576598558163,
Triangle,1500,0,35,35,35,,265.20533548599633,None,1500,267.2314110969892,None,None,267.2314110969892,None,1.6800000000000002,36,268.76644435599155,None,1,1,268.76644435599155,None,You did not win or lose anything!,9.8,3,27,0.3199999999999999,58.333333333333336,0.24924801361755403,[],66.66666666666666,27,3,None,0.25283959798980504,0.25283959798980504,,,,044,Scanner,1,2019_Sep_07_1643,MID,3.1.5,59.91576598558163,
SmallPun,1500,0,36,36,36,,270.80556192698714,None,1500,272.83207517799747,None,None,272.83207517799747,None,1.6800000000000002,37,274.3670377889939,None,1,1,274.3670377889939,None,You did not lose $0.20!,9.8,5,28,0.3199999999999999,59.45945945945946,0.24874280408932298,[1],66.66666666666666,27,3,None,0.23813340399647132,0.23813340399647132,,,,044,Scanner,1,2019_Sep_07_1643,MID,3.1.5,59.91576598558163,
LgReward,1500,0,37,37,37,,276.41612935598823,None,1500,278.4492936119932,None,None,278.4492936119932,None,1.6800000000000002,38,280.0058881439909,None,1,1,280.0058881439909,None,You won $5.00!,14.8,1,29,0.3199999999999999,60.526315789473685,0.24903174108539647,"[1, 1]",66.66666666666666,27,3,None,0.25538835499901325,0.25538835499901325,,,,044,Scanner,1,2019_Sep_07_1643,MID,3.1.5,59.91576598558163,
Triangle,1500,0,38,38,38,,282.0392548369855,None,1500,284.0669385259971,None,None,284.0669385259971,None,1.6800000000000002,39,285.6060413619998,None,1,1,285.6060413619998,None,You did not win or lose anything!,14.8,3,29,0.3199999999999999,61.53846153846154,0.25024888987354643,"[1, 1]",66.66666666666666,27,3,None,0.2782433120009955,0.2782433120009955,,,,044,Scanner,1,2019_Sep_07_1643,MID,3.1.5,59.91576598558163,
LgReward,2000,0,39,39,39,,287.6674158419919,None,2000,289.684203257988,None,None,289.684203257988,None,1.6800000000000002,40,291.7345509549923,None,1,1,291.7345509549923,None,You won $5.00!,19.8,1,30,0.2899999999999999,62.5,0.2509483494784217,[],83.33333333333333,30,3,None,0.26773537999542896,0.26773537999542896,Adjusting RT...,,,044,Scanner,1,2019_Sep_07_1643,MID,3.1.5,59.91576598558163,
LgPun,2500,0,40,40,40,,293.77340255799936,None,2500,295.8017220509937,None,None,295.8017220509937,None,1.71,41,298.3416984479991,None,1,1,298.3416984479991,None,You did not lose $5.00!,19.8,4,31,0.2899999999999999,63.41463414634146,0.25120506611375065,[1],83.33333333333333,30,3,None,0.257622981996974,0.257622981996974,,,,044,Scanner,1,2019_Sep_07_1643,MID,3.1.5,59.91576598558163,
LgReward,3000,0,41,41,41,,300.40216267999494,None,3000,302.43626965499425,None,None,302.43626965499425,None,1.71,42,305.48541005598963,None,1,1,305.48541005598963,None,You won $5.00!,24.8,1,32,0.2899999999999999,64.28571428571429,0.25078035462798587,"[1, 1]",83.33333333333333,30,3,None,0.2397378559981007,0.2397378559981007,,,,044,Scanner,1,2019_Sep_07_1643,MID,3.1.5,59.91576598558163,
LgPun,1500,0,42,42,42,,307.52401304598607,None,1500,309.553502181996,None,None,309.553502181996,None,1.71,43,311.08698071699473,None,1,1,311.08698071699473,None,You did not lose $5.00!,24.8,4,33,0.23999999999999994,65.11627906976744,0.25044146421246943,[],100.0,33,3,None,0.2412914229935268,0.2412914229935268,Adjusting RT...,,,044,Scanner,1,2019_Sep_07_1643,MID,3.1.5,59.91576598558163,
LgReward,1500,0,43,43,43,,313.1416951079882,None,1500,315.1706792479963,None,None,315.1706792479963,None,1.76,44,316.7212651949958,None,None,0,316.7212651949958,None,You did not win $5.00!,24.8,1,34,0.23999999999999994,63.63636363636363,0.25044146421246943,[0],100.0,33,3,1,0.2643487340048886,,,0.024348734004888684,,044,Scanner,1,2019_Sep_07_1643,MID,3.1.5,59.91576598558163,
SmallReward,3000,0,44,44,44,,318.78779440499784,None,3000,320.82127269399643,None,None,320.82127269399643,None,1.76,45,323.8715250239911,None,None,0,323.8715250239911,None,You did not win $0.20!,24.8,2,35,0.23999999999999994,62.22222222222222,0.25044146421246943,"[0, 0]",100.0,33,3,1,0.24479023800289718,,,0.00479023800289724,,044,Scanner,1,2019_Sep_07_1643,MID,3.1.5,59.91576598558163,
SmallPun,1500,0,45,45,45,,325.9052900199895,None,1500,327.9395553969953,None,None,327.9395553969953,None,1.76,46,329.4723684939963,None,None,0,329.4723684939963,None,You lost $0.20!,24.6,5,36,0.25999999999999995,60.86956521739131,0.25044146421246943,[],50.0,36,3,1,0.3515360759972827,,Adjusting RT...,0.09153607599728275,,044,Scanner,1,2019_Sep_07_1643,MID,3.1.5,59.91576598558163,
LgReward,1500,0,46,46,46,,331.54000437298964,None,1500,333.57308798299346,None,None,333.57308798299346,None,1.74,47,335.12360085699765,None,1,1,335.12360085699765,None,You won $5.00!,29.6,1,37,0.25999999999999995,61.702127659574465,0.2496214304806801,[1],50.0,36,3,None,0.2266604859905783,0.2266604859905783,,,,044,Scanner,1,2019_Sep_07_1643,MID,3.1.5,59.91576598558163,
SmallPun,2500,0,47,47,47,,337.17333783599315,None,2500,339.20691773999715,None,None,339.20691773999715,None,1.74,48,341.7408114689897,None,1,1,341.7408114689897,None,You did not lose $0.20!,29.6,5,38,0.25999999999999995,62.5,0.24861640543094837,"[1, 1]",50.0,36,3,None,0.21947067898872774,0.21947067898872774,,,,044,Scanner,1,2019_Sep_07_1643,MID,3.1.5,59.91576598558163,
SmallReward,1500,0,48,48,48,,343.79098293698917,None,1500,345.82524570598616,None,None,345.82524570598616,None,1.74,49,347.35772924599587,None,None,0,347.35772924599587,None,You did not win $0.20!,29.6,2,39,0.29999999999999993,61.224489795918366,0.24861640543094837,[],33.33333333333333,39,3,1,0.3156347439915407,,Adjusting RT...,0.015634743991540745,,044,Scanner,1,2019_Sep_07_1643,MID,3.1.5,59.91576598558163,
SmallPun,1500,0,49,49,49,,349.41061751799134,None,1500,351.44229391599947,None,None,351.44229391599947,None,1.7000000000000002,50,352.97577019498567,None,1,1,352.97577019498567,None,You did not lose $0.20!,29.6,5,40,0.29999999999999993,62.0,0.24851571544939127,[1],33.33333333333333,39,3,None,0.2454950160026783,0.2454950160026783,,,,044,Scanner,1,2019_Sep_07_1643,MID,3.1.5,59.91576598558163,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,044,Scanner,1,2019_Sep_07_1643,MID,3.1.5,59.91576598558163,
