Condition,FixationDur,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,TrialOrder,cueImage.started,cueImage.stopped,FixationDur,fixation.started,fixation.stopped,fixationResp.keys,fixationResp.started,fixationResp.stopped,feedbackDur,Trial counter,Target.started,Target.stopped,probeResp.keys,probeResp.corr,probeResp.started,probeResp.stopped,msg,TrackEarnings,TrialType,NonNeutralTrialsNum,probeDur,percentacc_total,meanrt,UserAcc,Acc,AdjTrial,AdjTrialInc,feedback_resp.keys,feedback_resp.rt,OverallRT,probeResp.rt,AdjRTmsg,participant,prac_or_scan,run,date,expName,psychopyVersion,frameRate,
SmallPun,1500,0,25,25,25,,182.6853243119549,None,1500,184.71933668199927,None,None,184.71933668199927,None,1.6300000000000001,26,186.25156996696023,None,1,1,186.25156996696023,None,You did not lose $0.20!,0.1999999999999993,5,22,0.36999999999999983,57.692307692307686,0.296637384663336,[1],33.33333333333333,21,3,None,,0.30637033097445965,0.30637033097445965,,029,Scanner,2,2019_Aug_31_1654,MID,3.1.5,60.01039776432445,
LgPun,3000,0,26,26,26,,188.28489377297228,None,3000,190.30863410700113,None,None,190.30863410700113,None,1.6300000000000001,27,193.35180735599715,None,1,1,193.35180735599715,None,You did not lose $5.00!,0.1999999999999993,4,23,0.36999999999999983,59.25925925925925,0.29704916299670003,"[1, 1]",33.33333333333333,21,3,None,,0.30322583799716085,0.30322583799716085,,029,Scanner,2,2019_Aug_31_1654,MID,3.1.5,60.01039776432445,
LgReward,2000,0,27,27,27,,195.41952297795797,None,2000,197.4428889149567,None,None,197.4428889149567,None,1.6300000000000001,28,199.49426800297806,None,1,1,199.49426800297806,None,You won $5.00!,5.199999999999999,1,24,0.38999999999999985,60.71428571428571,0.2967898515840609,[],50.0,24,3,None,,0.2926408689818345,0.2926408689818345,Adjusting RT...,029,Scanner,2,2019_Aug_31_1654,MID,3.1.5,60.01039776432445,
Triangle,1500,0,28,28,28,,201.5363553809584,None,1500,203.5606551579549,None,None,203.5606551579549,None,1.61,29,205.1031851589796,None,None,0,205.1031851589796,None,You did not win or lose anything!,5.199999999999999,3,24,0.38999999999999985,58.620689655172406,0.2967898515840609,[],50.0,24,3,1,0.08447161602089182,0.47447161602089166,,,029,Scanner,2,2019_Aug_31_1654,MID,3.1.5,60.01039776432445,
Triangle,2000,0,29,29,29,,207.15334489598172,None,2000,209.17855401098495,None,None,209.17855401098495,None,1.61,30,211.22083292499883,None,1,1,211.22083292499883,None,You did not win or lose anything!,5.199999999999999,3,24,0.38999999999999985,60.0,0.295702293104518,[],50.0,24,3,None,,0.2772137989522889,0.2772137989522889,,029,Scanner,2,2019_Aug_31_1654,MID,3.1.5,60.01039776432445,
SmallReward,4000,0,30,30,30,,213.27015309297713,None,4000,215.27934619697044,None,None,215.27934619697044,None,1.61,31,219.32898408500478,None,None,0,219.32898408500478,None,You did not win $0.20!,5.199999999999999,2,25,0.38999999999999985,58.06451612903226,0.295702293104518,[0],50.0,24,3,1,0.03335164702730253,0.4233516470273024,,,029,Scanner,2,2019_Aug_31_1654,MID,3.1.5,60.01039776432445,
Triangle,4000,0,31,31,31,,221.37098854297074,None,4000,223.3965524630039,None,None,223.3965524630039,None,1.61,32,227.437480226974,None,None,0,227.437480226974,None,You did not win or lose anything!,5.199999999999999,3,25,0.38999999999999985,56.25,0.295702293104518,[0],50.0,24,3,1,0.07695580896688625,0.4669558089668861,,,029,Scanner,2,2019_Aug_31_1654,MID,3.1.5,60.01039776432445,
SmallReward,3500,0,32,32,32,,229.48081805900438,None,3500,231.5138846769696,None,None,231.5138846769696,None,1.61,33,235.06565541098826,None,1,1,235.06565541098826,None,You won $0.20!,5.3999999999999995,2,26,0.38999999999999985,57.57575757575758,0.2978379380472593,"[0, 1]",50.0,24,3,None,,0.336279547016602,0.336279547016602,,029,Scanner,2,2019_Aug_31_1654,MID,3.1.5,60.01039776432445,
Triangle,1500,0,33,33,33,,237.1054909399827,None,1500,239.13193471898558,None,None,239.13193471898558,None,1.61,34,240.6666979509755,None,None,0,240.6666979509755,None,You did not win or lose anything!,5.3999999999999995,3,26,0.38999999999999985,55.88235294117647,0.2978379380472593,"[0, 1]",50.0,24,3,1,0.012175506039056927,0.4021755060390568,,,029,Scanner,2,2019_Aug_31_1654,MID,3.1.5,60.01039776432445,
SmallReward,1500,0,34,34,34,,242.71630361495772,None,1500,244.74972973798867,None,None,244.74972973798867,None,1.61,35,246.30040962295607,None,None,0,246.30040962295607,None,You did not win $0.20!,5.3999999999999995,2,27,0.36999999999999983,54.285714285714285,0.2978379380472593,[],66.66666666666666,27,3,1,0.11812440498033538,0.4881244049803352,,Adjusting RT...,029,Scanner,2,2019_Aug_31_1654,MID,3.1.5,60.01039776432445,
