Condition,FixationDur,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,TrialOrder,cueImage.started,cueImage.stopped,FixationDur,fixation.started,fixation.stopped,fixationResp.keys,fixationResp.started,fixationResp.stopped,feedbackDur,Trial counter,Target.started,Target.stopped,probeResp.keys,probeResp.corr,probeResp.started,probeResp.stopped,msg,TrackEarnings,TrialType,NonNeutralTrialsNum,probeDur,percentacc_total,meanrt,UserAcc,Acc,AdjTrial,AdjTrialInc,AdjRTmsg,fixationResp.rt,probeResp.rt,participant,prac_or_scan,run,date,expName,psychopyVersion,frameRate,
LgReward,4000,0,26,26,26,,195.06013095000526,None,4000,197.08019579798565,None,None,197.08019579798565,None,1.53,27,201.09666624598322,None,1,1,201.09666624598322,None,You won $5.00!,9.8,1,20,0.47,40.74074074074074,0.2992475865493444,"[1, 1]",66.66666666666666,18,3,,,0.3152401030238252,034,Scanner,2,2019_Aug_27_0927,MID,3.1.5,23.992436719718384,
Triangle,2500,0,27,27,27,,203.06034488600562,None,2500,205.08111479200306,None,None,205.08111479200306,None,1.53,28,207.5814631569956,None,None,0,207.5814631569956,None,You did not win or lose anything!,9.8,3,20,0.47,39.285714285714285,0.2992475865493444,"[1, 1]",66.66666666666666,18,3,,,,034,Scanner,2,2019_Aug_27_0927,MID,3.1.5,23.992436719718384,
SmallPun,2500,0,28,28,28,,209.56029644198134,None,2500,211.56699840599322,None,None,211.56699840599322,None,1.53,29,214.0826477239898,None,1,1,214.0826477239898,None,You did not lose $0.20!,9.8,5,21,0.44999999999999996,41.37931034482759,0.302488950585636,[],66.66666666666666,21,3,Adjusting RT...,,0.33814395498484373,034,Scanner,2,2019_Aug_27_0927,MID,3.1.5,23.992436719718384,
SmallReward,2000,0,29,29,29,,216.0190846589976,None,2000,218.03304466899135,None,None,218.03304466899135,None,1.55,30,220.0708484420029,None,None,0,220.0708484420029,None,You did not win $0.20!,9.8,2,22,0.44999999999999996,40.0,0.302488950585636,[0],66.66666666666666,21,3,,,,034,Scanner,2,2019_Aug_27_0927,MID,3.1.5,23.992436719718384,
LgReward,2000,0,30,30,30,,222.01938772498397,None,2000,224.02520464500412,None,None,224.02520464500412,None,1.55,31,226.05052588199032,None,1,1,226.05052588199032,None,You won $5.00!,14.8,1,23,0.44999999999999996,41.935483870967744,0.3033237750776327,"[0, 1]",66.66666666666666,21,3,,,0.3133416689815931,034,Scanner,2,2019_Aug_27_0927,MID,3.1.5,23.992436719718384,
SmallPun,2000,0,31,31,31,,228.02027547100442,None,2000,230.03412712100544,None,None,230.03412712100544,None,1.55,32,232.03861035499722,None,1,1,232.03861035499722,None,You did not lose $0.20!,14.8,5,24,0.41999999999999993,43.75,0.30524948200036306,[],83.33333333333333,24,3,Adjusting RT...,,0.33028367199585773,034,Scanner,2,2019_Aug_27_0927,MID,3.1.5,23.992436719718384,
SmallPun,1500,0,32,32,32,,234.02066349500092,None,1500,236.03553140198346,None,None,236.03553140198346,None,1.58,33,237.54207458300516,None,None,0,237.54207458300516,None,You lost $0.20!,14.600000000000001,5,25,0.41999999999999993,42.42424242424242,0.30524948200036306,[0],83.33333333333333,24,3,,,,034,Scanner,2,2019_Aug_27_0927,MID,3.1.5,23.992436719718384,
SmallReward,1500,0,33,33,33,,239.52018224698259,None,1500,241.53622787399217,None,None,241.53622787399217,None,1.58,34,243.05374397398555,None,None,0,243.05374397398555,None,You did not win $0.20!,14.600000000000001,2,26,0.41999999999999993,41.17647058823529,0.30524948200036306,"[0, 0]",83.33333333333333,24,3,,,,034,Scanner,2,2019_Aug_27_0927,MID,3.1.5,23.992436719718384,
SmallReward,1500,0,34,34,34,,245.02188640797976,None,1500,247.0366149150068,None,None,247.0366149150068,None,1.58,35,248.55308738199528,None,None,0,248.55308738199528,None,You did not win $0.20!,14.600000000000001,2,27,0.4599999999999999,40.0,0.30524948200036306,[],33.33333333333333,27,3,Adjusting RT...,,,034,Scanner,2,2019_Aug_27_0927,MID,3.1.5,23.992436719718384,
LgPun,1500,0,35,35,35,,250.52142563200323,None,1500,252.53738782499568,None,None,252.53738782499568,None,1.54,36,254.04044610098936,None,None,0,254.04044610098936,None,You lost $5.00!,9.600000000000001,4,28,0.4599999999999999,38.88888888888889,0.30524948200036306,[0],33.33333333333333,27,3,,,,034,Scanner,2,2019_Aug_27_0927,MID,3.1.5,23.992436719718384,
SmallReward,4000,0,36,36,36,,256.0205224759993,None,4000,258.03781575598987,None,None,258.03781575598987,None,1.54,37,262.05464756899164,None,1,1,262.05464756899164,None,You won $0.20!,9.8,2,29,0.4599999999999999,40.54054054054054,0.3061146047334963,"[0, 1]",33.33333333333333,27,3,,,0.3182263229973614,034,Scanner,2,2019_Aug_27_0927,MID,3.1.5,23.992436719718384,
SmallPun,1500,0,37,37,37,,264.0213954279898,None,1500,266.0393801909813,None,None,266.0393801909813,None,1.54,38,267.5388436189969,None,None,0,267.5388436189969,None,You lost $0.20!,9.600000000000001,5,30,0.5,39.473684210526315,0.3061146047334963,[],16.666666666666664,30,3,Adjusting RT...,,,034,Scanner,2,2019_Aug_27_0927,MID,3.1.5,23.992436719718384,
SmallReward,2000,0,38,38,38,,269.52149120898684,None,2000,271.5395241660008,None,None,271.5395241660008,None,1.5,39,273.5570130419801,None,1,1,273.5570130419801,None,You won $0.20!,9.8,2,31,0.5,41.02564102564102,0.3062839204994816,[1],16.666666666666664,30,3,,,0.3088236569892615,034,Scanner,2,2019_Aug_27_0927,MID,3.1.5,23.992436719718384,
SmallPun,3500,0,39,39,39,,275.52102391200606,None,3500,277.5408070929989,None,None,277.5408070929989,None,1.5,40,281.040752854984,None,1,1,281.040752854984,None,You did not lose $0.20!,9.8,5,32,0.5,42.5,0.30733284805832867,"[1, 1]",16.666666666666664,30,3,,,0.32411568899988197,034,Scanner,2,2019_Aug_27_0927,MID,3.1.5,23.992436719718384,
Triangle,1500,0,40,40,40,,283.0219489400042,None,1500,285.04159862198867,None,None,285.04159862198867,None,1.5,41,286.5418579519901,None,None,0,286.5418579519901,None,You did not win or lose anything!,9.8,3,32,0.5,41.46341463414634,0.30733284805832867,"[1, 1]",16.666666666666664,30,3,,,,034,Scanner,2,2019_Aug_27_0927,MID,3.1.5,23.992436719718384,
SmallPun,1500,0,41,41,41,,288.52245626898366,None,1500,290.5413451259956,None,None,290.5413451259956,None,1.5,42,292.0425696710008,None,1,1,292.0425696710008,None,You did not lose $0.20!,9.8,5,33,0.48,42.857142857142854,0.3087773236669212,[],66.66666666666666,33,3,Adjusting RT...,,0.3333334090129938,034,Scanner,2,2019_Aug_27_0927,MID,3.1.5,23.992436719718384,
LgPun,2000,0,42,42,42,,294.02270029700594,None,2000,296.0418600199919,None,None,296.0418600199919,None,1.52,43,298.0431496039964,None,1,1,298.0431496039964,None,You did not lose $5.00!,9.8,4,34,0.48,44.18604651162791,0.3099863077896819,[1],66.66666666666666,33,3,,,0.33174802199937403,034,Scanner,2,2019_Aug_27_0927,MID,3.1.5,23.992436719718384,
LgPun,1500,0,43,43,43,,299.9803557599953,None,1500,301.9876043839904,None,None,301.9876043839904,None,1.52,44,303.4976901059854,None,1,1,303.4976901059854,None,You did not lose $5.00!,9.8,4,35,0.48,45.45454545454545,0.31054070395039163,"[1, 1]",66.66666666666666,33,3,,,0.3210742310038768,034,Scanner,2,2019_Aug_27_0927,MID,3.1.5,23.992436719718384,
SmallReward,1500,0,44,44,44,,305.4421735119831,None,1500,307.44641812099144,None,None,307.44641812099144,None,1.52,45,308.97766749499715,None,1,1,308.97766749499715,None,You won $0.20!,10.0,2,36,0.43,46.666666666666664,0.31028760571470704,[],100.0,36,3,Adjusting RT...,,0.3052256410010159,034,Scanner,2,2019_Aug_27_0927,MID,3.1.5,23.992436719718384,
Triangle,4000,0,45,45,45,,310.89851233098307,None,4000,312.91183861499303,None,None,312.91183861499303,None,1.57,46,316.9145934819826,None,None,0,316.9145934819826,None,You did not win or lose anything!,10.0,3,36,0.43,45.65217391304348,0.31028760571470704,[],100.0,36,3,,,,034,Scanner,2,2019_Aug_27_0927,MID,3.1.5,23.992436719718384,
LgReward,1500,0,46,46,46,,318.8569245529943,None,1500,320.8661067689827,None,None,320.8661067689827,None,1.57,47,322.38506806700025,None,None,0,322.38506806700025,None,You did not win $5.00!,10.0,1,37,0.43,44.680851063829785,0.31028760571470704,[0],100.0,36,3,,,,034,Scanner,2,2019_Aug_27_0927,MID,3.1.5,23.992436719718384,
SmallReward,1500,0,47,47,47,,324.3159976530005,None,1500,326.3297215519997,None,None,326.3297215519997,None,1.57,48,327.8477266590053,None,None,0,327.8477266590053,None,You did not win $0.20!,10.0,2,38,0.43,43.75,0.31028760571470704,"[0, 0]",100.0,36,3,,,,034,Scanner,2,2019_Aug_27_0927,MID,3.1.5,23.992436719718384,
LgReward,1500,0,48,48,48,,329.78007219699793,None,1500,331.77943590297946,None,None,331.77943590297946,None,1.57,49,333.3037556360068,None,None,0,333.3037556360068,None,You did not win $5.00!,10.0,1,39,0.45,42.857142857142854,0.31028760571470704,[],50.0,39,3,Adjusting RT...,,,034,Scanner,2,2019_Aug_27_0927,MID,3.1.5,23.992436719718384,
LgPun,1500,0,49,49,49,,335.23378706598305,None,1500,337.24871626798995,None,None,337.24871626798995,None,1.55,50,338.75012937700376,None,1,1,338.75012937700376,None,You did not lose $5.00!,10.0,4,40,0.45,44.0,0.31208243463664653,[1],50.0,39,3,,,0.3497738419973757,034,Scanner,2,2019_Aug_27_0927,MID,3.1.5,23.992436719718384,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,034,Scanner,2,2019_Aug_27_0927,MID,3.1.5,23.992436719718384,
