Condition,FixationDur,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,TrialOrder,cueImage.started,cueImage.stopped,FixationDur,fixation.started,fixation.stopped,fixationResp.keys,fixationResp.started,fixationResp.stopped,feedbackDur,Trial counter,Target.started,Target.stopped,probeResp.keys,probeResp.corr,probeResp.started,probeResp.stopped,msg,TrackEarnings,TrialType,NonNeutralTrialsNum,probeDur,percentacc_total,meanrt,UserAcc,Acc,AdjTrial,AdjTrialInc,feedback_resp.keys,OverallRT,feedback_resp.rt,AdjRTmsg,probeResp.rt,participant,prac_or_scan,run,date,expName,psychopyVersion,frameRate,
Triangle,2000,0,25,25,25,,202.03352627897402,None,2000,204.04426761099603,None,None,204.04426761099603,None,1.53,26,206.09662376198685,None,1,1,206.09662376198685,None,You did not win or lose anything!,14.799999999999999,3,19,0.47,57.692307692307686,0.3602021892632668,[1],83.33333333333333,18,3,None,0.3647245969623327,,,0.3647245969623327,024,Scanner,2,2019_Aug_30_0929,MID,3.1.5,23.98761114505321,
LgReward,4000,0,26,26,26,,208.15835577098187,None,4000,210.17843422299484,None,None,210.17843422299484,None,1.53,27,214.22849296795903,None,1,1,214.22849296795903,None,You won $5.00!,19.799999999999997,1,20,0.47,59.25925925925925,0.3614307211864798,"[1, 1]",83.33333333333333,18,3,None,0.37985870003467426,,,0.37985870003467426,024,Scanner,2,2019_Aug_30_0929,MID,3.1.5,23.98761114505321,
Triangle,2500,0,27,27,27,,216.2431323530036,None,2500,218.2627169539919,None,None,218.2627169539919,None,1.53,28,220.80017741397023,None,1,1,220.80017741397023,None,You did not win or lose anything!,19.799999999999997,3,20,0.47,60.71428571428571,0.3619449609404375,"[1, 1]",83.33333333333333,18,3,None,0.37017279700376093,,,0.37017279700376093,024,Scanner,2,2019_Aug_30_0929,MID,3.1.5,23.98761114505321,
SmallPun,2500,0,28,28,28,,222.8261378929601,None,2500,224.84697686799336,None,None,224.84697686799336,None,1.53,29,227.3856184569886,None,None,0,227.3856184569886,None,You lost $0.20!,19.599999999999998,5,21,0.43999999999999995,58.620689655172406,0.3619449609404375,[],83.33333333333333,21,3,None,0.37017279700376093,,Adjusting RT...,,024,Scanner,2,2019_Aug_30_0929,MID,3.1.5,23.98761114505321,
SmallReward,2000,0,29,29,29,,229.45669625495793,None,2000,231.4639345050091,None,None,231.4639345050091,None,1.56,30,233.48347210499924,None,None,0,233.48347210499924,None,You did not win $0.20!,19.599999999999998,2,22,0.43999999999999995,56.666666666666664,0.3619449609404375,[0],83.33333333333333,21,3,None,0.37017279700376093,,,,024,Scanner,2,2019_Aug_30_0929,MID,3.1.5,23.98761114505321,
LgReward,2000,0,30,30,30,,235.54095446498832,None,2000,237.5477041369886,None,None,237.5477041369886,None,1.56,31,239.62145733996294,None,1,1,239.62145733996294,None,You won $5.00!,24.599999999999998,1,23,0.43999999999999995,58.06451612903226,0.36238635300024824,"[0, 1]",83.33333333333333,21,3,None,0.36989001801703125,,,0.36989001801703125,024,Scanner,2,2019_Aug_30_0929,MID,3.1.5,23.98761114505321,
SmallPun,2000,0,31,31,31,,241.66055129398592,None,2000,243.66864609497134,None,None,243.66864609497134,None,1.56,32,245.71967674797634,None,None,0,245.71967674797634,None,You lost $0.20!,24.4,5,24,0.45999999999999996,56.25,0.36238635300024824,[],49.99999999999999,24,3,1,0.472451673974283,0.01245167397428304,Adjusting RT...,,024,Scanner,2,2019_Aug_30_0929,MID,3.1.5,23.98761114505321,
SmallPun,1500,0,32,32,32,,247.74301577697042,None,1500,249.75044708000496,None,None,249.75044708000496,None,1.54,33,251.31540229800157,None,None,0,251.31540229800157,None,You lost $0.20!,24.2,5,25,0.45999999999999996,54.54545454545454,0.36238635300024824,[0],49.99999999999999,24,3,1,0.4764185100002214,0.01641851000022143,,,024,Scanner,2,2019_Aug_30_0929,MID,3.1.5,23.98761114505321,
SmallReward,1500,0,33,33,33,,253.36935883195838,None,1500,255.3840336209978,None,None,255.3840336209978,None,1.54,34,256.90059205901343,None,None,0,256.90059205901343,None,You did not win $0.20!,24.2,2,26,0.45999999999999996,52.94117647058824,0.36238635300024824,"[0, 0]",49.99999999999999,24,3,1,0.47041358202928674,0.010413582029286772,,,024,Scanner,2,2019_Aug_30_0929,MID,3.1.5,23.98761114505321,
SmallReward,1500,0,34,34,34,,258.95525775197893,None,1500,260.96796742797596,None,None,260.96796742797596,None,1.54,35,262.492585622007,None,None,0,262.492585622007,None,You did not win $0.20!,24.2,2,27,0.5,51.42857142857142,0.36238635300024824,[],16.666666666666664,27,3,1,0.5666751120006666,0.06667511200066656,Adjusting RT...,,024,Scanner,2,2019_Aug_30_0929,MID,3.1.5,23.98761114505321,
LgPun,1500,0,35,35,35,,264.5364630440017,None,1500,266.5502134799608,None,None,266.5502134799608,None,1.5,36,268.08871494297637,None,None,0,268.08871494297637,None,You lost $5.00!,19.2,4,28,0.5,50.0,0.36238635300024824,[0],16.666666666666664,27,3,1,0.5074773660162464,0.007477366016246378,,,024,Scanner,2,2019_Aug_30_0929,MID,3.1.5,23.98761114505321,
SmallReward,4000,0,36,36,36,,270.161312117998,None,4000,272.1692819959717,None,None,272.1692819959717,None,1.5,37,276.2358392300084,None,1,1,276.2358392300084,None,You won $0.20!,19.4,2,29,0.5,51.35135135135135,0.36544571110464047,"[0, 1]",16.666666666666664,27,3,None,0.42051415698369965,,,0.42051415698369965,024,Scanner,2,2019_Aug_30_0929,MID,3.1.5,23.98761114505321,
SmallPun,1500,0,37,37,37,,278.28739102697,None,1500,280.3028421829804,None,None,280.3028421829804,None,1.5,38,281.85394792997977,None,None,0,281.85394792997977,None,You lost $0.20!,19.2,5,30,0.5,50.0,0.36544571110464047,[],16.666666666666664,30,3,1,0.5221969070262276,0.022196907026227564,Adjusting RT...,,024,Scanner,2,2019_Aug_30_0929,MID,3.1.5,23.98761114505321,
SmallReward,2000,0,38,38,38,,283.9119961899705,None,2000,285.9217034049798,None,None,285.9217034049798,None,1.5,39,287.98850595299155,None,1,1,287.98850595299155,None,You won $0.20!,19.4,2,31,0.5,51.28205128205128,0.365665680199163,[1],16.666666666666664,30,3,None,0.3698450929950923,,,0.3698450929950923,024,Scanner,2,2019_Aug_30_0929,MID,3.1.5,23.98761114505321,
SmallPun,3500,0,39,39,39,,290.03762658999767,None,3500,292.0552135700127,None,None,292.0552135700127,None,1.5,40,295.6056980880094,None,None,0,295.6056980880094,None,You lost $0.20!,19.2,5,32,0.5,50.0,0.365665680199163,"[1, 0]",16.666666666666664,30,3,1,0.49720014695776626,-0.0027998530422337353,,,024,Scanner,2,2019_Aug_30_0929,MID,3.1.5,23.98761114505321,
Triangle,1500,0,40,40,40,,297.66290704195853,None,1500,299.6722990429844,None,None,299.6722990429844,None,1.5,41,301.2226542449789,None,None,0,301.2226542449789,None,You did not win or lose anything!,19.2,3,32,0.5,48.78048780487805,0.365665680199163,"[1, 0]",16.666666666666664,30,3,1,0.493238074996043,-0.006761925003957003,,,024,Scanner,2,2019_Aug_30_0929,MID,3.1.5,23.98761114505321,
SmallPun,1500,0,41,41,41,,303.28834338096203,None,1500,305.30709599296097,None,None,305.30709599296097,None,1.5,42,306.847264572978,None,1,1,306.847264572978,None,You did not lose $0.20!,19.2,5,33,0.5,50.0,0.36734713457103463,[],49.99999999999999,33,3,None,0.4009762220084667,,Adjusting RT...,0.4009762220084667,024,Scanner,2,2019_Aug_30_0929,MID,3.1.5,23.98761114505321,
LgPun,2000,0,42,42,42,,308.913523583964,None,2000,310.92383030900965,None,None,310.92383030900965,None,1.5,43,312.9748184939963,None,1,1,312.9748184939963,None,You did not lose $5.00!,19.2,4,34,0.5,51.162790697674424,0.36967390881777235,[1],49.99999999999999,33,3,None,0.41853616799926385,,,0.41853616799926385,024,Scanner,2,2019_Aug_30_0929,MID,3.1.5,23.98761114505321,
LgPun,1500,0,43,43,43,,315.0374026169884,None,1500,317.05851225100923,None,None,317.05851225100923,None,1.5,44,318.5987103939988,None,None,0,318.5987103939988,None,You lost $5.00!,14.2,4,35,0.5,50.0,0.36967390881777235,"[1, 0]",49.99999999999999,33,3,1,0.5127903450047597,0.012790345004759729,,,024,Scanner,2,2019_Aug_30_0929,MID,3.1.5,23.98761114505321,
SmallReward,1500,0,44,44,44,,320.66393988998607,None,1500,322.67602985695703,None,None,322.67602985695703,None,1.5,45,324.24255098501453,None,1,1,324.24255098501453,None,You won $0.20!,14.399999999999999,2,36,0.48,51.11111111111111,0.37111423482723616,[],66.66666666666666,36,3,None,0.4028014070354402,,Adjusting RT...,0.4028014070354402,024,Scanner,2,2019_Aug_30_0929,MID,3.1.5,23.98761114505321,
Triangle,4000,0,45,45,45,,326.28916925599333,None,4000,328.3097049469943,None,None,328.3097049469943,None,1.52,46,332.34915623796405,None,None,0,332.34915623796405,None,You did not win or lose anything!,14.399999999999999,3,36,0.48,50.0,0.37111423482723616,[],66.66666666666666,36,3,None,0.4028014070354402,,,,024,Scanner,2,2019_Aug_30_0929,MID,3.1.5,23.98761114505321,
LgReward,1500,0,46,46,46,,334.3728376379586,None,1500,336.3937153159641,None,None,336.3937153159641,None,1.52,47,337.94476010499056,None,None,0,337.94476010499056,None,You did not win $5.00!,14.399999999999999,1,37,0.48,48.93617021276596,0.37111423482723616,[0],66.66666666666666,36,3,1,0.4801063990057446,0.00010639900574460626,,,024,Scanner,2,2019_Aug_30_0929,MID,3.1.5,23.98761114505321,
SmallReward,1500,0,47,47,47,,339.95638698496623,None,1500,341.9617875699769,None,None,341.9617875699769,None,1.52,48,343.53069043398136,None,None,0,343.53069043398136,None,You did not win $0.20!,14.399999999999999,2,38,0.48,47.91666666666667,0.37111423482723616,"[0, 0]",66.66666666666666,36,3,1,0.48273843703325836,0.0027384370332583785,,,024,Scanner,2,2019_Aug_30_0929,MID,3.1.5,23.98761114505321,
LgReward,1500,0,48,48,48,,345.58430021198,None,1500,347.59604059398407,None,None,347.59604059398407,None,1.52,49,349.1507439269917,None,1,1,349.1507439269917,None,You won $5.00!,19.4,1,39,0.5,48.97959183673469,0.37113493650152424,[],49.99999999999999,39,3,None,0.37161107501015067,,Adjusting RT...,0.37161107501015067,024,Scanner,2,2019_Aug_30_0929,MID,3.1.5,23.98761114505321,
LgPun,1500,0,49,49,49,,351.1653965529986,None,1500,353.1796927509713,None,None,353.1796927509713,None,1.5,50,354.72868214797927,None,None,0,354.72868214797927,None,You lost $5.00!,14.399999999999999,4,40,0.5,48.0,0.37113493650152424,[0],49.99999999999999,39,3,1,0.5265389989945106,0.02653899899451062,,,024,Scanner,2,2019_Aug_30_0929,MID,3.1.5,23.98761114505321,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,024,Scanner,2,2019_Aug_30_0929,MID,3.1.5,23.98761114505321,
