Condition,FixationDur,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,TrialOrder,cueImage.started,cueImage.stopped,FixationDur,fixation.started,fixation.stopped,fixationResp.keys,fixationResp.started,fixationResp.stopped,feedbackDur,Trial counter,Target.started,Target.stopped,probeResp.keys,probeResp.corr,probeResp.started,probeResp.stopped,msg,TrackEarnings,TrialType,NonNeutralTrialsNum,probeDur,percentacc_total,meanrt,UserAcc,Acc,AdjTrial,AdjTrialInc,probeResp.rt,fixationResp.rt,AdjRTmsg,participant,prac_or_scan,run,date,expName,psychopyVersion,frameRate,
SmallReward,2000,0,10,10,10,,92.2367902630067,None,2000,94.2499656569853,None,None,94.2499656569853,None,1.57,11,96.27382871400914,None,1,1,96.27382871400914,None,You won $0.20!,4.8,2,9,0.46999999999999986,45.45454545454545,0.2940244452038314,[],33.33333333333333,9,3,0.29073178200633265,,Adjusting RT...,037,Scanner,1,2019_Aug_23_1247,MID,3.1.5,24.04771227695621,
LgReward,2000,0,11,11,11,,98.19538526399992,None,2000,100.1984225329943,None,None,100.1984225329943,None,1.5300000000000002,12,102.21962063500541,None,1,1,102.21962063500541,None,You won $5.00!,9.8,1,10,0.46999999999999986,50.0,0.29351656667131465,[1],33.33333333333333,9,3,0.2909771740087308,,,037,Scanner,1,2019_Aug_23_1247,MID,3.1.5,24.04771227695621,
Triangle,2500,0,12,12,12,,104.15553986601299,None,2500,106.16780087401276,None,None,106.16780087401276,None,1.5300000000000002,13,108.6688974199933,None,1,1,108.6688974199933,None,You did not win or lose anything!,9.8,3,10,0.46999999999999986,53.84615384615385,0.2965238435717765,[1],33.33333333333333,9,3,0.3145675049745478,,,037,Scanner,1,2019_Aug_23_1247,MID,3.1.5,24.04771227695621,
LgReward,1500,0,13,13,13,,110.65370559701114,None,1500,112.668183864007,None,None,112.668183864007,None,1.5300000000000002,14,114.18578495801194,None,None,0,114.18578495801194,None,You did not win $5.00!,9.8,1,11,0.46999999999999986,50.0,0.2965238435717765,"[1, 0]",33.33333333333333,9,3,,,,037,Scanner,1,2019_Aug_23_1247,MID,3.1.5,24.04771227695621,
LgPun,2500,0,14,14,14,,116.11307134400704,None,2500,118.11833766900236,None,None,118.11833766900236,None,1.5300000000000002,15,120.6359761969943,None,1,1,120.6359761969943,None,You did not lose $5.00!,9.8,4,12,0.44999999999999984,53.333333333333336,0.2947718951254501,[],66.66666666666666,12,3,0.28250825600116514,,Adjusting RT...,037,Scanner,1,2019_Aug_23_1247,MID,3.1.5,24.04771227695621,
SmallReward,1500,0,15,15,15,,122.61285159600084,None,1500,124.62026229000185,None,None,124.62026229000185,None,1.5500000000000003,16,126.14300042801187,None,None,0,126.14300042801187,None,You did not win $0.20!,9.8,2,13,0.44999999999999984,50.0,0.2947718951254501,[0],66.66666666666666,12,3,,,,037,Scanner,1,2019_Aug_23_1247,MID,3.1.5,24.04771227695621,
LgReward,1500,0,16,16,16,,128.11556954000844,None,1500,130.1211010949919,None,None,130.1211010949919,None,1.5500000000000003,17,131.6535974809958,None,None,0,131.6535974809958,None,You did not win $5.00!,9.8,1,14,0.44999999999999984,47.05882352941176,0.2947718951254501,"[0, 0]",66.66666666666666,12,3,,,,037,Scanner,1,2019_Aug_23_1247,MID,3.1.5,24.04771227695621,
SmallPun,3500,0,17,17,17,,133.61335662400234,None,3500,135.6209194920084,None,None,135.6209194920084,None,1.5500000000000003,18,139.13768697500927,None,1,1,139.13768697500927,None,You did not lose $0.20!,9.8,5,15,0.46999999999999986,50.0,0.2961200000006809,[],49.99999999999999,15,3,0.3069048390025273,,Adjusting RT...,037,Scanner,1,2019_Aug_23_1247,MID,3.1.5,24.04771227695621,
LgPun,1500,0,18,18,18,,141.11349213999347,None,1500,143.12305590498727,None,None,143.12305590498727,None,1.5300000000000002,19,144.6391919440066,None,None,0,144.6391919440066,None,You lost $5.00!,4.800000000000001,4,16,0.46999999999999986,47.368421052631575,0.2961200000006809,[0],49.99999999999999,15,3,,,,037,Scanner,1,2019_Aug_23_1247,MID,3.1.5,24.04771227695621,
LgPun,3500,0,19,19,19,,146.57168964701123,None,3500,148.59034619000158,None,None,148.59034619000158,None,1.5300000000000002,20,152.09034249998513,None,None,0,152.09034249998513,None,You lost $5.00!,-0.1999999999999993,4,17,0.46999999999999986,45.0,0.2961200000006809,"[0, 0]",49.99999999999999,15,3,,,,037,Scanner,1,2019_Aug_23_1247,MID,3.1.5,24.04771227695621,
SmallReward,2500,0,20,20,20,,154.0729565199872,None,2500,156.09102217800682,None,None,156.09102217800682,None,1.5300000000000002,21,158.6074400480138,None,1,1,158.6074400480138,None,You won $0.20!,7.216449660063518e-16,2,18,0.5,47.61904761904761,0.2940204882994294,[],33.33333333333333,18,3,0.27512488298816606,,Adjusting RT...,037,Scanner,1,2019_Aug_23_1247,MID,3.1.5,24.04771227695621,
LgPun,2000,0,21,21,21,,160.5732346069999,None,2000,162.59212158399168,None,None,162.59212158399168,None,1.5,22,164.59270737500628,None,1,1,164.59270737500628,None,You did not lose $5.00!,7.216449660063518e-16,4,19,0.5,50.0,0.2964628484544598,[1],33.33333333333333,18,3,0.3208864500047639,,,037,Scanner,1,2019_Aug_23_1247,MID,3.1.5,24.04771227695621,
Triangle,2000,0,22,22,22,,166.57389443801367,None,2000,168.57889862000593,None,None,168.57889862000593,None,1.5,23,170.59228456098936,None,None,0,170.59228456098936,None,You did not win or lose anything!,7.216449660063518e-16,3,19,0.5,47.82608695652174,0.2964628484544598,[1],33.33333333333333,18,3,,,,037,Scanner,1,2019_Aug_23_1247,MID,3.1.5,24.04771227695621,
LgPun,4000,0,23,23,23,,172.57380690501304,None,4000,174.59300319998874,None,None,174.59300319998874,None,1.5,24,178.59520230299677,None,None,0,178.59520230299677,None,You lost $5.00!,-4.999999999999999,4,20,0.5,45.83333333333333,0.2964628484544598,"[1, 0]",33.33333333333333,18,3,,,,037,Scanner,1,2019_Aug_23_1247,MID,3.1.5,24.04771227695621,
LgPun,2000,0,24,24,24,,180.57409045399982,None,2000,182.5800815380062,None,None,182.5800815380062,None,1.5,25,184.5948030030122,None,None,0,184.5948030030122,None,You lost $5.00!,-10.0,4,21,0.5,44.0,0.2964628484544598,[],33.33333333333333,21,3,,,Adjusting RT...,037,Scanner,1,2019_Aug_23_1247,MID,3.1.5,24.04771227695621,
SmallPun,1500,0,25,25,25,,186.57437345499056,None,1500,188.58100669499254,None,None,188.58100669499254,None,1.5,26,190.09491465199972,None,None,0,190.09491465199972,None,You lost $0.20!,-10.2,5,22,0.5,42.30769230769231,0.2964628484544598,[0],33.33333333333333,21,3,,,,037,Scanner,1,2019_Aug_23_1247,MID,3.1.5,24.04771227695621,
LgPun,3000,0,26,26,26,,192.07399498400628,None,3000,194.08160915298504,None,None,194.08160915298504,None,1.5,27,197.09575494998717,None,1,1,197.09575494998717,None,You did not lose $5.00!,-10.2,4,23,0.5,44.44444444444444,0.29599462075081345,"[0, 1]",33.33333333333333,21,3,0.29084411601070315,,,037,Scanner,1,2019_Aug_23_1247,MID,3.1.5,24.04771227695621,
LgReward,2000,0,27,27,27,,199.07476813800167,None,2000,201.08169318499858,None,None,201.08169318499858,None,1.5,28,203.11311938098515,None,1,1,203.11311938098515,None,You won $5.00!,-5.199999999999999,1,24,0.5,46.42857142857143,0.29902274038445636,[],49.99999999999999,24,3,0.33536017598817125,,Adjusting RT...,037,Scanner,1,2019_Aug_23_1247,MID,3.1.5,24.04771227695621,
Triangle,1500,0,28,28,28,,205.07397958499496,None,1500,207.0836197519966,None,None,207.0836197519966,None,1.5,29,208.5976915640058,None,None,0,208.5976915640058,None,You did not win or lose anything!,-5.199999999999999,3,24,0.5,44.827586206896555,0.29902274038445636,[],49.99999999999999,24,3,,,,037,Scanner,1,2019_Aug_23_1247,MID,3.1.5,24.04771227695621,
Triangle,2000,0,29,29,29,,210.57419955398655,None,2000,212.58342664100928,None,None,212.58342664100928,None,1.5,30,214.59832344099414,None,1,1,214.59832344099414,None,You did not win or lose anything!,-5.199999999999999,3,24,0.5,46.666666666666664,0.30075500457314774,[],49.99999999999999,24,3,0.32327443902613595,,,037,Scanner,1,2019_Aug_23_1247,MID,3.1.5,24.04771227695621,
SmallReward,4000,0,30,30,30,,216.57568180700764,None,4000,218.58316170598846,None,1,218.58316170598846,None,1.5,31,222.61566878599115,None,None,0,222.61566878599115,None,You did not win $0.20!,-5.199999999999999,2,25,0.5,45.16129032258064,0.30075500457314774,[0],49.99999999999999,24,3,,3.2604317030054517,,037,Scanner,1,2019_Aug_23_1247,MID,3.1.5,24.04771227695621,
Triangle,4000,0,31,31,31,,224.57605967199197,None,4000,226.5818532659905,None,None,226.5818532659905,None,1.5,32,230.60072188801132,None,1,1,230.60072188801132,None,You did not win or lose anything!,-5.199999999999999,3,25,0.5,46.875,0.30236302960159567,[0],49.99999999999999,24,3,0.3248753799998667,,,037,Scanner,1,2019_Aug_23_1247,MID,3.1.5,24.04771227695621,
SmallReward,3500,0,32,32,32,,232.57530030299677,None,3500,234.58553543000016,None,1,234.58553543000016,None,1.5,33,238.1051341650018,None,None,0,238.1051341650018,None,You did not win $0.20!,-5.199999999999999,2,26,0.5,45.45454545454545,0.30236302960159567,"[0, 0]",49.99999999999999,24,3,,1.7240645900019445,,037,Scanner,1,2019_Aug_23_1247,MID,3.1.5,24.04771227695621,
Triangle,1500,0,33,33,33,,240.07811792200664,None,1500,242.08513611799572,None,None,242.08513611799572,None,1.5,34,243.60215102499933,None,None,0,243.60215102499933,None,You did not win or lose anything!,-5.199999999999999,3,26,0.5,44.11764705882353,0.30236302960159567,"[0, 0]",49.99999999999999,24,3,,,,037,Scanner,1,2019_Aug_23_1247,MID,3.1.5,24.04771227695621,
SmallReward,1500,0,34,34,34,,245.57687154901214,None,1500,247.58590228899266,None,None,247.58590228899266,None,1.5,35,249.1097966049856,None,None,0,249.1097966049856,None,You did not win $0.20!,-5.199999999999999,2,27,0.5,42.857142857142854,0.30236302960159567,[],33.33333333333333,27,3,,,Adjusting RT...,037,Scanner,1,2019_Aug_23_1247,MID,3.1.5,24.04771227695621,
SmallPun,4000,0,35,35,35,,251.0779065619863,None,4000,253.09165991499322,None,None,253.09165991499322,None,1.5,36,257.1032343179977,None,1,1,257.1032343179977,None,You did not lose $0.20!,-5.199999999999999,5,28,0.5,44.44444444444444,0.3054170985651581,[1],33.33333333333333,27,3,0.35122813301859424,,,037,Scanner,1,2019_Aug_23_1247,MID,3.1.5,24.04771227695621,
Triangle,1500,0,36,36,36,,259.0777139849961,None,1500,261.0879449869972,None,None,261.0879449869972,None,1.5,37,262.60417024200433,None,None,0,262.60417024200433,None,You did not win or lose anything!,-5.199999999999999,3,28,0.5,43.24324324324324,0.3054170985651581,[1],33.33333333333333,27,3,,,,037,Scanner,1,2019_Aug_23_1247,MID,3.1.5,24.04771227695621,
SmallPun,2000,0,37,37,37,,264.57789302201127,None,2000,266.5886570230068,None,None,266.5886570230068,None,1.5,38,268.59621446201345,None,1,1,268.59621446201345,None,You did not lose $0.20!,-5.199999999999999,5,29,0.5,44.73684210526316,0.30846563488525774,"[1, 1]",33.33333333333333,27,3,0.3572422160068527,,,037,Scanner,1,2019_Aug_23_1247,MID,3.1.5,24.04771227695621,
LgReward,2500,0,38,38,38,,270.5779928980046,None,2500,272.5895834440016,None,None,272.5895834440016,None,1.5,39,275.1229121189972,None,1,1,275.1229121189972,None,You won $5.00!,-0.1999999999999993,1,30,0.5,46.15384615384615,0.30897793455935446,[],50.0,30,3,0.31768702901899815,,Adjusting RT...,037,Scanner,1,2019_Aug_23_1247,MID,3.1.5,24.04771227695621,
LgReward,1500,0,39,39,39,,277.0902203959995,None,1500,279.0887145670131,None,None,279.0887145670131,None,1.5,40,280.61231813699123,None,1,1,280.61231813699123,None,You won $5.00!,4.800000000000001,1,31,0.5,47.5,0.3121516863726643,[1],50.0,30,3,0.3692792190122418,,,037,Scanner,1,2019_Aug_23_1247,MID,3.1.5,24.04771227695621,
LgPun,1500,0,40,40,40,,282.578626736009,None,1500,284.5914798339945,None,None,284.5914798339945,None,1.5,41,286.0956412249943,None,None,0,286.0956412249943,None,You lost $5.00!,-0.1999999999999993,4,32,0.5,46.34146341463415,0.3121516863726643,"[1, 0]",50.0,30,3,,,,037,Scanner,1,2019_Aug_23_1247,MID,3.1.5,24.04771227695621,
SmallPun,2000,0,41,41,41,,288.0790771410102,None,2000,290.0919482810132,None,None,290.0919482810132,None,1.5,42,292.0973081770062,None,1,1,292.0973081770062,None,You did not lose $0.20!,-0.1999999999999993,5,33,0.47,47.61904761904761,0.31345917705475584,[],83.33333333333333,33,3,0.3383015000144951,,Adjusting RT...,037,Scanner,1,2019_Aug_23_1247,MID,3.1.5,24.04771227695621,
LgReward,1500,0,42,42,42,,294.07929195300676,None,1500,296.0923902129871,None,None,296.0923902129871,None,1.53,43,297.61337430001004,None,None,0,297.61337430001004,None,You did not win $5.00!,-0.1999999999999993,1,34,0.47,46.51162790697674,0.31345917705475584,[0],83.33333333333333,33,3,,,,037,Scanner,1,2019_Aug_23_1247,MID,3.1.5,24.04771227695621,
SmallPun,1500,0,43,43,43,,299.53770165899186,None,1500,301.5585458620044,None,None,301.5585458620044,None,1.53,44,303.0594638809853,None,None,0,303.0594638809853,None,You lost $0.20!,-0.3999999999999993,5,35,0.47,45.45454545454545,0.31345917705475584,"[0, 0]",83.33333333333333,33,3,,,,037,Scanner,1,2019_Aug_23_1247,MID,3.1.5,24.04771227695621,
SmallReward,1500,0,44,44,44,,304.99633188100415,None,1500,307.01163766600075,None,None,307.01163766600075,None,1.53,45,308.52698970399797,None,None,0,308.52698970399797,None,You did not win $0.20!,-0.3999999999999993,2,36,0.5,44.44444444444444,0.31345917705475584,[],33.33333333333333,36,3,,,Adjusting RT...,037,Scanner,1,2019_Aug_23_1247,MID,3.1.5,24.04771227695621,
LgReward,4000,0,45,45,45,,310.4566001589992,None,4000,312.4615492990124,None,None,312.4615492990124,None,1.5,46,316.4938355690101,None,1,1,316.4938355690101,None,You won $5.00!,4.6000000000000005,1,37,0.5,45.65217391304348,0.31632590019615325,[1],33.33333333333333,36,3,0.37366036302410066,,,037,Scanner,1,2019_Aug_23_1247,MID,3.1.5,24.04771227695621,
Triangle,3000,0,46,46,46,,318.4552921949944,None,3000,320.4645456850121,None,None,320.4645456850121,None,1.5,47,323.4788312210003,None,None,0,323.4788312210003,None,You did not win or lose anything!,4.6000000000000005,3,37,0.5,44.680851063829785,0.31632590019615325,[1],33.33333333333333,36,3,,,,037,Scanner,1,2019_Aug_23_1247,MID,3.1.5,24.04771227695621,
SmallPun,3000,0,47,47,47,,325.45559855998727,None,3000,327.4608064519998,None,None,327.4608064519998,None,1.5,48,330.4795985489909,None,None,0,330.4795985489909,None,You lost $0.20!,4.4,5,38,0.5,43.75,0.31632590019615325,"[1, 0]",33.33333333333333,36,3,,,,037,Scanner,1,2019_Aug_23_1247,MID,3.1.5,24.04771227695621,
SmallPun,2500,0,48,48,48,,332.4558576660056,None,2500,334.4651340220007,None,None,334.4651340220007,None,1.5,49,336.9803241860063,None,None,0,336.9803241860063,None,You lost $0.20!,4.2,5,39,0.5,42.857142857142854,0.31632590019615325,[],16.666666666666664,39,3,,,Adjusting RT...,037,Scanner,1,2019_Aug_23_1247,MID,3.1.5,24.04771227695621,
SmallReward,2000,0,49,49,49,,338.9562759429973,None,2000,340.96485699299956,None,None,340.96485699299956,None,1.5,50,342.98743743199157,None,1,1,342.98743743199157,None,You won $0.20!,4.4,2,40,0.5,44.0,0.31886381209584547,[1],16.666666666666664,39,3,0.3721599619893823,,,037,Scanner,1,2019_Aug_23_1247,MID,3.1.5,24.04771227695621,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,037,Scanner,1,2019_Aug_23_1247,MID,3.1.5,24.04771227695621,
