Condition,FixationDur,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,TrialOrder,cueImage.started,cueImage.stopped,FixationDur,fixation.started,fixation.stopped,fixationResp.keys,fixationResp.started,fixationResp.stopped,feedbackDur,Trial counter,Target.started,Target.stopped,probeResp.keys,probeResp.corr,probeResp.rt,probeResp.started,probeResp.stopped,msg,TrackEarnings,TrialType,NonNeutralTrialsNum,probeDur,percentacc_total,meanrt,UserAcc,Acc,AdjTrial,AdjTrialInc,AdjRTmsg,fixationResp.rt,participant,prac_or_scan,run,date,expName,psychopyVersion,frameRate,
SmallReward,4000,0,39,39,39,,259.11467274298775,None,4000,261.1316720179748,None,None,261.1316720179748,None,1.73,40,265.1485523149895,None,1,1,0.02450906901503913,265.1485523149895,None,You won $0.20!,15.2,2,30,0.2899999999999999,60.0,0.20288636916666292,[],49.99999999999999,30,3,Adjusting RT...,,0000,Scanner,1,2019_Aug_27_1536,MID,3.1.5,60.035471477100494,
SmallPun,1500,0,40,40,40,,267.10115467899595,None,1500,269.1328310749959,None,None,269.1328310749959,None,1.71,41,270.63295152198407,None,None,0,,270.63295152198407,None,You lost $0.20!,15.0,5,31,0.2899999999999999,58.536585365853654,0.20288636916666292,[0],49.99999999999999,30,3,,,0000,Scanner,1,2019_Aug_27_1536,MID,3.1.5,60.035471477100494,
SmallReward,2000,0,41,41,41,,272.59952502697706,None,2000,274.6168734669918,None,None,274.6168734669918,None,1.71,42,276.6337739399751,None,None,0,,276.6337739399751,None,You did not win $0.20!,15.0,2,32,0.2899999999999999,57.14285714285714,0.20288636916666292,"[0, 0]",49.99999999999999,30,3,,,0000,Scanner,1,2019_Aug_27_1536,MID,3.1.5,60.035471477100494,
SmallReward,1500,0,42,42,42,,278.5838304130011,None,1500,280.6011014279793,None,None,280.6011014279793,None,1.71,43,282.11790635299985,None,None,0,,282.11790635299985,None,You did not win $0.20!,15.0,2,33,0.3399999999999999,55.81395348837209,0.20288636916666292,[],16.666666666666664,33,3,Adjusting RT...,,0000,Scanner,1,2019_Aug_27_1536,MID,3.1.5,60.035471477100494,
SmallPun,1500,0,43,43,43,,284.05316168497666,None,1500,286.0849242839904,None,None,286.0849242839904,None,1.6600000000000001,44,287.5845344159752,None,1,1,0.2551862070104107,287.5845344159752,None,You did not lose $0.20!,15.0,5,34,0.3399999999999999,56.81818181818182,0.20497836268041283,[1],16.666666666666664,33,3,,,0000,Scanner,1,2019_Aug_27_1536,MID,3.1.5,60.035471477100494,
SmallPun,1500,0,44,44,44,,289.53702085799887,None,1500,291.5682139220007,None,None,291.5682139220007,None,1.6600000000000001,45,293.0688665350026,None,1,1,0.2589507910015527,293.0688665350026,None,You did not lose $0.20!,15.0,5,35,0.3399999999999999,57.77777777777777,0.207054225308149,"[1, 1]",16.666666666666664,33,3,,,0000,Scanner,1,2019_Aug_27_1536,MID,3.1.5,60.035471477100494,
LgReward,2000,0,45,45,45,,295.03605326398974,None,2000,297.05334528099047,None,None,297.05334528099047,None,1.6600000000000001,46,299.0701057709812,None,1,1,0.2175875190005172,299.0701057709812,None,You won $5.00!,20.0,1,36,0.35999999999999993,58.69565217391305,0.2074443472967552,[],50.0,36,3,Adjusting RT...,,0000,Scanner,1,2019_Aug_27_1536,MID,3.1.5,60.035471477100494,
LgPun,4000,0,46,46,46,,301.0033017329988,None,4000,303.0370829709864,None,None,303.0370829709864,None,1.6400000000000001,47,307.0378394369909,None,1,1,0.2259812189731747,307.0378394369909,None,You did not lose $5.00!,20.0,4,37,0.35999999999999993,59.57446808510638,0.2081063784280559,[1],50.0,36,3,,,0000,Scanner,1,2019_Aug_27_1536,MID,3.1.5,60.035471477100494,
SmallPun,3000,0,47,47,47,,308.9898390589806,None,3000,311.0216407759872,None,None,311.0216407759872,None,1.6400000000000001,48,314.0216569979966,None,1,1,0.2581369160034228,314.0216569979966,None,You did not lose $0.20!,20.0,5,38,0.35999999999999993,60.416666666666664,0.20983156937893063,"[1, 1]",50.0,36,3,,,0000,Scanner,1,2019_Aug_27_1536,MID,3.1.5,60.035471477100494,
LgReward,2500,0,48,48,48,,315.9918196979852,None,2500,318.0059147979773,None,None,318.0059147979773,None,1.6400000000000001,49,320.52262122998945,None,1,1,0.26116424301289953,320.52262122998945,None,You won $5.00!,25.0,1,39,0.30999999999999994,61.224489795918366,0.21154265850006293,[],100.0,39,3,Adjusting RT...,,0000,Scanner,1,2019_Aug_27_1536,MID,3.1.5,60.035471477100494,
SmallPun,3500,0,49,49,49,,322.4578557939967,None,3500,324.4901872749906,None,None,324.4901872749906,None,1.69,50,327.99061028199503,None,None,0,,327.99061028199503,None,You lost $0.20!,24.8,5,40,0.30999999999999994,60.0,0.21154265850006293,[0],100.0,39,3,,,0000,Scanner,1,2019_Aug_27_1536,MID,3.1.5,60.035471477100494,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0000,Scanner,1,2019_Aug_27_1536,MID,3.1.5,60.035471477100494,
