Condition,FixationDur,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,TrialOrder,cueImage.started,cueImage.stopped,FixationDur.1,fixation.started,fixation.stopped,fixationResp.keys,fixationResp.started,fixationResp.stopped,feedbackDur,Trial counter,Target.started,Target.stopped,probeResp.keys,probeResp.corr,probeResp.started,probeResp.stopped,msg,TrackEarnings,TrialType,NonNeutralTrialsNum,probeDur,percentacc_total,meanrt,UserAcc,Acc,AdjTrial,AdjTrialInc,feedback_resp.keys,feedback_resp.rt,OverallRT,probeResp.rt,AdjRTmsg,fixationResp.rt,participant,prac_or_scan,run,date,expName,psychopyVersion,frameRate,Unnamed: 47,Unnamed: 46,Unnamed: 44,Unnamed: 45,Unnamed: 7,Unnamed: 43
LgPun,2000.0,0.0,22.0,22.0,22.0,,174.42806117199868,None,2000.0,176.45682989499986,None,None,176.45682989499986,None,1.7200000000000002,23.0,178.48976699899868,None,1,1.0,178.48976699899868,None,You did not lose $5.00!,5.800000000000002,4.0,17.0,0.2799999999999999,69.56521739130434,0.2552606080625992,"[1, 1]",66.66666666666666,15.0,3.0,None,,0.21469481899839596,0.21469481899839596,,,1,Scanner,1,2019_Sep_06_1102,MID,3.1.5,60.30067423658321,,,,,,
SmallPun,1500.0,0.0,23.0,23.0,23.0,,180.5284141779994,None,1500.0,182.55654003200107,None,None,182.55654003200107,None,1.7200000000000002,24.0,184.09421497600124,None,None,0.0,184.09421497600124,None,You lost $0.20!,5.6000000000000005,5.0,18.0,0.2499999999999999,66.66666666666666,0.2552606080625992,[],83.33333333333333,18.0,3.0,None,,0.21469481899839596,,Adjusting RT...,,1,Scanner,1,2019_Sep_06_1102,MID,3.1.5,60.30067423658321,,,,,,
LgReward,4000.0,0.0,24.0,24.0,24.0,,186.1403137710004,None,4000.0,188.17407977000042,None,1,188.17407977000042,None,1.75,25.0,192.225210675002,None,None,0.0,192.225210675002,None,You did not win $5.00!,5.6000000000000005,1.0,19.0,0.2499999999999999,64.0,0.2552606080625992,[0],83.33333333333333,18.0,3.0,1,0.02379666799970437,0.27379666799970426,,,0.2482970789969841,1,Scanner,1,2019_Sep_06_1102,MID,3.1.5,60.30067423658321,,,,,,
SmallReward,2500.0,0.0,25.0,25.0,25.0,,194.2755147390017,None,2500.0,196.30837186799909,None,None,196.30837186799909,None,1.75,26.0,198.85879941399983,None,None,0.0,198.85879941399983,None,You did not win $0.20!,5.6000000000000005,2.0,20.0,0.2499999999999999,61.53846153846154,0.2552606080625992,"[0, 0]",83.33333333333333,18.0,3.0,1,0.02175417199759977,0.2717541719975997,,,,1,Scanner,1,2019_Sep_06_1102,MID,3.1.5,60.30067423658321,,,,,,
Triangle,4000.0,0.0,26.0,26.0,26.0,,200.89568661500016,None,4000.0,202.92614782799862,None,None,202.92614782799862,None,1.75,27.0,206.95994127900119,None,None,0.0,206.95994127900119,None,You did not win or lose anything!,5.6000000000000005,3.0,20.0,0.2499999999999999,59.25925925925925,0.2552606080625992,"[0, 0]",83.33333333333333,18.0,3.0,1,0.016723269000067376,0.2667232690000673,,,,1,Scanner,1,2019_Sep_06_1102,MID,3.1.5,60.30067423658321,,,,,,
SmallPun,2000.0,0.0,27.0,27.0,27.0,,208.9963920629998,None,2000.0,211.02715753699886,None,None,211.02715753699886,None,1.75,28.0,213.061019609002,None,None,0.0,213.061019609002,None,You lost $0.20!,5.4,5.0,21.0,0.2899999999999999,57.14285714285714,0.2552606080625992,[],33.33333333333333,21.0,3.0,1,0.046418977999564966,0.3364189779995649,,Adjusting RT...,,1,Scanner,1,2019_Sep_06_1102,MID,3.1.5,60.30067423658321,,,,,,
SmallReward,3000.0,0.0,28.0,28.0,28.0,,215.11091867100185,None,3000.0,217.14467644799882,None,1,217.14467644799882,None,1.71,29.0,220.19502069599912,None,1,1.0,220.19502069599912,None,You won $0.20!,5.6000000000000005,2.0,22.0,0.2899999999999999,58.620689655172406,0.25362354629417977,[1],33.33333333333333,21.0,3.0,None,,0.2274305579994689,0.2274305579994689,,0.8917756190021464,1,Scanner,1,2019_Sep_06_1102,MID,3.1.5,60.30067423658321,,,,,,
LgReward,1500.0,0.0,29.0,29.0,29.0,,222.2447468009996,None,1500.0,224.2787897080016,None,None,224.2787897080016,None,1.71,30.0,225.82925871599946,None,None,0.0,225.82925871599946,None,You did not win $5.00!,5.6000000000000005,1.0,23.0,0.2899999999999999,56.66666666666666,0.25362354629417977,"[1, 0]",33.33333333333333,21.0,3.0,1,0.17253568100204575,0.4625356810020457,,,,1,Scanner,1,2019_Sep_06_1102,MID,3.1.5,60.30067423658321,,,,,,
SmallPun,2000.0,0.0,30.0,30.0,30.0,,227.8643785860004,None,2000.0,229.89630742300145,None,None,229.89630742300145,None,1.71,31.0,231.929955642001,None,1,1.0,231.929955642001,None,You did not lose $0.20!,5.6000000000000005,5.0,24.0,0.3299999999999999,58.064516129032256,0.2440082313888625,[],33.33333333333333,24.0,3.0,None,,0.08054787799846963,0.08054787799846963,Adjusting RT...,,1,Scanner,1,2019_Sep_06_1102,MID,3.1.5,60.30067423658321,,,,,,
LgPun,2000.0,0.0,31.0,31.0,31.0,,233.96463387100087,None,2000.0,235.9975984369994,None,None,235.9975984369994,None,1.6700000000000002,32.0,238.03060017000095,None,1,1.0,238.03060017000095,None,You did not lose $5.00!,5.6000000000000005,4.0,25.0,0.3299999999999999,59.375,0.2457368870525801,[1],33.33333333333333,24.0,3.0,None,,0.2768526889994973,0.2768526889994973,,,1,Scanner,1,2019_Sep_06_1102,MID,3.1.5,60.30067423658321,,,,,,
