Condition,FixationDur,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,TrialOrder,cueImage.started,cueImage.stopped,FixationDur,fixation.started,fixation.stopped,fixationResp.keys,fixationResp.rt,fixationResp.started,fixationResp.stopped,feedbackDur,Trial counter,Target.started,Target.stopped,probeResp.keys,probeResp.corr,probeResp.started,probeResp.stopped,msg,TrackEarnings,TrialType,NonNeutralTrialsNum,probeDur,percentacc_total,meanrt,UserAcc,Acc,AdjTrial,AdjTrialInc,AdjRTmsg,probeResp.rt,participant,prac_or_scan,run,date,expName,psychopyVersion,frameRate,
LgReward,2000,0,26,26,26,,191.27183288999368,None,2000,193.28122946500662,None,None,,193.28122946500662,None,1.54,27,195.30175959900953,None,None,0,195.30175959900953,None,You did not win $5.00!,-9.8,1,22,0.45999999999999996,37.03703703703704,0.30176112409390043,[0],49.99999999999999,21,3,,,036,Scanner,1,2019_Aug_25_0950,MID,3.1.5,23.93116243320445,
LgReward,3000,0,27,27,27,,197.27298193401657,None,3000,199.28241439399426,None,None,,199.28241439399426,None,1.54,28,202.30215311600477,None,1,1,202.30215311600477,None,You won $5.00!,-4.800000000000001,1,23,0.45999999999999996,39.285714285714285,0.30079643935790623,"[0, 1]",49.99999999999999,21,3,,0.2911495919979643,036,Scanner,1,2019_Aug_25_0950,MID,3.1.5,23.93116243320445,
Triangle,4000,0,28,28,28,,204.27342794000288,None,4000,206.29756411499693,None,None,,206.29756411499693,None,1.54,29,210.29619979701238,None,1,1,210.29619979701238,None,You did not win or lose anything!,-4.800000000000001,3,23,0.45999999999999996,41.37931034482759,0.29814755841168034,"[0, 1]",49.99999999999999,21,3,,0.26900986800319515,036,Scanner,1,2019_Aug_25_0950,MID,3.1.5,23.93116243320445,
LgPun,1500,0,29,29,29,,212.27353624999523,None,1500,214.2809799789975,None,None,,214.2809799789975,None,1.54,30,215.79762189800385,None,None,0,215.79762189800385,None,You lost $5.00!,-9.8,4,24,0.49999999999999994,40.0,0.29814755841168034,[],33.33333333333333,24,3,Adjusting RT...,,036,Scanner,1,2019_Aug_25_0950,MID,3.1.5,23.93116243320445,
SmallReward,1500,0,30,30,30,,217.77861243402003,None,1500,219.78172428300604,None,None,,219.78172428300604,None,1.5,31,221.3140429549967,None,None,0,221.3140429549967,None,You did not win $0.20!,-9.8,2,25,0.49999999999999994,38.70967741935484,0.29814755841168034,[0],33.33333333333333,24,3,,,036,Scanner,1,2019_Aug_25_0950,MID,3.1.5,23.93116243320445,
LgReward,1500,0,31,31,31,,223.27423921701848,None,1500,225.28036615101155,None,None,,225.28036615101155,None,1.5,32,226.80341861699708,None,None,0,226.80341861699708,None,You did not win $5.00!,-9.8,1,26,0.49999999999999994,37.5,0.29814755841168034,"[0, 0]",33.33333333333333,24,3,,,036,Scanner,1,2019_Aug_25_0950,MID,3.1.5,23.93116243320445,
LgReward,4000,0,32,32,32,,228.77591295400634,None,4000,230.78430821801885,None,None,,230.78430821801885,None,1.5,33,234.80608960799873,None,1,1,234.80608960799873,None,You won $5.00!,-4.800000000000001,1,27,0.5,39.39393939393939,0.2972294272241505,[],33.33333333333333,27,3,Adjusting RT...,0.2862118529737927,036,Scanner,1,2019_Aug_25_0950,MID,3.1.5,23.93116243320445,
SmallPun,3500,0,33,33,33,,236.77472992500407,None,3500,238.78195940400474,None,None,,238.78195940400474,None,1.5,34,242.2910873410001,None,1,1,242.2910873410001,None,You did not lose $0.20!,-4.800000000000001,5,28,0.5,41.17647058823529,0.29886371335097855,[1],33.33333333333333,27,3,,0.32010943299974315,036,Scanner,1,2019_Aug_25_0950,MID,3.1.5,23.93116243320445,
Triangle,1500,0,34,34,34,,244.27541449302225,None,1500,246.28475923099904,None,1,0.7315494290087372,246.28475923099904,None,1.5,35,247.80053299700376,None,None,0,247.80053299700376,None,You did not win or lose anything!,-4.800000000000001,3,28,0.5,40.0,0.29886371335097855,[1],33.33333333333333,27,3,,,036,Scanner,1,2019_Aug_25_0950,MID,3.1.5,23.93116243320445,
Triangle,2000,0,35,35,35,,249.77494830201613,None,2000,251.78446455701487,None,None,,251.78446455701487,None,1.5,36,253.8011015180091,None,None,0,253.8011015180091,None,You did not win or lose anything!,-4.800000000000001,3,28,0.5,38.88888888888889,0.29886371335097855,[1],33.33333333333333,27,3,,,036,Scanner,1,2019_Aug_25_0950,MID,3.1.5,23.93116243320445,
