Condition,FixationDur,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,TrialOrder,cueImage.started,cueImage.stopped,FixationDur,fixation.started,fixation.stopped,fixationResp.keys,fixationResp.started,fixationResp.stopped,feedbackDur,Trial counter,Target.started,Target.stopped,probeResp.keys,probeResp.corr,probeResp.started,probeResp.stopped,msg,TrackEarnings,TrialType,NonNeutralTrialsNum,probeDur,percentacc_total,meanrt,UserAcc,Acc,AdjTrial,AdjTrialInc,feedback_resp.keys,feedback_resp.rt,OverallRT,probeResp.rt,fixationResp.rt,AdjRTmsg,participant,prac_or_scan,run,date,expName,psychopyVersion,frameRate,
LgPun,2000,0,24,24,24,,229.03193714399822,None,2000,231.05261721200077,None,None,231.05261721200077,None,1.5,25,233.05293680602335,None,None,0,233.05293680602335,None,You lost $5.00!,-14.6,4,21,0.5,48.0,0.33423779800068587,[],33.33333333333333,21,3,None,,0.370953775011003,,,Adjusting RT...,031,Scanner,2,2019_Aug_29_1215,MID,3.1.5,24.035149426294588,
SmallPun,1500,0,25,25,25,,235.07373357200413,None,1500,237.086111437995,None,None,237.086111437995,None,1.5,26,238.59173543201177,None,1,1,238.59173543201177,None,You did not lose $0.20!,-14.6,5,22,0.5,50.0,0.33834645084705417,[1],33.33333333333333,21,3,None,,0.387650285003474,0.387650285003474,,,031,Scanner,2,2019_Aug_29_1215,MID,3.1.5,24.035149426294588,
LgPun,3000,0,26,26,26,,240.6158371680067,None,3000,242.6214883350185,None,None,242.6214883350185,None,1.5,27,245.6373640380043,None,None,0,245.6373640380043,None,You lost $5.00!,-19.6,4,23,0.5,48.148148148148145,0.33834645084705417,"[1, 0]",33.33333333333333,21,3,None,,0.387650285003474,,,,031,Scanner,2,2019_Aug_29_1215,MID,3.1.5,24.035149426294588,
LgReward,2000,0,27,27,27,,247.65748986799736,None,2000,249.67097913101315,None,None,249.67097913101315,None,1.5,28,251.68700307499967,None,1,1,251.68700307499967,None,You won $5.00!,-14.600000000000001,1,24,0.5,50.0,0.3436341525001418,[],49.99999999999999,24,3,None,,0.4123742739902809,0.4123742739902809,,Adjusting RT...,031,Scanner,2,2019_Aug_29_1215,MID,3.1.5,24.035149426294588,
Triangle,1500,0,28,28,28,,253.69936567900004,None,1500,255.70400557899848,None,None,255.70400557899848,None,1.5,29,257.22239803601406,None,None,0,257.22239803601406,None,You did not win or lose anything!,-14.600000000000001,3,24,0.5,48.275862068965516,0.3436341525001418,[],49.99999999999999,24,3,1,0.13682911099749617,0.6368291109974962,,,,031,Scanner,2,2019_Aug_29_1215,MID,3.1.5,24.035149426294588,
Triangle,2000,0,29,29,29,,259.24139162001666,None,2000,261.2558157140156,None,None,261.2558157140156,None,1.5,30,263.2548938260006,None,1,1,263.2548938260006,None,You did not win or lose anything!,-14.600000000000001,3,24,0.5,50.0,0.35029146446613596,[],49.99999999999999,24,3,None,,0.4434938319900539,0.4434938319900539,,,031,Scanner,2,2019_Aug_29_1215,MID,3.1.5,24.035149426294588,
SmallReward,4000,0,30,30,30,,265.28727716201684,None,4000,267.2904062810121,None,None,267.2904062810121,None,1.5,31,271.3255475409969,None,1,1,271.3255475409969,None,You won $0.20!,-14.400000000000002,2,25,0.5,51.61290322580645,0.3464420270611299,[1],49.99999999999999,24,3,None,,0.2887004659860395,0.2887004659860395,,,031,Scanner,2,2019_Aug_29_1215,MID,3.1.5,24.035149426294588,
Triangle,4000,0,31,31,31,,273.32477741801995,None,4000,275.3418018800148,None,None,275.3418018800148,None,1.5,32,279.34241969001596,None,None,0,279.34241969001596,None,You did not win or lose anything!,-14.400000000000002,3,25,0.5,50.0,0.3464420270611299,[1],49.99999999999999,24,3,1,0.06283982601598836,0.5628398260159884,,,,031,Scanner,2,2019_Aug_29_1215,MID,3.1.5,24.035149426294588,
SmallReward,3500,0,32,32,32,,281.37475826300215,None,3500,283.377087735018,None,None,283.377087735018,None,1.5,33,286.8968172589957,None,None,0,286.8968172589957,None,You did not win $0.20!,-14.400000000000002,2,26,0.5,48.484848484848484,0.3464420270611299,"[1, 0]",49.99999999999999,24,3,None,,0.5628398260159884,,,,031,Scanner,2,2019_Aug_29_1215,MID,3.1.5,24.035149426294588,
Triangle,1500,0,33,33,33,,288.90900715300813,None,1500,290.92686952999793,None,None,290.92686952999793,None,1.5,34,292.42746173602063,None,None,0,292.42746173602063,None,You did not win or lose anything!,-14.400000000000002,3,26,0.5,47.05882352941176,0.3464420270611299,"[1, 0]",49.99999999999999,24,3,None,,0.5628398260159884,,,,031,Scanner,2,2019_Aug_29_1215,MID,3.1.5,24.035149426294588,
SmallReward,1500,0,34,34,34,,294.4517213910003,None,1500,296.46004332700977,None,None,296.46004332700977,None,1.5,35,297.9820824119961,None,1,1,297.9820824119961,None,You won $0.20!,-14.200000000000003,2,27,0.48,48.57142857142857,0.34808071135022844,[],66.66666666666666,27,3,None,,0.3742996599758044,0.3742996599758044,,Adjusting RT...,031,Scanner,2,2019_Aug_29_1215,MID,3.1.5,24.035149426294588,
SmallPun,4000,0,35,35,35,,299.9925544889993,None,4000,302.01186265901197,None,None,302.01186265901197,None,1.52,36,306.0119581890176,None,None,0,306.0119581890176,None,You lost $0.20!,-14.400000000000002,5,28,0.48,47.22222222222222,0.34808071135022844,[0],66.66666666666666,27,3,1,0.002649851987371221,0.4826498519873712,,,,031,Scanner,2,2019_Aug_29_1215,MID,3.1.5,24.035149426294588,
Triangle,1500,0,36,36,36,,307.99333372799447,None,1500,310.01224301502225,None,None,310.01224301502225,None,1.52,37,311.51309246601886,None,None,0,311.51309246601886,None,You did not win or lose anything!,-14.400000000000002,3,28,0.48,45.94594594594595,0.34808071135022844,[0],66.66666666666666,27,3,1,0.08714314599637873,0.5671431459963787,,,,031,Scanner,2,2019_Aug_29_1215,MID,3.1.5,24.035149426294588,
SmallPun,2000,0,37,37,37,,313.49400025900104,None,2000,315.5003412030055,None,None,315.5003412030055,None,1.52,38,317.51327085401863,None,None,0,317.51327085401863,None,You lost $0.20!,-14.600000000000001,5,29,0.48,44.73684210526316,0.34808071135022844,"[0, 0]",66.66666666666666,27,3,None,,0.5671431459963787,,,,031,Scanner,2,2019_Aug_29_1215,MID,3.1.5,24.035149426294588,
LgReward,2500,0,38,38,38,,319.49357002502074,None,2500,321.5138167560217,None,None,321.5138167560217,None,1.52,39,324.0309255780012,None,None,0,324.0309255780012,None,You did not win $5.00!,-14.600000000000001,1,30,0.5,43.58974358974359,0.34808071135022844,[],33.33333333333333,30,3,None,,0.5671431459963787,,,Adjusting RT...,031,Scanner,2,2019_Aug_29_1215,MID,3.1.5,24.035149426294588,
LgReward,1500,0,39,39,39,,326.0363651950029,None,1500,328.0418979320093,None,None,328.0418979320093,None,1.5,40,329.56795877200784,None,1,1,329.56795877200784,None,You won $5.00!,-9.600000000000001,1,31,0.5,45.0,0.3472048122186809,[1],33.33333333333333,30,3,None,,0.3323145269823726,0.3323145269823726,,,031,Scanner,2,2019_Aug_29_1215,MID,3.1.5,24.035149426294588,
LgPun,1500,0,40,40,40,,331.5783965860028,None,1500,333.6007348819985,None,None,333.6007348819985,None,1.5,41,335.09922674600966,None,1,1,335.09922674600966,None,You did not lose $5.00!,-9.600000000000001,4,32,0.5,46.34146341463415,0.35067595020671816,"[1, 1]",33.33333333333333,30,3,None,,0.41315643399138935,0.41315643399138935,,,031,Scanner,2,2019_Aug_29_1215,MID,3.1.5,24.035149426294588,
SmallPun,2000,0,41,41,41,,337.1202027070103,None,2000,339.13295614899835,None,None,339.13295614899835,None,1.5,42,341.1381338800129,None,1,1,341.1381338800129,None,You did not lose $0.20!,-9.600000000000001,5,33,0.5,47.61904761904761,0.3528491172459326,[],50.0,33,3,None,,0.3941392909910064,0.3941392909910064,,Adjusting RT...,031,Scanner,2,2019_Aug_29_1215,MID,3.1.5,24.035149426294588,
LgReward,1500,0,42,42,42,,343.16212364201783,None,1500,345.16722869401565,None,None,345.16722869401565,None,1.5,43,346.6907982540142,None,None,0,346.6907982540142,None,You did not win $5.00!,-9.600000000000001,1,34,0.5,46.51162790697674,0.3528491172459326,[0],50.0,33,3,None,,0.3941392909910064,,,,031,Scanner,2,2019_Aug_29_1215,MID,3.1.5,24.035149426294588,
SmallPun,1500,0,43,43,43,,348.7039370140119,None,1500,350.716869699012,None,None,350.716869699012,None,1.5,44,352.22243374801474,None,1,1,352.22243374801474,None,You did not lose $0.20!,-9.600000000000001,5,35,0.5,47.72727272727273,0.35132673575814505,"[0, 1]",50.0,33,3,None,,0.3208791060023941,0.3208791060023941,,,031,Scanner,2,2019_Aug_29_1215,MID,3.1.5,24.035149426294588,
SmallReward,1500,0,44,44,44,,354.245973106008,None,1500,356.25102887599496,None,None,356.25102887599496,None,1.5,45,357.77519507400575,None,1,1,357.77519507400575,None,You won $0.20!,-9.400000000000002,2,36,0.47,48.888888888888886,0.3474064558157062,[],83.33333333333333,36,3,None,,0.2650805770244915,0.2650805770244915,,Adjusting RT...,031,Scanner,2,2019_Aug_29_1215,MID,3.1.5,24.035149426294588,
LgReward,4000,0,45,45,45,,359.78672410800937,None,4000,361.80247882101685,None,None,361.80247882101685,None,1.53,46,365.8200655130204,None,None,0,365.8200655130204,None,You did not win $5.00!,-9.400000000000002,1,37,0.47,47.82608695652174,0.3474064558157062,[0],83.33333333333333,36,3,1,0.080263946991181,0.550263946991181,,,,031,Scanner,2,2019_Aug_29_1215,MID,3.1.5,24.035149426294588,
Triangle,3000,0,46,46,46,,367.7888398079958,None,3000,369.7938057410065,None,None,369.7938057410065,None,1.53,47,372.80514872501954,None,None,0,372.80514872501954,None,You did not win or lose anything!,-9.400000000000002,3,37,0.47,46.808510638297875,0.3474064558157062,[0],83.33333333333333,36,3,1,0.045917365001514554,0.5159173650015145,,,,031,Scanner,2,2019_Aug_29_1215,MID,3.1.5,24.035149426294588,
SmallPun,3000,0,47,47,47,,374.8301008470007,None,3000,376.8380468499963,None,None,376.8380468499963,None,1.53,48,379.8549494080071,None,None,0,379.8549494080071,None,You lost $0.20!,-9.600000000000001,5,38,0.47,45.83333333333333,0.3474064558157062,"[0, 0]",83.33333333333333,36,3,1,0.015402003016788512,0.4854020030167885,,,,031,Scanner,2,2019_Aug_29_1215,MID,3.1.5,24.035149426294588,
SmallPun,2500,0,48,48,48,,381.8721104669967,None,2500,383.8891060820024,None,None,383.8891060820024,None,1.53,49,386.38949378801044,None,None,0,386.38949378801044,None,You lost $0.20!,-9.8,5,39,0.5,44.89795918367347,0.3474064558157062,[],33.33333333333333,39,3,1,0.006866726005682722,0.5068667260056827,,,Adjusting RT...,031,Scanner,2,2019_Aug_29_1215,MID,3.1.5,24.035149426294588,
SmallReward,2000,0,49,49,49,,388.4137845240184,None,2000,390.42424992102315,None,None,390.42424992102315,None,1.5,50,392.44404596902314,None,1,1,392.44404596902314,None,You won $0.20!,-9.600000000000001,2,40,0.5,46.0,0.3458818296064198,[1],33.33333333333333,39,3,None,,0.3123400530021172,0.3123400530021172,,,031,Scanner,2,2019_Aug_29_1215,MID,3.1.5,24.035149426294588,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,031,Scanner,2,2019_Aug_29_1215,MID,3.1.5,24.035149426294588,
