Condition,FixationDur,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,TrialOrder,cueImage.started,cueImage.stopped,FixationDur,fixation.started,fixation.stopped,fixationResp.keys,fixationResp.started,fixationResp.stopped,feedbackDur,Trial counter,Target.started,Target.stopped,probeResp.keys,probeResp.corr,probeResp.rt,probeResp.started,probeResp.stopped,msg,TrackEarnings,TrialType,NonNeutralTrialsNum,probeDur,percentacc_total,meanrt,UserAcc,Acc,AdjTrial,AdjTrialInc,feedback_resp.keys,OverallRT,AdjRTmsg,participant,prac_or_scan,run,date,expName,psychopyVersion,frameRate,
Triangle,3000,0,34,34,34,,243.46720635000383,None,3000,245.49608368898043,None,None,245.49608368898043,None,1.52,35,248.5292679409613,None,None,0,,248.5292679409613,None,You did not win or lose anything!,0.40000000000000213,3,26,0.48,45.714285714285715,0.33950807444853126,"[0, 1]",66.66666666666666,24,3,None,0.2830082370201126,,013,Scanner,1,2019_Sep_01_1510,MID,3.1.5,60.13075250990419,
LgPun,1500,0,35,35,35,,250.56745721795596,None,1500,252.59690862399293,None,None,252.59690862399293,None,1.52,36,254.13049588899594,None,None,0,,254.13049588899594,None,You lost $5.00!,-4.599999999999998,4,27,0.5,44.44444444444444,0.33950807444853126,[],49.99999999999999,27,3,None,0.2830082370201126,Adjusting RT...,013,Scanner,1,2019_Sep_01_1510,MID,3.1.5,60.13075250990419,
LgReward,1500,0,36,36,36,,256.180842613976,None,1500,258.2143845419632,None,None,258.2143845419632,None,1.5,37,259.76433844998246,None,1,1,0.34792308101896197,259.76433844998246,None,You won $5.00!,0.40000000000000213,1,28,0.5,45.94594594594595,0.3400030748350272,[1],49.99999999999999,27,3,None,0.34792308101896197,,013,Scanner,1,2019_Sep_01_1510,MID,3.1.5,60.13075250990419,
LgPun,3500,0,37,37,37,,261.79782118694857,None,3500,263.8327057319693,None,None,263.8327057319693,None,1.5,38,267.36584097798914,None,None,0,,267.36584097798914,None,You lost $5.00!,-4.599999999999998,4,29,0.5,44.73684210526316,0.3400030748350272,"[1, 0]",49.99999999999999,27,3,None,0.34792308101896197,,013,Scanner,1,2019_Sep_01_1510,MID,3.1.5,60.13075250990419,
LgPun,1500,0,38,38,38,,269.3985315680038,None,1500,271.4334253940033,None,None,271.4334253940033,None,1.5,39,272.96542532899184,None,None,0,,272.96542532899184,None,You lost $5.00!,-9.599999999999998,4,30,0.5,43.58974358974359,0.3400030748350272,[],33.33333333333333,30,3,None,0.34792308101896197,Adjusting RT...,013,Scanner,1,2019_Sep_01_1510,MID,3.1.5,60.13075250990419,
SmallPun,2500,0,39,39,39,,275.0022794039687,None,2500,277.0335143939592,None,None,277.0335143939592,None,1.5,40,279.5664496329846,None,None,0,,279.5664496329846,None,You lost $0.20!,-9.799999999999997,5,31,0.5,42.5,0.3400030748350272,[0],33.33333333333333,30,3,None,0.34792308101896197,,013,Scanner,1,2019_Sep_01_1510,MID,3.1.5,60.13075250990419,
LgReward,1500,0,40,40,40,,281.6177987830015,None,1500,283.6510175669682,None,None,283.6510175669682,None,1.5,41,285.20124939695233,None,1,1,0.40400422597303987,285.20124939695233,None,You won $5.00!,-4.799999999999997,1,32,0.5,43.90243902439025,0.34355869434269454,"[0, 1]",33.33333333333333,30,3,None,0.40400422597303987,,013,Scanner,1,2019_Sep_01_1510,MID,3.1.5,60.13075250990419,
SmallPun,1500,0,41,41,41,,287.2365896209958,None,1500,289.26887811894994,None,None,289.26887811894994,None,1.5,42,290.8022212649812,None,None,0,,290.8022212649812,None,You lost $0.20!,-4.999999999999997,5,33,0.5,42.857142857142854,0.34355869434269454,[],33.33333333333333,33,3,None,0.40400422597303987,Adjusting RT...,013,Scanner,1,2019_Sep_01_1510,MID,3.1.5,60.13075250990419,
Triangle,2000,0,42,42,42,,292.8369260429754,None,2000,294.86903761397116,None,None,294.86903761397116,None,1.5,43,296.90224141499493,None,None,0,,296.90224141499493,None,You did not win or lose anything!,-4.999999999999997,3,33,0.5,41.86046511627907,0.34355869434269454,[],33.33333333333333,33,3,None,0.40400422597303987,,013,Scanner,1,2019_Sep_01_1510,MID,3.1.5,60.13075250990419,
LgPun,4000,0,43,43,43,,298.93683353997767,None,4000,300.96988273999887,None,None,300.96988273999887,None,1.5,44,305.00343052396784,None,None,0,,305.00343052396784,None,You lost $5.00!,-9.999999999999996,4,34,0.5,40.909090909090914,0.34355869434269454,[0],33.33333333333333,33,3,None,0.40400422597303987,,013,Scanner,1,2019_Sep_01_1510,MID,3.1.5,60.13075250990419,
SmallReward,1500,0,44,44,44,,307.0540814389824,None,1500,309.0881301649497,None,None,309.0881301649497,None,1.5,45,310.6378492009826,None,1,1,0.3895209929905832,310.6378492009826,None,You won $0.20!,-9.799999999999997,2,35,0.5,42.22222222222222,0.34597776269258346,"[0, 1]",33.33333333333333,33,3,None,0.3895209929905832,,013,Scanner,1,2019_Sep_01_1510,MID,3.1.5,60.13075250990419,
LgReward,2500,0,45,45,45,,312.6881750290049,None,2500,314.7225119689829,None,None,314.7225119689829,None,1.5,46,317.2721500219777,None,1,1,0.28409789002034813,317.2721500219777,None,You won $5.00!,-4.799999999999997,1,36,0.5,43.47826086956522,0.34288376905897167,[],49.99999999999999,36,3,None,0.28409789002034813,Adjusting RT...,013,Scanner,1,2019_Sep_01_1510,MID,3.1.5,60.13075250990419,
SmallPun,3000,0,46,46,46,,319.3054624479846,None,3000,321.3393063090043,None,None,321.3393063090043,None,1.5,47,324.37215141794877,None,None,0,,324.37215141794877,None,You lost $0.20!,-4.999999999999997,5,37,0.5,42.5531914893617,0.34288376905897167,[0],49.99999999999999,36,3,None,0.28409789002034813,,013,Scanner,1,2019_Sep_01_1510,MID,3.1.5,60.13075250990419,
LgReward,2000,0,47,47,47,,326.4226270559593,None,2000,328.4558261309867,None,None,328.4558261309867,None,1.5,48,330.5055635289755,None,1,1,0.3278212639852427,330.5055635289755,None,You won $5.00!,2.6645352591003757e-15,1,38,0.5,43.75,0.34216650691260364,"[0, 1]",49.99999999999999,36,3,None,0.3278212639852427,,013,Scanner,1,2019_Sep_01_1510,MID,3.1.5,60.13075250990419,
SmallReward,4000,0,48,48,48,,332.55620455899043,None,4000,334.59048159298254,None,None,334.59048159298254,None,1.5,49,338.6390797549975,None,1,1,0.2733140760101378,338.6390797549975,None,You won $0.20!,0.20000000000000268,2,39,0.48,44.89795918367347,0.33903685096249153,[],66.66666666666666,39,3,None,0.2733140760101378,Adjusting RT...,013,Scanner,1,2019_Sep_01_1510,MID,3.1.5,60.13075250990419,
SmallPun,1500,0,49,49,49,,340.6734359629918,None,1500,342.70771423797123,None,None,342.70771423797123,None,1.52,50,344.2400526679703,None,None,0,,344.2400526679703,None,You lost $0.20!,2.6645352591003757e-15,5,40,0.48,44.0,0.33903685096249153,[0],66.66666666666666,39,3,None,0.2733140760101378,,013,Scanner,1,2019_Sep_01_1510,MID,3.1.5,60.13075250990419,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,013,Scanner,1,2019_Sep_01_1510,MID,3.1.5,60.13075250990419,
