Condition,FixationDur,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,TrialOrder,cueImage.started,cueImage.stopped,FixationDur,fixation.started,fixation.stopped,fixationResp.keys,fixationResp.started,fixationResp.stopped,feedbackDur,Trial counter,Target.started,Target.stopped,probeResp.keys,probeResp.corr,probeResp.rt,probeResp.started,probeResp.stopped,msg,TrackEarnings,TrialType,NonNeutralTrialsNum,probeDur,percentacc_total,meanrt,UserAcc,Acc,AdjTrial,AdjTrialInc,feedback_resp.keys,OverallRT,feedback_resp.rt,AdjRTmsg,fixationResp.rt,participant,prac_or_scan,run,date,expName,psychopyVersion,frameRate,
LgPun,2500,0,24,24,24,,189.87067262100754,None,2500,191.90415961499093,None,None,191.90415961499093,None,1.6099999999999999,25,194.43636048398912,None,1,1,0.3195181280025281,194.43636048398912,None,You did not lose $5.00!,0.4000000000000002,4,21,0.43,52.0,0.3015110758357108,[],33.33333333333333,21,3,None,0.3195181280025281,,Adjusting RT...,,016,Scanner,2,2019_Sep_03_0948,MID,3.1.5,59.754832015460615,
SmallReward,1500,0,25,25,25,,196.4866157239885,None,1500,198.50429478497244,None,None,198.50429478497244,None,1.57,26,200.05486284097424,None,None,0,,200.05486284097424,None,You did not win $0.20!,0.4000000000000002,2,22,0.43,50.0,0.3015110758357108,[0],33.33333333333333,21,3,1,0.48220649298280477,0.052206492982804775,,,016,Scanner,2,2019_Sep_03_0948,MID,3.1.5,59.754832015460615,
Triangle,4000,0,26,26,26,,202.08786887995666,None,4000,204.12199050100753,None,None,204.12199050100753,None,1.57,27,208.1556005019811,None,None,0,,208.1556005019811,None,You did not win or lose anything!,0.4000000000000002,3,22,0.43,48.148148148148145,0.3015110758357108,[0],33.33333333333333,21,3,None,0.48220649298280477,,,,016,Scanner,2,2019_Sep_03_0948,MID,3.1.5,59.754832015460615,
SmallPun,2000,0,27,27,27,,210.20551414298825,None,2000,212.23984732996905,None,None,212.23984732996905,None,1.57,28,214.27212382096332,None,None,0,,214.27212382096332,None,You lost $0.20!,0.20000000000000018,5,23,0.43,46.42857142857143,0.3015110758357108,"[0, 0]",33.33333333333333,21,3,1,1.6855500319576822,1.2555500319576822,,,016,Scanner,2,2019_Sep_03_0948,MID,3.1.5,59.754832015460615,
Triangle,1500,0,28,28,28,,216.3227024099906,None,1500,218.35691455897177,None,None,218.35691455897177,None,1.57,29,219.88917557400418,None,1,1,0.3478345720213838,219.88917557400418,None,You did not win or lose anything!,0.20000000000000018,3,23,0.43,48.275862068965516,0.3048198969918303,"[0, 0]",33.33333333333333,21,3,None,0.3478345720213838,,,,016,Scanner,2,2019_Sep_03_0948,MID,3.1.5,59.754832015460615,
SmallPun,3500,0,29,29,29,,221.9396455019596,None,3500,223.97388676798437,None,None,223.97388676798437,None,1.57,30,227.50617424200755,None,1,1,0.37383272498846054,227.50617424200755,None,You did not lose $0.20!,0.20000000000000018,5,24,0.47,50.0,0.30942075219160564,[],33.33333333333333,24,3,None,0.37383272498846054,,Adjusting RT...,,016,Scanner,2,2019_Sep_03_0948,MID,3.1.5,59.754832015460615,
Triangle,2000,0,30,30,30,,229.55688036198262,None,2000,231.5906834449852,None,1,231.5906834449852,None,1.53,31,233.62398329999996,None,None,0,,233.62398329999996,None,You did not win or lose anything!,0.20000000000000018,3,24,0.47,48.38709677419355,0.30942075219160564,[],33.33333333333333,24,3,1,0.5558519419562071,0.08585194195620716,,1.342333628970664,016,Scanner,2,2019_Sep_03_0948,MID,3.1.5,59.754832015460615,
SmallPun,1500,0,31,31,31,,235.6572591359727,None,1500,237.6909830379882,None,None,237.6909830379882,None,1.53,32,239.22369945200626,None,None,0,,239.22369945200626,None,You lost $0.20!,1.6653345369377348e-16,5,25,0.47,46.875,0.30942075219160564,[0],33.33333333333333,24,3,1,0.4824241589801386,0.0124241589801386,,,016,Scanner,2,2019_Sep_03_0948,MID,3.1.5,59.754832015460615,
Triangle,3500,0,32,32,32,,241.25738170795375,None,3500,243.29217534995405,None,None,243.29217534995405,None,1.53,33,246.82445464399643,None,None,0,,246.82445464399643,None,You did not win or lose anything!,1.6653345369377348e-16,3,25,0.47,45.45454545454545,0.30942075219160564,[0],33.33333333333333,24,3,1,0.4894723839522339,0.01947238395223394,,,016,Scanner,2,2019_Sep_03_0948,MID,3.1.5,59.754832015460615,
LgReward,3500,0,33,33,33,,248.8751711169607,None,3500,250.908580333984,None,1,250.908580333984,None,1.53,34,254.4586503439932,None,1,1,0.3502218570210971,254.4586503439932,None,You won $5.00!,5.0,1,26,0.47,47.05882352941176,0.3119708212434489,"[0, 1]",33.33333333333333,24,3,None,0.3502218570210971,,,1.8454646170139313,016,Scanner,2,2019_Sep_03_0948,MID,3.1.5,59.754832015460615,
SmallReward,2000,0,34,34,34,,256.5085791639867,None,2000,258.54282904899446,None,None,258.54282904899446,None,1.53,35,260.59253250499023,None,1,1,0.32349616097053513,260.59253250499023,None,You won $0.20!,5.2,2,27,0.49,48.57142857142857,0.31264878240386573,[],49.99999999999999,27,3,None,0.32349616097053513,,Adjusting RT...,,016,Scanner,2,2019_Sep_03_0948,MID,3.1.5,59.754832015460615,
Triangle,1500,0,35,35,35,,262.6266055039596,None,1500,264.6600504819653,None,None,264.6600504819653,None,1.51,36,266.1920120189898,None,1,1,0.41692282096482813,266.1920120189898,None,You did not win or lose anything!,5.2,3,27,0.49,50.0,0.3184417845461414,[],49.99999999999999,27,3,None,0.41692282096482813,,,,016,Scanner,2,2019_Sep_03_0948,MID,3.1.5,59.754832015460615,
LgPun,2000,0,36,36,36,,268.24277431797236,None,2000,270.27689340000506,None,1,270.27689340000506,None,1.51,37,272.30914210597984,None,None,0,,272.30914210597984,None,You lost $5.00!,0.20000000000000018,4,28,0.49,48.64864864864865,0.3184417845461414,[0],49.99999999999999,27,3,None,0.41692282096482813,,,1.8961031430517323,016,Scanner,2,2019_Sep_03_0948,MID,3.1.5,59.754832015460615,
LgReward,1500,0,37,37,37,,274.37666985898977,None,1500,276.4103767279885,None,None,276.4103767279885,None,1.51,38,277.9597364299698,None,1,1,0.3542826590128243,277.9597364299698,None,You won $5.00!,5.2,1,29,0.49,50.0,0.32032814636017737,"[0, 1]",49.99999999999999,27,3,None,0.3542826590128243,,,,016,Scanner,2,2019_Sep_03_0948,MID,3.1.5,59.754832015460615,
LgPun,1500,0,38,38,38,,279.9929185489891,None,1500,282.027824891964,None,None,282.027824891964,None,1.51,39,283.5606470750063,None,None,0,,283.5606470750063,None,You lost $5.00!,0.20000000000000018,4,30,0.5,48.717948717948715,0.32032814636017737,[],49.99999999999999,30,3,None,0.3542826590128243,,Adjusting RT...,,016,Scanner,2,2019_Sep_03_0948,MID,3.1.5,59.754832015460615,
Triangle,1500,0,39,39,39,,285.59335938299773,None,1500,287.62777593097417,None,None,287.62777593097417,None,1.5,40,289.16082833497785,None,1,1,0.4051829230156727,289.16082833497785,None,You did not win or lose anything!,0.20000000000000018,3,30,0.5,50.0,0.32457088519295213,[],49.99999999999999,30,3,None,0.4051829230156727,,,,016,Scanner,2,2019_Sep_03_0948,MID,3.1.5,59.754832015460615,
LgReward,2000,0,40,40,40,,291.2278089229949,None,2000,293.261322011007,None,None,293.261322011007,None,1.5,41,295.3116484119673,None,None,0,,295.3116484119673,None,You did not win $5.00!,0.20000000000000018,1,31,0.5,48.78048780487805,0.32457088519295213,[0],49.99999999999999,30,3,1,0.5100963489967398,0.010096348996739835,,,016,Scanner,2,2019_Sep_03_0948,MID,3.1.5,59.754832015460615,
LgPun,1500,0,41,41,41,,297.34497216000455,None,1500,299.37851912598126,None,None,299.37851912598126,None,1.5,42,300.911138431984,None,1,1,0.37284739199094474,300.911138431984,None,You did not lose $5.00!,0.20000000000000018,4,32,0.5,50.0,0.32686976646904703,"[0, 1]",49.99999999999999,30,3,None,0.37284739199094474,,,,016,Scanner,2,2019_Sep_03_0948,MID,3.1.5,59.754832015460615,
SmallReward,1500,0,42,42,42,,302.9675238019554,None,1500,304.9848836119636,None,None,304.9848836119636,None,1.5,43,306.5361030449858,None,None,0,,306.5361030449858,None,You did not win $0.20!,0.20000000000000018,2,33,0.5,48.837209302325576,0.32686976646904703,[],33.33333333333333,33,3,1,0.5559862239751965,0.05598622397519648,Adjusting RT...,,016,Scanner,2,2019_Sep_03_0948,MID,3.1.5,59.754832015460615,
SmallPun,1500,0,43,43,43,,308.57904551696265,None,1500,310.6122727050097,None,None,310.6122727050097,None,1.5,44,312.14543045597384,None,1,1,0.32660732499789447,312.14543045597384,None,You did not lose $0.20!,0.20000000000000018,5,34,0.5,50.0,0.32685783731126733,[1],33.33333333333333,33,3,None,0.32660732499789447,,,,016,Scanner,2,2019_Sep_03_0948,MID,3.1.5,59.754832015460615,
SmallPun,2500,0,44,44,44,,314.17918084800476,None,2500,316.2029123589746,None,None,316.2029123589746,None,1.5,45,318.7462405670085,None,None,0,,318.7462405670085,None,You lost $0.20!,1.6653345369377348e-16,5,35,0.5,48.888888888888886,0.32685783731126733,"[1, 0]",33.33333333333333,33,3,1,0.6887554819695652,0.18875548196956515,,,016,Scanner,2,2019_Sep_03_0948,MID,3.1.5,59.754832015460615,
LgPun,1500,0,45,45,45,,320.7796786139952,None,1500,322.8043768769712,None,None,322.8043768769712,None,1.5,46,324.3464456030051,None,1,1,0.3034999059746042,324.3464456030051,None,You did not lose $5.00!,1.6653345369377348e-16,4,36,0.5,50.0,0.3258422750792385,[],49.99999999999999,36,3,None,0.3034999059746042,,Adjusting RT...,,016,Scanner,2,2019_Sep_03_0948,MID,3.1.5,59.754832015460615,
LgReward,1500,0,46,46,46,,326.3968871469842,None,1500,328.42214784095995,None,None,328.42214784095995,None,1.5,47,329.98041884897975,None,1,1,0.4554977439693175,329.98041884897975,None,You won $5.00!,5.0,1,37,0.5,51.06382978723404,0.3312445862829918,[1],49.99999999999999,36,3,None,0.4554977439693175,,,,016,Scanner,2,2019_Sep_03_0948,MID,3.1.5,59.754832015460615,
SmallReward,1500,0,47,47,47,,332.0219978420064,None,1500,334.0550877529895,None,None,334.0550877529895,None,1.5,48,335.60607620800147,None,1,1,0.3958028420456685,335.60607620800147,None,You won $0.20!,5.2,2,38,0.5,52.083333333333336,0.3338269165134989,"[1, 1]",49.99999999999999,36,3,None,0.3958028420456685,,,,016,Scanner,2,2019_Sep_03_0948,MID,3.1.5,59.754832015460615,
SmallPun,2000,0,48,48,48,,337.6474293859792,None,2000,339.67253436998,None,None,339.67253436998,None,1.5,49,341.71397312695626,None,1,1,0.4189271139912307,341.71397312695626,None,You did not lose $0.20!,5.2,5,39,0.47,53.06122448979592,0.33710000103187315,[],83.33333333333333,39,3,None,0.4189271139912307,,Adjusting RT...,,016,Scanner,2,2019_Sep_03_0948,MID,3.1.5,59.754832015460615,
LgPun,4000,0,49,49,49,,343.74745638499735,None,4000,345.7734476279584,None,None,345.7734476279584,None,1.53,50,349.81493163097184,None,1,1,0.27710359898628667,349.81493163097184,None,You did not lose $5.00!,5.2,4,40,0.47,54.0,0.33487791206722184,[1],83.33333333333333,39,3,None,0.27710359898628667,,,,016,Scanner,2,2019_Sep_03_0948,MID,3.1.5,59.754832015460615,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,016,Scanner,2,2019_Sep_03_0948,MID,3.1.5,59.754832015460615,
