Condition,FixationDur,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,TrialOrder,cueImage.started,cueImage.stopped,FixationDur,fixation.started,fixation.stopped,fixationResp.keys,fixationResp.started,fixationResp.stopped,feedbackDur,Trial counter,Target.started,Target.stopped,probeResp.keys,probeResp.corr,probeResp.started,probeResp.stopped,msg,TrackEarnings,TrialType,NonNeutralTrialsNum,probeDur,percentacc_total,meanrt,UserAcc,Acc,AdjTrial,AdjTrialInc,probeResp.rt,AdjRTmsg,fixationResp.rt,participant,prac_or_scan,run,date,expName,psychopyVersion,frameRate,
SmallPun,2000,0,25,25,25,,180.70263117199647,None,2000,182.72025239199866,None,None,182.72025239199866,None,1.5,26,184.7208515240054,None,None,0,184.7208515240054,None,You lost $0.20!,-15.399999999999999,5,20,0.5,34.61538461538461,0.3565091646677401,"[1, 0]",16.666666666666664,18,3,,,,027,Scanner,1,2019_Aug_27_1058,MID,3.1.5,24.010254106274342,
SmallReward,2500,0,26,26,26,,186.70271212299122,None,2500,188.72080833400832,None,None,188.72080833400832,None,1.5,27,191.24220187301398,None,None,0,191.24220187301398,None,You did not win $0.20!,-15.399999999999999,2,21,0.5,33.33333333333333,0.3565091646677401,[],16.666666666666664,21,3,,Adjusting RT...,,027,Scanner,1,2019_Aug_27_1058,MID,3.1.5,24.010254106274342,
SmallPun,2500,0,27,27,27,,193.20453610099503,None,2500,195.22165483201388,None,None,195.22165483201388,None,1.5,28,197.72190697901533,None,1,1,197.72190697901533,None,You did not lose $0.20!,-15.399999999999999,5,22,0.5,35.714285714285715,0.3556831558002159,[1],16.666666666666664,21,3,0.34824907599249855,,,027,Scanner,1,2019_Aug_27_1058,MID,3.1.5,24.010254106274342,
Triangle,4000,0,28,28,28,,199.7025884320028,None,4000,201.72309385801782,None,None,201.72309385801782,None,1.5,29,205.72314484999515,None,None,0,205.72314484999515,None,You did not win or lose anything!,-15.399999999999999,3,22,0.5,34.48275862068966,0.3556831558002159,[1],16.666666666666664,21,3,,,,027,Scanner,1,2019_Aug_27_1058,MID,3.1.5,24.010254106274342,
LgPun,3500,0,29,29,29,,207.70370503200684,None,3500,209.72349387200666,None,None,209.72349387200666,None,1.5,30,213.22410030601895,None,None,0,213.22410030601895,None,You lost $5.00!,-20.4,4,23,0.5,33.33333333333333,0.3556831558002159,"[1, 0]",16.666666666666664,21,3,,,,027,Scanner,1,2019_Aug_27_1058,MID,3.1.5,24.010254106274342,
Triangle,1500,0,30,30,30,,215.20403638700373,None,1500,217.21110174199566,None,None,217.21110174199566,None,1.5,31,218.72491406000336,None,None,0,218.72491406000336,None,You did not win or lose anything!,-20.4,3,23,0.5,32.25806451612903,0.3556831558002159,"[1, 0]",16.666666666666664,21,3,,,,027,Scanner,1,2019_Aug_27_1058,MID,3.1.5,24.010254106274342,
LgReward,3000,0,31,31,31,,220.70401326200226,None,3000,222.71167669899296,None,1,222.71167669899296,None,1.5,32,225.74309292799444,None,None,0,225.74309292799444,None,You did not win $5.00!,-20.4,1,24,0.5,31.25,0.3556831558002159,[],33.33333333333333,24,3,,Adjusting RT...,0.4353871129860636,027,Scanner,1,2019_Aug_27_1058,MID,3.1.5,24.010254106274342,
Triangle,2500,0,32,32,32,,227.704300390993,None,2500,229.7080515449925,None,None,229.7080515449925,None,1.5,33,232.2262762490136,None,1,1,232.2262762490136,None,You did not win or lose anything!,-20.4,3,24,0.5,33.33333333333333,0.35869490836260165,[],33.33333333333333,24,3,0.3888124339864589,,,027,Scanner,1,2019_Aug_27_1058,MID,3.1.5,24.010254106274342,
Triangle,2000,0,33,33,33,,234.204789764015,None,2000,236.2107440700056,None,None,236.2107440700056,None,1.5,34,238.22763083101017,None,None,0,238.22763083101017,None,You did not win or lose anything!,-20.4,3,24,0.5,32.35294117647059,0.35869490836260165,[],33.33333333333333,24,3,,,,027,Scanner,1,2019_Aug_27_1058,MID,3.1.5,24.010254106274342,
SmallReward,1500,0,34,34,34,,240.2050624699914,None,1500,242.21202158599044,None,None,242.21202158599044,None,1.5,35,243.73594798400882,None,None,0,243.73594798400882,None,You did not win $0.20!,-20.4,2,25,0.5,31.428571428571427,0.35869490836260165,[0],33.33333333333333,24,3,,,,027,Scanner,1,2019_Aug_27_1058,MID,3.1.5,24.010254106274342,
