Condition,FixationDur,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,TrialOrder,cueImage.started,cueImage.stopped,FixationDur,fixation.started,fixation.stopped,fixationResp.keys,fixationResp.started,fixationResp.stopped,feedbackDur,Trial counter,Target.started,Target.stopped,probeResp.keys,probeResp.corr,probeResp.started,probeResp.stopped,msg,TrackEarnings,TrialType,NonNeutralTrialsNum,probeDur,percentacc_total,meanrt,UserAcc,Acc,AdjTrial,AdjTrialInc,feedback_resp.keys,OverallRT,probeResp.rt,AdjRTmsg,feedback_resp.rt,participant,prac_or_scan,run,date,expName,psychopyVersion,frameRate,
Triangle,1500,0,24,24,24,,179.29554007499974,None,1500,181.32773833099964,None,None,181.32773833099964,None,1.7200000000000002,25,182.861446885001,None,None,0,182.861446885001,None,You did not win or lose anything!,15.2,3,21,0.2799999999999999,56.00000000000001,0.2894254839998861,[],83.33333333333333,21,3,1,0.2817792569997254,,,0.001779256999725476,002,Scanner,1,2019_Sep_05_1113,MID,3.1.5,60.12717679516723,
LgPun,3000,0,25,25,25,,184.91273998900033,None,3000,186.94524682100018,None,None,186.94524682100018,None,1.7200000000000002,26,189.97838536100062,None,None,0,189.97838536100062,None,You lost $5.00!,10.2,4,22,0.2799999999999999,53.84615384615385,0.2894254839998861,[0],83.33333333333333,21,3,1,0.29563498999894355,,,0.015634989998943638,002,Scanner,1,2019_Sep_05_1113,MID,3.1.5,60.12717679516723,
SmallPun,4000,0,26,26,26,,192.01325020500008,None,4000,194.04590597400056,None,None,194.04590597400056,None,1.7200000000000002,27,198.0795822880009,None,None,0,198.0795822880009,None,You lost $0.20!,10.0,5,23,0.2799999999999999,51.85185185185185,0.2894254839998861,"[0, 0]",83.33333333333333,21,3,1,0.28425718699989366,,,0.004257186999893747,002,Scanner,1,2019_Sep_05_1113,MID,3.1.5,60.12717679516723,
Triangle,2000,0,27,27,27,,200.11340475399993,None,2000,202.14708798500033,None,None,202.14708798500033,None,1.7200000000000002,28,204.1796556650006,None,None,0,204.1796556650006,None,You did not win or lose anything!,10.0,3,23,0.2799999999999999,50.0,0.2894254839998861,"[0, 0]",83.33333333333333,21,3,1,0.38833003699917745,,,0.10833003699917754,002,Scanner,1,2019_Sep_05_1113,MID,3.1.5,60.12717679516723,
SmallPun,1500,0,28,28,28,,206.23084715799996,None,1500,208.26467931800107,None,None,208.26467931800107,None,1.7200000000000002,29,209.79820155800007,None,None,0,209.79820155800007,None,You lost $0.20!,9.8,5,24,0.3199999999999999,48.275862068965516,0.2894254839998861,[],33.33333333333333,24,3,1,0.3400035879988717,,Adjusting RT...,0.020003587998871808,002,Scanner,1,2019_Sep_05_1113,MID,3.1.5,60.12717679516723,
SmallPun,2000,0,29,29,29,,211.8313984489996,None,2000,213.86505291899994,None,None,213.86505291899994,None,1.6800000000000002,30,215.89779924600043,None,None,0,215.89779924600043,None,You lost $0.20!,9.600000000000001,5,25,0.3199999999999999,46.666666666666664,0.2894254839998861,[0],33.33333333333333,24,3,1,0.3371533190004992,,,0.017153319000499323,002,Scanner,1,2019_Sep_05_1113,MID,3.1.5,60.12717679516723,
LgReward,1500,0,30,30,30,,217.94843494400084,None,1500,219.98157631499998,None,None,219.98157631499998,None,1.6800000000000002,31,221.53191675900052,None,1,1,221.53191675900052,None,You won $5.00!,14.600000000000001,1,26,0.3199999999999999,48.38709677419355,0.2866470589332797,"[0, 1]",33.33333333333333,24,3,None,0.24774910800078942,0.24774910800078942,,,002,Scanner,1,2019_Sep_05_1113,MID,3.1.5,60.12717679516723,
SmallReward,2500,0,31,31,31,,223.58197836100044,None,2500,225.6149589910001,None,None,225.6149589910001,None,1.6800000000000002,32,228.16547963999983,None,1,1,228.16547963999983,None,You won $0.20!,14.8,2,27,0.3599999999999999,50.0,0.284990407937471,[],33.33333333333333,27,3,None,0.2601406430003408,0.2601406430003408,Adjusting RT...,,002,Scanner,1,2019_Sep_05_1113,MID,3.1.5,60.12717679516723,
Triangle,1500,0,32,32,32,,230.19824083300045,None,1500,232.23231373099952,None,None,232.23231373099952,None,1.6400000000000001,33,233.76521939099985,None,None,0,233.76521939099985,None,You did not win or lose anything!,14.8,3,27,0.3599999999999999,48.484848484848484,0.284990407937471,[],33.33333333333333,27,3,1,0.9400361959991277,,,0.5800361959991278,002,Scanner,1,2019_Sep_05_1113,MID,3.1.5,60.12717679516723,
SmallReward,1500,0,33,33,33,,235.83207354200022,None,1500,237.86568036800054,None,None,237.86568036800054,None,1.6400000000000001,34,239.4158022440006,None,None,0,239.4158022440006,None,You did not win $0.20!,14.8,2,28,0.3599999999999999,47.05882352941176,0.284990407937471,[0],33.33333333333333,27,3,None,0.9400361959991277,,,,002,Scanner,1,2019_Sep_05_1113,MID,3.1.5,60.12717679516723,
LgReward,2000,0,34,34,34,,241.46563376099948,None,2000,243.49930797399975,None,None,243.49930797399975,None,1.6400000000000001,35,245.5495677580002,None,1,1,245.5495677580002,None,You won $5.00!,19.8,1,29,0.3599999999999999,48.57142857142857,0.28317012858828733,"[0, 1]",33.33333333333333,27,3,None,0.2540456590013491,0.2540456590013491,,,002,Scanner,1,2019_Sep_05_1113,MID,3.1.5,60.12717679516723,
Triangle,1500,0,35,35,35,,247.5830224300007,None,1500,249.616709240001,None,None,249.616709240001,None,1.6400000000000001,36,251.14991956499944,None,None,0,251.14991956499944,None,You did not win or lose anything!,19.8,3,29,0.3599999999999999,47.22222222222222,0.28317012858828733,"[0, 1]",33.33333333333333,27,3,None,0.2540456590013491,,,,002,Scanner,1,2019_Sep_05_1113,MID,3.1.5,60.12717679516723,
LgPun,4000,0,36,36,36,,253.20067845199992,None,4000,255.23425944300106,None,None,255.23425944300106,None,1.6400000000000001,37,259.2670094839996,None,1,1,259.2670094839996,None,You did not lose $5.00!,19.8,4,30,0.33999999999999986,48.64864864864865,0.2820277348888946,[],66.66666666666666,30,3,None,0.26260704199921747,0.26260704199921747,Adjusting RT...,,002,Scanner,1,2019_Sep_05_1113,MID,3.1.5,60.12717679516723,
Triangle,1500,0,37,37,37,,261.3178658649995,None,1500,263.3516530300003,None,None,263.3516530300003,None,1.6600000000000001,38,264.8840655040003,None,None,0,264.8840655040003,None,You did not win or lose anything!,19.8,3,30,0.33999999999999986,47.368421052631575,0.2820277348888946,[],66.66666666666666,30,3,1,0.3873328059997583,,,0.04733280599975842,002,Scanner,1,2019_Sep_05_1113,MID,3.1.5,60.12717679516723,
Triangle,3000,0,38,38,38,,266.91770975300096,None,3000,268.9390293110009,None,None,268.9390293110009,None,1.6600000000000001,39,271.98495512000045,None,1,1,271.98495512000045,None,You did not win or lose anything!,19.8,3,30,0.33999999999999986,48.717948717948715,0.2816402301578867,[],66.66666666666666,30,3,None,0.27466514499974437,0.27466514499974437,,,002,Scanner,1,2019_Sep_05_1113,MID,3.1.5,60.12717679516723,
