Condition,FixationDur,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,TrialOrder,cueImage.started,cueImage.stopped,FixationDur,fixation.started,fixation.stopped,fixationResp.keys,fixationResp.started,fixationResp.stopped,feedbackDur,Trial counter,Target.started,Target.stopped,probeResp.keys,probeResp.corr,probeResp.rt,probeResp.started,probeResp.stopped,msg,TrackEarnings,TrialType,NonNeutralTrialsNum,probeDur,percentacc_total,meanrt,UserAcc,Acc,AdjTrial,AdjTrialInc,feedback_resp.keys,OverallRT,AdjRTmsg,feedback_resp.rt,fixationResp.rt,participant,prac_or_scan,run,date,expName,psychopyVersion,frameRate,
LgReward,2500,0,28,28,28,,206.31177263899008,None,2500,208.3460170570179,None,None,208.3460170570179,None,1.71,29,210.89637063199189,None,1,1,0.20027382799889892,210.89637063199189,None,You won $5.00!,15.0,1,23,0.29000000000000004,58.620689655172406,0.2411761571180678,"[1, 1]",66.66666666666666,21,3,None,0.20027382799889892,,,,019,Scanner,1,2019_Aug_31_1507,MID,3.1.5,59.436419585067,
SmallPun,2000,0,29,29,29,,212.91291902196826,None,2000,214.9471635230002,None,None,214.9471635230002,None,1.71,30,216.97959529800573,None,None,0,,216.97959529800573,None,You lost $0.20!,14.8,5,24,0.31000000000000005,56.666666666666664,0.2411761571180678,[],49.99999999999999,24,3,1,0.3335123370075599,Adjusting RT...,0.023512337007559836,,019,Scanner,1,2019_Aug_31_1507,MID,3.1.5,59.436419585067,
SmallReward,1500,0,30,30,30,,219.0468380660168,None,1500,221.08031607797602,None,None,221.08031607797602,None,1.69,31,222.63011073699454,None,1,1,0.25360314099816605,222.63011073699454,None,You won $0.20!,15.0,2,25,0.31000000000000005,58.06451612903226,0.2418665451114066,[1],49.99999999999999,24,3,None,0.25360314099816605,,,,019,Scanner,1,2019_Aug_31_1507,MID,3.1.5,59.436419585067,
SmallPun,1500,0,31,31,31,,224.68078975199023,None,1500,226.71467828500317,None,None,226.71467828500317,None,1.69,32,228.24710949097062,None,None,0,,228.24710949097062,None,You lost $0.20!,14.8,5,26,0.31000000000000005,56.25,0.2418665451114066,"[1, 0]",49.99999999999999,24,3,1,0.33529792004497727,,0.025297920044977218,,019,Scanner,1,2019_Aug_31_1507,MID,3.1.5,59.436419585067,
Triangle,2500,0,32,32,32,,230.29736836598022,None,2500,232.33105438697385,None,None,232.33105438697385,None,1.69,33,234.863800955005,None,1,1,0.24191426602192223,234.863800955005,None,You did not win or lose anything!,14.8,3,26,0.31000000000000005,57.57575757575758,0.24186905673827583,"[1, 0]",49.99999999999999,24,3,None,0.24191426602192223,,,,019,Scanner,1,2019_Aug_31_1507,MID,3.1.5,59.436419585067,
LgReward,1500,0,33,33,33,,236.93178471399006,None,1500,238.954641763994,None,1,238.954641763994,None,1.69,34,240.51511306100292,None,None,0,,240.51511306100292,None,You did not win $5.00!,14.8,1,27,0.33000000000000007,55.88235294117647,0.24186905673827583,[],49.99999999999999,27,3,1,0.3233134110178799,Adjusting RT...,-0.006686588982120156,0.2639492999878712,019,Scanner,1,2019_Aug_31_1507,MID,3.1.5,59.436419585067,
LgPun,2000,0,34,34,34,,242.56436419702368,None,2000,244.58816917001968,None,None,244.58816917001968,None,1.67,35,246.63146959297592,None,1,1,0.23214338603429496,246.63146959297592,None,You did not lose $5.00!,14.8,4,28,0.33000000000000007,57.14285714285714,0.2413827732030768,[1],49.99999999999999,27,3,None,0.23214338603429496,,,,019,Scanner,1,2019_Aug_31_1507,MID,3.1.5,59.436419585067,
LgReward,3500,0,35,35,35,,248.68192363798153,None,3500,250.71529889601516,None,None,250.71529889601516,None,1.67,36,254.25715455098543,None,1,1,0.24246175499865785,254.25715455098543,None,You won $5.00!,19.8,1,29,0.33000000000000007,58.333333333333336,0.24143415328858064,"[1, 1]",49.99999999999999,27,3,None,0.24246175499865785,,,,019,Scanner,1,2019_Aug_31_1507,MID,3.1.5,59.436419585067,
LgPun,3000,0,36,36,36,,256.29934152099304,None,3000,258.323083891999,None,None,258.323083891999,None,1.67,37,261.3666303509963,None,1,1,0.25209618895314634,261.3666303509963,None,You did not lose $5.00!,19.8,4,30,0.31000000000000005,59.45945945945946,0.24191879127333363,[],66.66666666666666,30,3,None,0.25209618895314634,Adjusting RT...,,,019,Scanner,1,2019_Aug_31_1507,MID,3.1.5,59.436419585067,
SmallReward,2000,0,37,37,37,,263.41637111699674,None,2000,265.44074280397035,None,None,265.44074280397035,None,1.69,38,267.5000142909703,None,None,0,,267.5000142909703,None,You did not win $0.20!,19.8,2,31,0.31000000000000005,57.89473684210527,0.24191879127333363,[0],66.66666666666666,30,3,1,0.45718512399122124,,0.1471851239912212,,019,Scanner,1,2019_Aug_31_1507,MID,3.1.5,59.436419585067,
SmallPun,1500,0,38,38,38,,269.5495787009713,None,1500,271.5756565890042,None,None,271.5756565890042,None,1.69,39,273.1173497100244,None,1,1,0.28225763799855486,273.1173497100244,None,You did not lose $0.20!,19.8,5,32,0.31000000000000005,58.97435897435898,0.2436726541744302,"[0, 1]",66.66666666666666,30,3,None,0.28225763799855486,,,,019,Scanner,1,2019_Aug_31_1507,MID,3.1.5,59.436419585067,
LgReward,4000,0,39,39,39,,275.17561890301295,None,4000,277.20939467899734,None,None,277.20939467899734,None,1.69,40,281.2671397399972,None,1,1,0.25244270596886054,281.2671397399972,None,You won $5.00!,24.8,1,33,0.28,60.0,0.24403807299919814,[],83.33333333333333,33,3,None,0.25244270596886054,Adjusting RT...,,,019,Scanner,1,2019_Aug_31_1507,MID,3.1.5,59.436419585067,
Triangle,1500,0,40,40,40,,283.3176368260174,None,1500,285.3437440089765,None,None,285.3437440089765,None,1.72,41,286.884107491991,None,None,0,,286.884107491991,None,You did not win or lose anything!,24.8,3,33,0.28,58.536585365853654,0.24403807299919814,[],83.33333333333333,33,3,1,0.2775397170055658,,-0.0024602829944342375,,019,Scanner,1,2019_Aug_31_1507,MID,3.1.5,59.436419585067,
