Condition,FixationDur,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,TrialOrder,cueImage.started,cueImage.stopped,FixationDur,fixation.started,fixation.stopped,fixationResp.keys,fixationResp.started,fixationResp.stopped,feedbackDur,Trial counter,Target.started,Target.stopped,probeResp.keys,probeResp.corr,probeResp.started,probeResp.stopped,msg,TrackEarnings,TrialType,NonNeutralTrialsNum,probeDur,percentacc_total,meanrt,UserAcc,Acc,AdjTrial,AdjTrialInc,fixationResp.rt,AdjRTmsg,probeResp.rt,participant,prac_or_scan,run,date,expName,psychopyVersion,frameRate,
SmallPun,2000,0,33,33,33,,237.13497508200817,None,2000,239.14356746998965,None,None,239.14356746998965,None,1.58,34,241.16009568798472,None,1,1,241.16009568798472,None,You did not lose $0.20!,5.600000000000001,5,26,0.41999999999999993,52.94117647058824,0.32319723411476137,"[0, 1]",83.33333333333333,24,3,,,0.3080421640188433,033,Scanner,1,2019_Aug_27_1247,MID,3.1.5,24.00162285512307,
LgReward,1500,0,34,34,34,,243.13546338799642,None,1500,245.14390302900574,None,None,245.14390302900574,None,1.58,35,246.6681254709838,None,None,0,246.6681254709838,None,You did not win $5.00!,5.600000000000001,1,27,0.3999999999999999,51.42857142857142,0.32319723411476137,[],66.66666666666666,27,3,,Adjusting RT...,,033,Scanner,1,2019_Aug_27_1247,MID,3.1.5,24.00162285512307,
SmallPun,1500,0,35,35,35,,248.63558948400896,None,1500,250.64469044699217,None,None,250.64469044699217,None,1.6,36,252.1603169379814,None,None,0,252.1603169379814,None,You lost $0.20!,5.400000000000001,5,28,0.3999999999999999,50.0,0.32319723411476137,[0],66.66666666666666,27,3,,,,033,Scanner,1,2019_Aug_27_1247,MID,3.1.5,24.00162285512307,
LgReward,2000,0,36,36,36,,254.0939274560078,None,2000,256.1118893850071,None,None,256.1118893850071,None,1.6,37,258.1282306840003,None,None,0,258.1282306840003,None,You did not win $5.00!,5.400000000000001,1,29,0.3999999999999999,48.64864864864865,0.32319723411476137,"[0, 0]",66.66666666666666,27,3,,,,033,Scanner,1,2019_Aug_27_1247,MID,3.1.5,24.00162285512307,
LgReward,1500,0,37,37,37,,260.05423024698393,None,1500,262.0618031290069,None,None,262.0618031290069,None,1.6,38,263.5835377080075,None,None,0,263.5835377080075,None,You did not win $5.00!,5.400000000000001,1,30,0.4499999999999999,47.368421052631575,0.32319723411476137,[],16.666666666666664,30,3,,Adjusting RT...,,033,Scanner,1,2019_Aug_27_1247,MID,3.1.5,24.00162285512307,
SmallPun,4000,0,38,38,38,,265.5120041779883,None,4000,267.52994080999633,None,None,267.52994080999633,None,1.55,39,271.530573327007,None,1,1,271.530573327007,None,You did not lose $0.20!,5.400000000000001,5,31,0.4499999999999999,48.717948717948715,0.3235307825824221,[1],16.666666666666664,30,3,,,0.329534655000316,033,Scanner,1,2019_Aug_27_1247,MID,3.1.5,24.00162285512307,
LgPun,2000,0,39,39,39,,273.51175607100595,None,2000,275.5310314229864,None,None,275.5310314229864,None,1.55,40,277.53081316899625,None,1,1,277.53081316899625,None,You did not lose $5.00!,5.400000000000001,4,32,0.4499999999999999,50.0,0.32372058985347396,"[1, 1]",16.666666666666664,30,3,,,0.3273269280034583,033,Scanner,1,2019_Aug_27_1247,MID,3.1.5,24.00162285512307,
Triangle,3500,0,40,40,40,,279.51190444099484,None,3500,281.53179200700833,None,None,281.53179200700833,None,1.55,41,285.0321520699945,None,1,1,285.0321520699945,None,You did not win or lose anything!,5.400000000000001,3,32,0.4499999999999999,51.21951219512195,0.323440885764458,"[1, 1]",16.666666666666664,30,3,,,0.3178468039841391,033,Scanner,1,2019_Aug_27_1247,MID,3.1.5,24.00162285512307,
SmallReward,1500,0,41,41,41,,287.0122933649982,None,1500,289.0189953990048,None,None,289.0189953990048,None,1.55,42,290.54867005799315,None,None,0,290.54867005799315,None,You did not win $0.20!,5.400000000000001,2,33,0.4899999999999999,50.0,0.323440885764458,[],33.33333333333333,33,3,,Adjusting RT...,,033,Scanner,1,2019_Aug_27_1247,MID,3.1.5,24.00162285512307,
SmallPun,2000,0,42,42,42,,292.5123809700017,None,2000,294.5335566889844,None,None,294.5335566889844,None,1.5100000000000002,43,296.5340737589868,None,1,1,296.5340737589868,None,You did not lose $0.20!,5.400000000000001,5,34,0.4899999999999999,51.162790697674424,0.32265182259354996,[1],33.33333333333333,33,3,,,0.30608149600448087,033,Scanner,1,2019_Aug_27_1247,MID,3.1.5,24.00162285512307,
SmallReward,3000,0,43,43,43,,298.51278607698623,None,3000,300.5190599990019,None,None,300.5190599990019,None,1.5100000000000002,44,303.541697173001,None,1,1,303.541697173001,None,You won $0.20!,5.600000000000001,2,35,0.4899999999999999,52.27272727272727,0.32212039021997835,"[1, 1]",33.33333333333333,33,3,,,0.31042887800140306,033,Scanner,1,2019_Aug_27_1247,MID,3.1.5,24.00162285512307,
SmallPun,1500,0,44,44,44,,305.5136038539931,None,1500,307.5193464809854,None,None,307.5193464809854,None,1.5100000000000002,45,309.03593453700887,None,None,0,309.03593453700887,None,You lost $0.20!,5.400000000000001,5,36,0.46999999999999986,51.11111111111111,0.32212039021997835,[],66.66666666666666,36,3,,Adjusting RT...,,033,Scanner,1,2019_Aug_27_1247,MID,3.1.5,24.00162285512307,
LgPun,3500,0,45,45,45,,311.0130659150018,None,3500,313.019805332995,None,None,313.019805332995,None,1.5300000000000002,46,316.53667279100046,None,1,1,316.53667279100046,None,You did not lose $5.00!,5.400000000000001,4,37,0.46999999999999986,52.17391304347826,0.32301012958487263,[1],66.66666666666666,36,3,,,0.3434741349774413,033,Scanner,1,2019_Aug_27_1247,MID,3.1.5,24.00162285512307,
Triangle,1500,0,46,46,46,,318.5136441309878,None,1500,320.52047792400117,None,None,320.52047792400117,None,1.5300000000000002,47,322.0371860860032,None,1,1,322.0371860860032,None,You did not win or lose anything!,5.400000000000001,3,37,0.46999999999999986,53.191489361702125,0.32388918680138884,[1],66.66666666666666,36,3,,,0.3449865599977784,033,Scanner,1,2019_Aug_27_1247,MID,3.1.5,24.00162285512307,
LgReward,2500,0,47,47,47,,324.01401975000044,None,2500,326.0211933559913,None,None,326.0211933559913,None,1.5300000000000002,48,328.5443273029814,None,1,1,328.5443273029814,None,You won $5.00!,10.400000000000002,1,38,0.46999999999999986,54.166666666666664,0.3225789161940786,"[1, 1]",66.66666666666666,36,3,,,0.2898221510113217,033,Scanner,1,2019_Aug_27_1247,MID,3.1.5,24.00162285512307,
LgPun,2000,0,48,48,48,,330.47442665699054,None,2000,332.4787333860004,None,None,332.4787333860004,None,1.5300000000000002,49,334.4912048559927,None,1,1,334.4912048559927,None,You did not lose $5.00!,10.400000000000002,4,39,0.43999999999999984,55.10204081632652,0.32166620203794016,[],83.33333333333333,39,3,,Adjusting RT...,0.2979356339783408,033,Scanner,1,2019_Aug_27_1247,MID,3.1.5,24.00162285512307,
SmallPun,1500,0,49,49,49,,336.4725395209971,None,1500,338.49018278199947,None,None,338.49018278199947,None,1.56,50,339.9896994649898,None,None,0,339.9896994649898,None,You lost $0.20!,10.200000000000003,5,40,0.43999999999999984,54.0,0.32166620203794016,[0],83.33333333333333,39,3,,,,033,Scanner,1,2019_Aug_27_1247,MID,3.1.5,24.00162285512307,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,033,Scanner,1,2019_Aug_27_1247,MID,3.1.5,24.00162285512307,
