Condition,FixationDur,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,TrialOrder,cueImage.started,cueImage.stopped,FixationDur,fixation.started,fixation.stopped,fixationResp.keys,fixationResp.started,fixationResp.stopped,feedbackDur,Trial counter,Target.started,Target.stopped,probeResp.keys,probeResp.corr,probeResp.started,probeResp.stopped,msg,TrackEarnings,TrialType,NonNeutralTrialsNum,probeDur,percentacc_total,meanrt,UserAcc,Acc,AdjTrial,AdjTrialInc,probeResp.rt,fixationResp.rt,AdjRTmsg,participant,prac_or_scan,run,date,expName,psychopyVersion,frameRate,
Triangle,2500,0,32,32,32,,231.91775053800666,None,2500,233.93260803699377,None,None,233.93260803699377,None,1.58,33,236.43230046299868,None,None,0,236.43230046299868,None,You did not win or lose anything!,-4.800000000000002,3,26,0.41999999999999993,48.484848484848484,0.28699782749936276,"[0, 0]",83.33333333333333,24,3,,,,034,Scanner,1,2019_Aug_27_0920,MID,3.1.5,24.003985757773233,
LgReward,1500,0,33,33,33,,238.41927451599622,None,1500,240.42248039599508,None,None,240.42248039599508,None,1.58,34,241.95030979899457,None,1,1,241.95030979899457,None,You won $5.00!,0.1999999999999984,1,27,0.3999999999999999,50.0,0.28717649217544344,[],66.66666666666666,27,3,0.29003512699273415,,Adjusting RT...,034,Scanner,1,2019_Aug_27_0920,MID,3.1.5,24.003985757773233,
LgPun,2000,0,34,34,34,,243.9182235339831,None,2000,245.92295813400415,None,None,245.92295813400415,None,1.6,35,247.9350736310007,None,None,0,247.9350736310007,None,You lost $5.00!,-4.800000000000002,4,28,0.3999999999999999,48.57142857142857,0.28717649217544344,[0],66.66666666666666,27,3,,,,034,Scanner,1,2019_Aug_27_0920,MID,3.1.5,24.003985757773233,
LgReward,3500,0,35,35,35,,249.87686016998487,None,3500,251.88734700300847,None,None,251.88734700300847,None,1.6,36,255.4031406689901,None,None,0,255.4031406689901,None,You did not win $5.00!,-4.800000000000002,1,29,0.3999999999999999,47.22222222222222,0.28717649217544344,"[0, 0]",66.66666666666666,27,3,,,,034,Scanner,1,2019_Aug_27_0920,MID,3.1.5,24.003985757773233,
LgPun,3000,0,36,36,36,,257.3356581249973,None,3000,259.35318227199605,None,None,259.35318227199605,None,1.6,37,262.35387569500017,None,None,0,262.35387569500017,None,You lost $5.00!,-9.8,4,30,0.4499999999999999,45.94594594594595,0.28717649217544344,[],16.666666666666664,30,3,,,Adjusting RT...,034,Scanner,1,2019_Aug_27_0920,MID,3.1.5,24.003985757773233,
SmallReward,2000,0,37,37,37,,264.29336105499533,None,2000,266.304929342994,None,None,266.304929342994,None,1.55,38,268.3217612800072,None,1,1,268.3217612800072,None,You won $0.20!,-9.600000000000001,2,31,0.4499999999999999,47.368421052631575,0.2881981487217773,[1],16.666666666666664,30,3,0.30556631000945345,,,034,Scanner,1,2019_Aug_27_0920,MID,3.1.5,24.003985757773233,
SmallPun,1500,0,38,38,38,,270.2944860229909,None,1500,272.3044163729937,None,None,272.3044163729937,None,1.55,39,273.8116742899874,None,1,1,273.8116742899874,None,You did not lose $0.20!,-9.600000000000001,5,32,0.4499999999999999,48.717948717948715,0.2901180627369812,"[1, 1]",16.666666666666664,30,3,0.3246765150106512,,,034,Scanner,1,2019_Aug_27_0920,MID,3.1.5,24.003985757773233,
LgReward,4000,0,39,39,39,,275.7946788769914,None,4000,277.8005896419927,None,None,277.8005896419927,None,1.55,40,281.82387220699457,None,1,1,281.82387220699457,None,You won $5.00!,-4.600000000000001,1,33,0.4699999999999999,50.0,0.28943553815042833,[],50.0,33,3,0.2764675710059237,,Adjusting RT...,034,Scanner,1,2019_Aug_27_0920,MID,3.1.5,24.003985757773233,
Triangle,1500,0,40,40,40,,283.7947977120057,None,1500,285.80712146300357,None,None,285.80712146300357,None,1.53,41,287.31413887199597,None,1,1,287.31413887199597,None,You did not win or lose anything!,-4.600000000000001,3,33,0.4699999999999999,51.21951219512195,0.29152218681078274,[],50.0,33,3,0.33325516001787037,,,034,Scanner,1,2019_Aug_27_0920,MID,3.1.5,24.003985757773233,
LgReward,2000,0,41,41,41,,289.2537786900066,None,2000,291.2743159609963,None,None,291.2743159609963,None,1.53,42,293.29038255798514,None,1,1,293.29038255798514,None,You won $5.00!,0.3999999999999986,1,34,0.4699999999999999,52.38095238095239,0.2922695469103267,[1],50.0,33,3,0.3079641090007499,,,034,Scanner,1,2019_Aug_27_0920,MID,3.1.5,24.003985757773233,
SmallPun,3000,0,42,42,42,,295.25381967498106,None,3000,297.26247370499186,None,None,297.26247370499186,None,1.53,43,300.2750989829947,None,1,1,300.2750989829947,None,You did not lose $0.20!,0.3999999999999986,5,35,0.4699999999999999,53.48837209302325,0.2938757772613114,"[1, 1]",50.0,33,3,0.3292128449829761,,,034,Scanner,1,2019_Aug_27_0920,MID,3.1.5,24.003985757773233,
Triangle,1500,0,43,43,43,,302.25370193098206,None,1500,304.26134894799907,None,None,304.26134894799907,None,1.53,44,305.77590608998435,None,1,1,305.77590608998435,None,You did not win or lose anything!,0.3999999999999986,3,35,0.4699999999999999,54.54545454545454,0.2953988352091983,"[1, 1]",50.0,33,3,0.3304291680105962,,,034,Scanner,1,2019_Aug_27_0920,MID,3.1.5,24.003985757773233,
SmallPun,1500,0,44,44,44,,307.75418198498664,None,1500,309.75983870899654,None,None,309.75983870899654,None,1.53,45,311.2767913650023,None,1,1,311.2767913650023,None,You did not lose $0.20!,0.3999999999999986,5,36,0.41999999999999993,55.55555555555556,0.2960037639609072,[],100.0,36,3,0.3105220540019218,,Adjusting RT...,034,Scanner,1,2019_Aug_27_0920,MID,3.1.5,24.003985757773233,
LgPun,4000,0,45,45,45,,313.2119111100037,None,4000,315.22688916599145,None,1,315.22688916599145,None,1.58,46,319.2301506259828,None,1,1,319.2301506259828,None,You did not lose $5.00!,0.3999999999999986,4,37,0.41999999999999993,56.52173913043478,0.2968535004239619,[1],100.0,36,3,0.3180969120003283,0.35446115900413133,,034,Scanner,1,2019_Aug_27_0920,MID,3.1.5,24.003985757773233,
Triangle,2000,0,46,46,46,,321.2129693120078,None,2000,323.22879585498595,None,None,323.22879585498595,None,1.58,47,325.2302513989853,None,None,0,325.2302513989853,None,You did not win or lose anything!,0.3999999999999986,3,37,0.41999999999999993,55.319148936170215,0.2968535004239619,[1],100.0,36,3,,,,034,Scanner,1,2019_Aug_27_0920,MID,3.1.5,24.003985757773233,
LgReward,3000,0,47,47,47,,327.21539878100157,None,3000,329.21866066599614,None,None,329.21866066599614,None,1.58,48,332.24633696800447,None,None,0,332.24633696800447,None,You did not win $5.00!,0.3999999999999986,1,38,0.41999999999999993,54.166666666666664,0.2968535004239619,"[1, 0]",100.0,36,3,,,,034,Scanner,1,2019_Aug_27_0920,MID,3.1.5,24.003985757773233,
LgReward,1500,0,48,48,48,,334.215787255991,None,1500,336.23036642200896,None,None,336.23036642200896,None,1.58,49,337.74691160200746,None,None,0,337.74691160200746,None,You did not win $5.00!,0.3999999999999986,1,39,0.3999999999999999,53.06122448979592,0.2968535004239619,[],66.66666666666666,39,3,,,Adjusting RT...,034,Scanner,1,2019_Aug_27_0920,MID,3.1.5,24.003985757773233,
SmallReward,3500,0,49,49,49,,339.7156812619942,None,3500,341.7198918570066,None,None,341.7198918570066,None,1.6,50,345.24829087400576,None,None,0,345.24829087400576,None,You did not win $0.20!,0.3999999999999986,2,40,0.3999999999999999,52.0,0.2968535004239619,[0],66.66666666666666,39,3,,,,034,Scanner,1,2019_Aug_27_0920,MID,3.1.5,24.003985757773233,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,034,Scanner,1,2019_Aug_27_0920,MID,3.1.5,24.003985757773233,
