Condition,FixationDur,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,TrialOrder,cueImage.started,cueImage.stopped,FixationDur,fixation.started,fixation.stopped,fixationResp.keys,fixationResp.started,fixationResp.stopped,feedbackDur,Trial counter,Target.started,Target.stopped,probeResp.keys,probeResp.corr,probeResp.started,probeResp.stopped,msg,TrackEarnings,TrialType,NonNeutralTrialsNum,probeDur,percentacc_total,meanrt,UserAcc,Acc,AdjTrial,AdjTrialInc,feedback_resp.keys,OverallRT,probeResp.rt,AdjRTmsg,feedback_resp.rt,fixationResp.rt,participant,prac_or_scan,run,date,expName,psychopyVersion,frameRate,
Triangle,1500,0,24,24,24,,188.7856233729981,None,1500,190.80177508096676,None,None,190.80177508096676,None,1.62,25,192.35295551200397,None,1,1,192.35295551200397,None,You did not win or lose anything!,9.8,3,21,0.37999999999999984,52.0,0.3243099590808225,[],50.0,21,3,None,0.30164308100938797,0.30164308100938797,,,,026,Scanner,2,2019_Aug_30_1240,MID,3.1.5,24.045833145800415,
SmallPun,3000,0,25,25,25,,194.41222287801793,None,3000,196.43668418796733,None,None,196.43668418796733,None,1.62,26,199.47177653899416,None,None,0,199.47177653899416,None,You lost $0.20!,9.600000000000001,5,22,0.37999999999999984,50.0,0.3243099590808225,[0],50.0,21,3,1,0.4483255079784429,,,0.06832550797844306,,026,Scanner,2,2019_Aug_30_1240,MID,3.1.5,24.045833145800415,
SmallReward,2000,0,26,26,26,,201.53743014798965,None,2000,203.55380630202126,None,None,203.55380630202126,None,1.62,27,205.61162600899115,None,None,0,205.61162600899115,None,You did not win $0.20!,9.600000000000001,2,23,0.37999999999999984,48.148148148148145,0.3243099590808225,"[0, 0]",50.0,21,3,None,0.4483255079784429,,,,,026,Scanner,2,2019_Aug_30_1240,MID,3.1.5,24.045833145800415,
SmallPun,4000,0,27,27,27,,207.66275380301522,None,4000,209.67328468797496,None,None,209.67328468797496,None,1.62,28,213.72275535197696,None,None,0,213.72275535197696,None,You lost $0.20!,9.400000000000002,5,24,0.44999999999999984,46.42857142857143,0.3243099590808225,[],0.0,24,3,None,0.4483255079784429,,Adjusting RT...,,,026,Scanner,2,2019_Aug_30_1240,MID,3.1.5,24.045833145800415,
LgReward,2000,0,28,28,28,,215.78812440298498,None,2000,217.8056316979928,None,None,217.8056316979928,None,1.5500000000000003,29,219.85939693299588,None,1,1,219.85939693299588,None,You won $5.00!,14.400000000000002,1,25,0.44999999999999984,48.275862068965516,0.32358763728656675,[1],0.0,24,3,None,0.314197453961242,0.314197453961242,,,,026,Scanner,2,2019_Aug_30_1240,MID,3.1.5,24.045833145800415,
SmallReward,1500,0,29,29,29,,221.91579504701076,None,1500,223.91889574599918,None,None,223.91889574599918,None,1.5500000000000003,30,225.44489075697493,None,1,1,225.44489075697493,None,You won $0.20!,14.600000000000001,2,26,0.44999999999999984,50.0,0.32686209133438143,"[1, 1]",0.0,24,3,None,0.37270444800378755,0.37270444800378755,,,,026,Scanner,2,2019_Aug_30_1240,MID,3.1.5,24.045833145800415,
LgReward,1500,0,30,30,30,,227.49943640700076,None,1500,229.50753851397894,None,None,229.50753851397894,None,1.5500000000000003,31,231.073788203008,None,None,0,231.073788203008,None,You did not win $5.00!,14.600000000000001,1,27,0.4899999999999998,48.38709677419355,0.32686209133438143,[],33.33333333333333,27,3,None,0.37270444800378755,,Adjusting RT...,,,026,Scanner,2,2019_Aug_30_1240,MID,3.1.5,24.045833145800415,
SmallReward,2000,0,31,31,31,,233.12214073201176,None,2000,235.14063436200377,None,None,235.14063436200377,None,1.5100000000000002,32,237.1975017359946,None,1,1,237.1975017359946,None,You won $0.20!,14.8,2,28,0.4899999999999998,50.0,0.3276849118155951,[1],33.33333333333333,27,3,None,0.34002721903380007,0.34002721903380007,,,,026,Scanner,2,2019_Aug_30_1240,MID,3.1.5,24.045833145800415,
LgPun,3000,0,32,32,32,,239.2471241930034,None,3000,241.2594195989659,None,None,241.2594195989659,None,1.5100000000000002,33,244.3093188040075,None,1,1,244.3093188040075,None,You did not lose $5.00!,14.8,4,29,0.4899999999999998,51.515151515151516,0.3281271040049272,"[1, 1]",33.33333333333333,27,3,None,0.33520217903424054,0.33520217903424054,,,,026,Scanner,2,2019_Aug_30_1240,MID,3.1.5,24.045833145800415,
SmallPun,2000,0,33,33,33,,246.3728999189916,None,2000,248.39235530002043,None,None,248.39235530002043,None,1.5100000000000002,34,250.4308725830051,None,1,1,250.4308725830051,None,You did not lose $0.20!,14.8,5,30,0.45999999999999985,52.94117647058824,0.32643796567248906,[],83.33333333333333,30,3,None,0.2977226140210405,0.2977226140210405,Adjusting RT...,,,026,Scanner,2,2019_Aug_30_1240,MID,3.1.5,24.045833145800415,
