Condition,FixationDur,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,TrialOrder,cueImage.started,cueImage.stopped,FixationDur,fixation.started,fixation.stopped,fixationResp.keys,fixationResp.started,fixationResp.stopped,feedbackDur,Trial counter,Target.started,Target.stopped,probeResp.keys,probeResp.corr,probeResp.started,probeResp.stopped,msg,TrackEarnings,TrialType,NonNeutralTrialsNum,probeDur,percentacc_total,meanrt,UserAcc,Acc,AdjTrial,AdjTrialInc,feedback_resp.keys,OverallRT,fixationResp.rt,feedback_resp.rt,AdjRTmsg,probeResp.rt,participant,prac_or_scan,run,date,expName,psychopyVersion,frameRate,
LgReward,2500,0,33,33,33,,236.23424391599838,None,2500,238.26908687700052,None,None,238.26908687700052,None,1.6400000000000001,34,240.81841447099578,None,1,1,240.81841447099578,None,You won $5.00!,10.2,1,27,0.3999999999999998,55.88235294117647,0.2825964354208401,[],33.33333333333333,27,3,None,0.2316318709999905,,,Adjusting RT...,0.2316318709999905,046,Scanner,1,2019_Sep_06_1529,MID,3.1.5,59.79377521634407,
SmallPun,2500,0,34,34,34,,242.87397142599366,None,2500,244.90278319799836,None,None,244.90278319799836,None,1.6,35,247.43676192400017,None,1,1,247.43676192400017,None,You did not lose $0.20!,10.2,5,28,0.3999999999999998,57.14285714285714,0.2830805574500118,[1],33.33333333333333,27,3,None,0.29227887600427493,,,,0.29227887600427493,046,Scanner,1,2019_Sep_06_1529,MID,3.1.5,59.79377521634407,
SmallPun,4000,0,35,35,35,,249.4737687819943,None,4000,251.50357400399662,None,None,251.50357400399662,None,1.6,36,255.53716760299721,None,1,1,255.53716760299721,None,You did not lose $0.20!,10.2,5,29,0.3999999999999998,58.333333333333336,0.2818808086189425,"[1, 1]",33.33333333333333,27,3,None,0.2578858319975552,,,,0.2578858319975552,046,Scanner,1,2019_Sep_06_1529,MID,3.1.5,59.79377521634407,
SmallReward,1500,0,36,36,36,,257.5752653229938,None,1500,259.6045599439967,None,None,259.6045599439967,None,1.6,37,261.1544122409978,None,None,0,261.1544122409978,None,You did not win $0.20!,10.2,2,30,0.3799999999999998,56.75675675675676,0.2818808086189425,[],66.66666666666666,30,3,1,0.39477677899674724,,0.014776778996747453,Adjusting RT...,,046,Scanner,1,2019_Sep_06_1529,MID,3.1.5,59.79377521634407,
SmallPun,1500,0,37,37,37,,263.18802866599435,None,1500,265.22205399599625,None,None,265.22205399599625,None,1.62,38,266.7554474219942,None,None,0,266.7554474219942,None,You lost $0.20!,10.0,5,31,0.3799999999999998,55.26315789473685,0.2818808086189425,[0],66.66666666666666,30,3,1,0.4431271009988266,,0.06312710099882679,,,046,Scanner,1,2019_Sep_06_1529,MID,3.1.5,59.79377521634407,
LgPun,1500,0,38,38,38,,268.7921928549986,None,1500,270.8225641099998,None,None,270.8225641099998,None,1.62,39,272.3565906099975,None,None,0,272.3565906099975,None,You lost $5.00!,5.0,4,32,0.3799999999999998,53.84615384615385,0.2818808086189425,"[0, 0]",66.66666666666666,30,3,1,0.394188733002811,,0.014188733002811205,,,046,Scanner,1,2019_Sep_06_1529,MID,3.1.5,59.79377521634407,
Triangle,1500,0,39,39,39,,274.389888644997,None,1500,276.42390276600054,None,None,276.42390276600054,None,1.62,40,277.95641933699517,None,1,1,277.95641933699517,None,You did not win or lose anything!,5.0,3,32,0.3799999999999998,55.00000000000001,0.28441439845449745,"[0, 0]",66.66666666666666,30,3,None,0.3376197850011522,,,,0.3376197850011522,046,Scanner,1,2019_Sep_06_1529,MID,3.1.5,59.79377521634407,
Triangle,2500,0,40,40,40,,279.9929171049953,None,2500,282.02422717499576,None,1,282.02422717499576,None,1.62,41,284.5578084189983,None,None,0,284.5578084189983,None,You did not win or lose anything!,5.0,3,32,0.3799999999999998,53.65853658536586,0.28441439845449745,"[0, 0]",66.66666666666666,30,3,None,0.3376197850011522,0.4797028019966092,,,,046,Scanner,1,2019_Sep_06_1529,MID,3.1.5,59.79377521634407,
LgPun,1500,0,41,41,41,,286.610061112995,None,1500,288.64184285399824,None,None,288.64184285399824,None,1.62,42,290.1749412039935,None,None,0,290.1749412039935,None,You lost $5.00!,0.0,4,33,0.41999999999999976,52.38095238095239,0.28441439845449745,[],33.33333333333333,33,3,None,0.3376197850011522,,,Adjusting RT...,,046,Scanner,1,2019_Sep_06_1529,MID,3.1.5,59.79377521634407,
LgPun,4000,0,42,42,42,,292.20980266900006,None,4000,294.24254165999446,None,None,294.24254165999446,None,1.5800000000000003,43,298.27638001000014,None,1,1,298.27638001000014,None,You did not lose $5.00!,0.0,4,34,0.41999999999999976,53.48837209302325,0.28346883056529687,[1],33.33333333333333,33,3,None,0.26266633700288367,,,,0.26266633700288367,046,Scanner,1,2019_Sep_06_1529,MID,3.1.5,59.79377521634407,
Triangle,3500,0,43,43,43,,300.3109921139985,None,3500,302.3441525229937,None,None,302.3441525229937,None,1.5800000000000003,44,305.8767205330005,None,None,0,305.8767205330005,None,You did not win or lose anything!,0.0,3,34,0.41999999999999976,52.27272727272727,0.28346883056529687,[1],33.33333333333333,33,3,1,0.4381544760052927,,0.018154476005292963,,,046,Scanner,1,2019_Sep_06_1529,MID,3.1.5,59.79377521634407,
SmallReward,1500,0,44,44,44,,307.94389326799865,None,1500,309.9609838079996,None,None,309.9609838079996,None,1.5800000000000003,45,311.511776937994,None,None,0,311.511776937994,None,You did not win $0.20!,0.0,2,35,0.41999999999999976,51.11111111111111,0.28346883056529687,"[1, 0]",33.33333333333333,33,3,1,0.40976670099364104,,-0.01023329900635872,,,046,Scanner,1,2019_Sep_06_1529,MID,3.1.5,59.79377521634407,
LgReward,2000,0,45,45,45,,313.5614851799983,None,2000,315.59544804199686,None,None,315.59544804199686,None,1.5800000000000003,46,317.64558741200017,None,1,1,317.64558741200017,None,You won $5.00!,5.0,1,36,0.45999999999999974,52.17391304347826,0.28434315745865507,[],33.33333333333333,36,3,None,0.3044526760058943,,,Adjusting RT...,0.3044526760058943,046,Scanner,1,2019_Sep_06_1529,MID,3.1.5,59.79377521634407,
LgReward,1500,0,46,46,46,,319.69552804999694,None,1500,321.72921093199693,None,None,321.72921093199693,None,1.5400000000000003,47,323.27888595200056,None,None,0,323.27888595200056,None,You did not win $5.00!,5.0,1,37,0.45999999999999974,51.06382978723404,0.28434315745865507,[0],33.33333333333333,36,3,1,0.4658747990042318,,0.005874799004232045,,,046,Scanner,1,2019_Sep_06_1529,MID,3.1.5,59.79377521634407,
LgPun,3000,0,47,47,47,,325.3128276789939,None,3000,327.34683781999775,None,None,327.34683781999775,None,1.5400000000000003,48,330.3788674440002,None,1,1,330.3788674440002,None,You did not lose $5.00!,5.0,4,38,0.45999999999999974,52.083333333333336,0.2841370315200766,"[0, 1]",33.33333333333333,36,3,None,0.2791900089941919,,,,0.2791900089941919,046,Scanner,1,2019_Sep_06_1529,MID,3.1.5,59.79377521634407,
LgPun,3500,0,48,48,48,,332.42993235699396,None,3500,334.4633014899955,None,None,334.4633014899955,None,1.5400000000000003,49,337.9965879049996,None,1,1,337.9965879049996,None,You did not lose $5.00!,5.0,4,39,0.4399999999999997,53.06122448979592,0.28495689603844837,[],66.66666666666666,39,3,None,0.3054535089977435,,,Adjusting RT...,0.3054535089977435,046,Scanner,1,2019_Sep_06_1529,MID,3.1.5,59.79377521634407,
LgPun,2500,0,49,49,49,,340.0298278839982,None,2500,342.06424031399365,None,None,342.06424031399365,None,1.5600000000000003,50,344.59667934999743,None,1,1,344.59667934999743,None,You did not lose $5.00!,5.0,4,40,0.4399999999999997,54.0,0.28660293048165775,[1],66.66666666666666,39,3,None,0.3293998260051012,,,,0.3293998260051012,046,Scanner,1,2019_Sep_06_1529,MID,3.1.5,59.79377521634407,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,046,Scanner,1,2019_Sep_06_1529,MID,3.1.5,59.79377521634407,
