Condition,FixationDur,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,TrialOrder,cueImage.started,cueImage.stopped,FixationDur,fixation.started,fixation.stopped,fixationResp.keys,fixationResp.started,fixationResp.stopped,feedbackDur,Trial counter,Target.started,Target.stopped,probeResp.keys,probeResp.corr,probeResp.started,probeResp.stopped,msg,TrackEarnings,TrialType,NonNeutralTrialsNum,probeDur,percentacc_total,meanrt,UserAcc,Acc,AdjTrial,AdjTrialInc,AdjRTmsg,probeResp.rt,participant,prac_or_scan,run,date,expName,psychopyVersion,frameRate,
SmallPun,4000,0,35,35,35,,257.60148239700356,None,4000,259.62322265400144,None,None,259.62322265400144,None,1.53,36,263.62342029000865,None,None,0,263.62342029000865,None,You lost $0.20!,-10.0,5,28,0.47,44.44444444444444,0.35007148518889153,[0],83.33333333333333,27,3,,,039,Scanner,2,2019_Aug_22_0947,MID,3.1.5,23.99670490662503,
Triangle,1500,0,36,36,36,,265.60183437399974,None,1500,267.61066105699865,None,None,267.61066105699865,None,1.53,37,269.12436579899804,None,None,0,269.12436579899804,None,You did not win or lose anything!,-10.0,3,28,0.47,43.24324324324324,0.35007148518889153,[0],83.33333333333333,27,3,,,039,Scanner,2,2019_Aug_22_0947,MID,3.1.5,23.99670490662503,
SmallPun,2000,0,37,37,37,,271.10199848600314,None,2000,273.10986331100867,None,None,273.10986331100867,None,1.53,38,275.12498200200207,None,1,1,275.12498200200207,None,You did not lose $0.20!,-10.0,5,29,0.47,44.73684210526316,0.34982104588433527,"[0, 1]",83.33333333333333,27,3,,0.34581401701143477,039,Scanner,2,2019_Aug_22_0947,MID,3.1.5,23.99670490662503,
LgReward,2500,0,38,38,38,,277.10231866400864,None,2500,279.11037903699616,None,None,279.11037903699616,None,1.53,39,281.641278798008,None,1,1,281.641278798008,None,You won $5.00!,-5.0,1,30,0.43999999999999995,46.15384615384615,0.34775282811299096,[],83.33333333333333,30,3,Adjusting RT...,0.312593126000138,039,Scanner,2,2019_Aug_22_0947,MID,3.1.5,23.99670490662503,
LgReward,1500,0,39,39,39,,283.6020687420096,None,1500,285.6091695549985,None,None,285.6091695549985,None,1.56,40,287.1431137870095,None,None,0,287.1431137870095,None,You did not win $5.00!,-5.0,1,31,0.43999999999999995,45.0,0.34775282811299096,[0],83.33333333333333,30,3,,,039,Scanner,2,2019_Aug_22_0947,MID,3.1.5,23.99670490662503,
LgPun,1500,0,40,40,40,,289.0614367560047,None,1500,291.07459645300696,None,None,291.07459645300696,None,1.56,41,292.5758228850027,None,None,0,292.5758228850027,None,You lost $5.00!,-10.0,4,32,0.43999999999999995,43.90243902439025,0.34775282811299096,"[0, 0]",83.33333333333333,30,3,,,039,Scanner,2,2019_Aug_22_0947,MID,3.1.5,23.99670490662503,
SmallPun,2000,0,41,41,41,,294.5213000789954,None,2000,296.5277694050019,None,None,296.5277694050019,None,1.56,42,298.54413503900287,None,None,0,298.54413503900287,None,You lost $0.20!,-10.2,5,33,0.4799999999999999,42.857142857142854,0.34775282811299096,[],33.33333333333333,33,3,Adjusting RT...,,039,Scanner,2,2019_Aug_22_0947,MID,3.1.5,23.99670490662503,
LgReward,1500,0,42,42,42,,300.478431112002,None,1500,302.49556659400696,None,None,302.49556659400696,None,1.52,43,304.0113175709994,None,None,0,304.0113175709994,None,You did not win $5.00!,-10.2,1,34,0.4799999999999999,41.86046511627907,0.34775282811299096,[0],33.33333333333333,33,3,,,039,Scanner,2,2019_Aug_22_0947,MID,3.1.5,23.99670490662503,
SmallPun,1500,0,43,43,43,,305.9368801179953,None,1500,307.94650268700207,None,None,307.94650268700207,None,1.52,44,309.45478151399584,None,None,0,309.45478151399584,None,You lost $0.20!,-10.399999999999999,5,35,0.4799999999999999,40.909090909090914,0.34775282811299096,"[0, 0]",33.33333333333333,33,3,,,039,Scanner,2,2019_Aug_22_0947,MID,3.1.5,23.99670490662503,
SmallReward,1500,0,44,44,44,,311.3957036030042,None,1500,313.41327846799686,None,None,313.41327846799686,None,1.52,45,314.9290145870036,None,1,1,314.9290145870036,None,You won $0.20!,-10.2,2,36,0.5,42.22222222222222,0.3466543397907548,[],16.666666666666664,36,3,Adjusting RT...,0.3268815499905031,039,Scanner,2,2019_Aug_22_0947,MID,3.1.5,23.99670490662503,
LgReward,4000,0,45,45,45,,316.8570230930054,None,4000,318.86415192100685,None,None,318.86415192100685,None,1.5,46,322.88766272200155,None,1,1,322.88766272200155,None,You won $5.00!,-5.199999999999999,1,37,0.5,43.47826086956522,0.3473310350011161,[1],16.666666666666664,36,3,,0.36018824399798177,039,Scanner,2,2019_Aug_22_0947,MID,3.1.5,23.99670490662503,
Triangle,3000,0,46,46,46,,324.8546557149966,None,3000,326.8640041489998,None,None,326.8640041489998,None,1.5,47,329.8732758660044,None,None,0,329.8732758660044,None,You did not win or lose anything!,-5.199999999999999,3,37,0.5,42.5531914893617,0.3473310350011161,[1],16.666666666666664,36,3,,,039,Scanner,2,2019_Aug_22_0947,MID,3.1.5,23.99670490662503,
SmallPun,3000,0,47,47,47,,331.8583378290059,None,3000,333.86579789800453,None,None,333.86579789800453,None,1.5,48,336.8819647830096,None,1,1,336.8819647830096,None,You did not lose $0.20!,-5.199999999999999,5,38,0.5,43.75,0.34678686104875633,"[1, 1]",16.666666666666664,36,3,,0.3359033820015611,039,Scanner,2,2019_Aug_22_0947,MID,3.1.5,23.99670490662503,
SmallPun,2500,0,48,48,48,,338.85517597099533,None,2500,340.8668625510036,None,None,340.8668625510036,None,1.5,49,343.3728377689986,None,1,1,343.3728377689986,None,You did not lose $0.20!,-5.199999999999999,5,39,0.48,44.89795918367347,0.3486548137278243,[],66.66666666666666,39,3,Adjusting RT...,0.38788181998825166,039,Scanner,2,2019_Aug_22_0947,MID,3.1.5,23.99670490662503,
SmallReward,2000,0,49,49,49,,345.355476362005,None,2000,347.367010285001,None,None,347.367010285001,None,1.52,50,349.3848806599999,None,None,0,349.3848806599999,None,You did not win $0.20!,-5.199999999999999,2,40,0.48,44.0,0.3486548137278243,[0],66.66666666666666,39,3,,,039,Scanner,2,2019_Aug_22_0947,MID,3.1.5,23.99670490662503,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,039,Scanner,2,2019_Aug_22_0947,MID,3.1.5,23.99670490662503,
