Condition,FixationDur,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,TrialOrder,cueImage.started,cueImage.stopped,FixationDur,fixation.started,fixation.stopped,fixationResp.keys,fixationResp.started,fixationResp.stopped,feedbackDur,Trial counter,Target.started,Target.stopped,probeResp.keys,probeResp.corr,probeResp.started,probeResp.stopped,msg,TrackEarnings,TrialType,NonNeutralTrialsNum,probeDur,percentacc_total,meanrt,UserAcc,Acc,AdjTrial,AdjTrialInc,feedback_resp.keys,feedback_resp.rt,OverallRT,AdjRTmsg,probeResp.rt,participant,prac_or_scan,run,date,expName,psychopyVersion,frameRate,
SmallPun,1500,0,24,24,24,,179.56654752900067,None,1500,181.59967065600358,None,None,181.59967065600358,None,1.61,25,183.13272407200566,None,1,1,183.13272407200566,None,You did not lose $0.20!,-14.600000000000001,5,19,0.3899999999999999,52.0,0.28502573438443224,[1],83.33333333333333,18,3,None,,0.2919719720011926,,0.2919719720011926,046,Scanner,2,2019_Sep_06_1535,MID,3.1.5,60.03888093804232,
LgPun,2500,0,25,25,25,,185.16786427600164,None,2500,187.19988942300552,None,None,187.19988942300552,None,1.61,26,189.7334230780034,None,1,1,189.7334230780034,None,You did not lose $5.00!,-14.600000000000001,4,20,0.3899999999999999,53.84615384615385,0.28675630814229536,"[1, 1]",83.33333333333333,18,3,None,,0.3092537669945159,,0.3092537669945159,046,Scanner,2,2019_Sep_06_1535,MID,3.1.5,60.03888093804232,
SmallReward,1500,0,26,26,26,,191.7835827950039,None,1500,193.81850952700188,None,None,193.81850952700188,None,1.61,27,195.36748026100395,None,None,0,195.36748026100395,None,You did not win $0.20!,-14.600000000000001,2,21,0.3699999999999999,51.85185185185185,0.28675630814229536,[],66.66666666666666,21,3,1,0.024835215997882187,0.39483521599788207,Adjusting RT...,,046,Scanner,2,2019_Sep_06_1535,MID,3.1.5,60.03888093804232,
LgReward,1500,0,27,27,27,,197.4178252270067,None,1500,199.45175906800432,None,None,199.45175906800432,None,1.6300000000000001,28,201.00181307300227,None,1,1,201.00181307300227,None,You won $5.00!,-9.600000000000001,1,22,0.3699999999999999,53.57142857142857,0.28843143213258976,[1],66.66666666666666,21,3,None,,0.31188316799671156,,0.31188316799671156,046,Scanner,2,2019_Sep_06_1535,MID,3.1.5,60.03888093804232,
LgReward,2500,0,28,28,28,,203.0510485610066,None,2500,205.0859481390071,None,None,205.0859481390071,None,1.6300000000000001,29,207.63558472400473,None,1,1,207.63558472400473,None,You won $5.00!,-4.600000000000001,1,23,0.3699999999999999,55.172413793103445,0.2887160316245172,"[1, 1]",66.66666666666666,21,3,None,,0.2929850240034284,,0.2929850240034284,046,Scanner,2,2019_Sep_06_1535,MID,3.1.5,60.03888093804232,
SmallPun,2000,0,29,29,29,,209.66972520400304,None,2000,211.70260473700182,None,None,211.70260473700182,None,1.6300000000000001,30,213.7357688100019,None,None,0,213.7357688100019,None,You lost $0.20!,-4.800000000000002,5,24,0.34999999999999987,53.333333333333336,0.2887160316245172,[],66.66666666666666,24,3,1,-0.0015588869937346317,0.34844111300626524,Adjusting RT...,,046,Scanner,2,2019_Sep_06_1535,MID,3.1.5,60.03888093804232,
SmallReward,1500,0,30,30,30,,215.78609475800477,None,1500,217.81961501000478,None,None,217.81961501000478,None,1.6500000000000001,31,219.36902224600635,None,None,0,219.36902224600635,None,You did not win $0.20!,-4.800000000000002,2,25,0.34999999999999987,51.61290322580645,0.2887160316245172,[0],66.66666666666666,24,3,1,0.007264223000674974,0.35726422300067484,,,046,Scanner,2,2019_Sep_06_1535,MID,3.1.5,60.03888093804232,
SmallPun,1500,0,31,31,31,,221.40311263900367,None,1500,223.43639724600507,None,None,223.43639724600507,None,1.6500000000000001,32,224.9697108420005,None,None,0,224.9697108420005,None,You lost $0.20!,-5.000000000000002,5,26,0.34999999999999987,50.0,0.2887160316245172,"[0, 0]",66.66666666666666,24,3,None,,0.35726422300067484,,,046,Scanner,2,2019_Sep_06_1535,MID,3.1.5,60.03888093804232,
Triangle,2500,0,32,32,32,,227.00366361700435,None,2500,229.03714844700153,None,None,229.03714844700153,None,1.6500000000000001,33,231.56962687000487,None,None,0,231.56962687000487,None,You did not win or lose anything!,-5.000000000000002,3,26,0.34999999999999987,48.484848484848484,0.2887160316245172,"[0, 0]",66.66666666666666,24,3,None,,0.35726422300067484,,,046,Scanner,2,2019_Sep_06_1535,MID,3.1.5,60.03888093804232,
LgReward,1500,0,33,33,33,,233.62041251000483,None,1500,235.6545095820038,None,None,235.6545095820038,None,1.6500000000000001,34,237.20402530600404,None,None,0,237.20402530600404,None,You did not win $5.00!,-5.000000000000002,1,27,0.38999999999999985,47.05882352941176,0.2887160316245172,[],33.33333333333333,27,3,1,0.014007099001901224,0.40400709900190107,Adjusting RT...,,046,Scanner,2,2019_Sep_06_1535,MID,3.1.5,60.03888093804232,
LgPun,2000,0,34,34,34,,239.23804722700152,None,2000,241.27176354200492,None,None,241.27176354200492,None,1.61,35,243.30386403700686,None,1,1,243.30386403700686,None,You did not lose $5.00!,-5.000000000000002,4,28,0.38999999999999985,48.57142857142857,0.2907813289403909,[1],33.33333333333333,27,3,None,,0.32382608599436935,,0.32382608599436935,046,Scanner,2,2019_Sep_06_1535,MID,3.1.5,60.03888093804232,
LgReward,3500,0,35,35,35,,245.33770963400457,None,3500,247.3716453060042,None,None,247.3716453060042,None,1.61,36,250.92178770500323,None,1,1,250.92178770500323,None,You won $5.00!,-1.7763568394002505e-15,1,29,0.38999999999999985,50.0,0.2915657469990644,"[1, 1]",33.33333333333333,27,3,None,,0.30490085399651434,,0.30490085399651434,046,Scanner,2,2019_Sep_06_1535,MID,3.1.5,60.03888093804232,
LgPun,3000,0,36,36,36,,252.955371516,None,3000,254.9890131800057,None,None,254.9890131800057,None,1.61,37,258.0215207230067,None,1,1,258.0215207230067,None,You did not lose $5.00!,-1.7763568394002505e-15,4,30,0.40999999999999986,51.35135135135135,0.2918558995780155,[],50.0,30,3,None,,0.2970786459991359,Adjusting RT...,0.2970786459991359,046,Scanner,2,2019_Sep_06_1535,MID,3.1.5,60.03888093804232,
SmallReward,2000,0,37,37,37,,260.08894999900076,None,2000,262.1231887620015,None,None,262.1231887620015,None,1.59,38,264.17273455100076,None,1,1,264.17273455100076,None,You won $0.20!,0.19999999999999823,2,31,0.40999999999999986,52.63157894736842,0.2929133031491801,[1],50.0,30,3,None,,0.31300397100130795,,0.31300397100130795,046,Scanner,2,2019_Sep_06_1535,MID,3.1.5,60.03888093804232,
SmallPun,1500,0,38,38,38,,266.22287291600514,None,1500,268.2439348290063,None,None,268.2439348290063,None,1.59,39,269.7889534040005,None,None,0,269.7889534040005,None,You lost $0.20!,-1.7763568394002505e-15,5,32,0.40999999999999986,51.28205128205128,0.2929133031491801,"[1, 0]",50.0,30,3,None,,0.31300397100130795,,,046,Scanner,2,2019_Sep_06_1535,MID,3.1.5,60.03888093804232,
LgReward,4000,0,39,39,39,,271.85662554900046,None,4000,273.8898145840067,None,None,273.8898145840067,None,1.59,40,277.9403862780018,None,1,1,277.9403862780018,None,You won $5.00!,4.999999999999998,1,33,0.3799999999999999,52.5,0.29202730338008787,[],83.33333333333333,33,3,None,,0.2743073079982423,Adjusting RT...,0.2743073079982423,046,Scanner,2,2019_Sep_06_1535,MID,3.1.5,60.03888093804232,
Triangle,1500,0,40,40,40,,279.97366255800443,None,1500,282.00762782400125,None,None,282.00762782400125,None,1.62,41,283.540155693001,None,None,0,283.540155693001,None,You did not win or lose anything!,4.999999999999998,3,33,0.3799999999999999,51.21951219512195,0.29202730338008787,[],83.33333333333333,33,3,None,,0.2743073079982423,,,046,Scanner,2,2019_Sep_06_1535,MID,3.1.5,60.03888093804232,
LgReward,2000,0,41,41,41,,285.62383297100314,None,2000,287.6414182300068,None,None,287.6414182300068,None,1.62,42,289.6910492390016,None,1,1,289.6910492390016,None,You won $5.00!,9.999999999999998,1,34,0.3799999999999999,52.38095238095239,0.2940521746353294,[1],83.33333333333333,33,3,None,,0.3365744709954015,,0.3365744709954015,046,Scanner,2,2019_Sep_06_1535,MID,3.1.5,60.03888093804232,
SmallPun,3000,0,42,42,42,,291.7410284830039,None,3000,293.7638417640046,None,None,293.7638417640046,None,1.62,43,296.807660036,None,None,0,296.807660036,None,You lost $0.20!,9.799999999999999,5,35,0.3799999999999999,51.162790697674424,0.2940521746353294,"[1, 0]",83.33333333333333,33,3,1,0.018451757001457736,0.39845175700145763,,,046,Scanner,2,2019_Sep_06_1535,MID,3.1.5,60.03888093804232,
Triangle,1500,0,43,43,43,,298.8575797720041,None,1500,300.88155350099987,None,None,300.88155350099987,None,1.62,44,302.42530707400147,None,1,1,302.42530707400147,None,You did not win or lose anything!,9.799999999999999,3,35,0.3799999999999999,52.27272727272727,0.29541558543385926,"[1, 0]",83.33333333333333,33,3,None,,0.3254106230015168,,0.3254106230015168,046,Scanner,2,2019_Sep_06_1535,MID,3.1.5,60.03888093804232,
SmallPun,1500,0,44,44,44,,304.475318239005,None,1500,306.4993245190053,None,None,306.4993245190053,None,1.62,45,308.0423353780061,None,1,1,308.0423353780061,None,You did not lose $0.20!,9.799999999999999,5,36,0.3599999999999999,53.333333333333336,0.29733062091600004,[],66.66666666666666,36,3,None,,0.3413764370052377,Adjusting RT...,0.3413764370052377,046,Scanner,2,2019_Sep_06_1535,MID,3.1.5,60.03888093804232,
LgPun,4000,0,45,45,45,,310.0758167620006,None,4000,312.0996857630016,None,None,312.0996857630016,None,1.6400000000000001,46,316.1423552910055,None,1,1,316.1423552910055,None,You did not lose $5.00!,9.799999999999999,4,37,0.3599999999999999,54.347826086956516,0.2975265263192705,[1],66.66666666666666,36,3,None,,0.30222825599776115,,0.30222825599776115,046,Scanner,2,2019_Sep_06_1535,MID,3.1.5,60.03888093804232,
Triangle,2000,0,46,46,46,,318.1924911080059,None,2000,320.2181741200038,None,None,320.2181741200038,None,1.6400000000000001,47,322.2591324080058,None,None,0,322.2591324080058,None,You did not win or lose anything!,9.799999999999999,3,37,0.3599999999999999,53.191489361702125,0.2975265263192705,[1],66.66666666666666,36,3,None,,0.30222825599776115,,,046,Scanner,2,2019_Sep_06_1535,MID,3.1.5,60.03888093804232,
LgReward,3000,0,47,47,47,,324.32800779399986,None,3000,326.3513420090021,None,None,326.3513420090021,None,1.6400000000000001,48,329.40128425200237,None,None,0,329.40128425200237,None,You did not win $5.00!,9.799999999999999,1,38,0.3599999999999999,52.083333333333336,0.2975265263192705,"[1, 0]",66.66666666666666,36,3,None,,0.30222825599776115,,,046,Scanner,2,2019_Sep_06_1535,MID,3.1.5,60.03888093804232,
LgReward,1500,0,48,48,48,,331.4779516000053,None,1500,333.48552459600614,None,None,333.48552459600614,None,1.6400000000000001,49,335.0363159520057,None,1,1,335.0363159520057,None,You won $5.00!,14.799999999999999,1,39,0.33999999999999986,53.06122448979592,0.2978284130376079,[],66.66666666666666,39,3,None,,0.3053755809960421,Adjusting RT...,0.3053755809960421,046,Scanner,2,2019_Sep_06_1535,MID,3.1.5,60.03888093804232,
SmallReward,3500,0,49,49,49,,337.1190976480066,None,3500,339.13645985300536,None,None,339.13645985300536,None,1.6600000000000001,50,342.68729167900165,None,1,1,342.68729167900165,None,You won $0.20!,14.999999999999998,2,40,0.33999999999999986,54.0,0.296701256777009,[1],66.66666666666666,39,3,None,,0.26739519400143763,,0.26739519400143763,046,Scanner,2,2019_Sep_06_1535,MID,3.1.5,60.03888093804232,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,046,Scanner,2,2019_Sep_06_1535,MID,3.1.5,60.03888093804232,
