Condition,FixationDur,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,TrialOrder,cueImage.started,cueImage.stopped,FixationDur,fixation.started,fixation.stopped,fixationResp.keys,fixationResp.started,fixationResp.stopped,feedbackDur,Trial counter,Target.started,Target.stopped,probeResp.keys,probeResp.corr,probeResp.rt,probeResp.started,probeResp.stopped,msg,TrackEarnings,TrialType,NonNeutralTrialsNum,probeDur,percentacc_total,meanrt,UserAcc,Acc,AdjTrial,AdjTrialInc,feedback_resp.keys,OverallRT,AdjRTmsg,feedback_resp.rt,participant,prac_or_scan,run,date,expName,psychopyVersion,frameRate,
LgReward,4000,0,24,24,24,,191.287112197002,None,4000,193.32133007200173,None,None,193.32133007200173,None,1.7,25,197.37147650700354,None,1,1,0.24535978300264105,197.37147650700354,None,You won $5.00!,10.8,1,19,0.3,60.0,0.26265463026744934,[1],66.66666666666666,18,3,None,0.24535978300264105,,,009,Scanner,1,2019_Sep_06_1248,MID,3.1.5,60.01016692357299,
LgPun,3000,0,25,25,25,,199.4102869970011,None,3000,201.43846492300509,None,None,201.43846492300509,None,1.7,26,204.47160960000474,None,1,1,0.24523046299873386,204.47160960000474,None,You did not lose $5.00!,10.8,4,20,0.3,61.53846153846154,0.2615656198131546,"[1, 1]",66.66666666666666,18,3,None,0.24523046299873386,,,009,Scanner,1,2019_Sep_06_1248,MID,3.1.5,60.01016692357299,
Triangle,1500,0,26,26,26,,206.51052443400113,None,1500,208.53916181900422,None,None,208.53916181900422,None,1.7,27,210.0731557130057,None,None,0,,210.0731557130057,None,You did not win or lose anything!,10.8,3,20,0.3,59.25925925925925,0.2615656198131546,"[1, 1]",66.66666666666666,18,3,1,0.3057025920032174,,0.005702592003217433,009,Scanner,1,2019_Sep_06_1248,MID,3.1.5,60.01016692357299,
LgPun,1500,0,27,27,27,,212.11087342000246,None,1500,214.1405212630052,None,None,214.1405212630052,None,1.7,28,215.67400022999936,None,None,0,,215.67400022999936,None,You lost $5.00!,5.800000000000001,4,21,0.27,57.14285714285714,0.2615656198131546,[],83.33333333333333,21,3,1,0.28662106000003407,Adjusting RT...,0.01662106000003405,009,Scanner,1,2019_Sep_06_1248,MID,3.1.5,60.01016692357299,
SmallReward,2000,0,28,28,28,,217.72403360700264,None,2000,219.7580026700016,None,None,219.7580026700016,None,1.73,29,221.8080252660002,None,None,0,,221.8080252660002,None,You did not win $0.20!,5.800000000000001,2,22,0.27,55.172413793103445,0.2615656198131546,[0],83.33333333333333,21,3,1,0.37179427600087367,,0.10179427600087365,009,Scanner,1,2019_Sep_06_1248,MID,3.1.5,60.01016692357299,
LgPun,1500,0,29,29,29,,223.8445593400029,None,1500,225.87519723900186,None,None,225.87519723900186,None,1.73,30,227.40853597500245,None,None,0,,227.40853597500245,None,You lost $5.00!,0.8000000000000007,4,23,0.27,53.333333333333336,0.2615656198131546,"[0, 0]",83.33333333333333,21,3,1,0.2949185399952694,,0.024918539995269384,009,Scanner,1,2019_Sep_06_1248,MID,3.1.5,60.01016692357299,
SmallReward,1500,0,30,30,30,,229.4586881819996,None,1500,231.49265701800323,None,None,231.49265701800323,None,1.73,31,233.04230949400517,None,None,0,,233.04230949400517,None,You did not win $0.20!,0.8000000000000007,2,24,0.31,51.61290322580645,0.2615656198131546,[],33.33333333333333,24,3,None,0.2949185399952694,Adjusting RT...,,009,Scanner,1,2019_Sep_06_1248,MID,3.1.5,60.01016692357299,
SmallPun,3500,0,31,31,31,,235.0764534580012,None,3500,237.1103414579993,None,None,237.1103414579993,None,1.69,32,240.643787686,None,1,1,0.2450446649963851,240.643787686,None,You did not lose $0.20!,0.8000000000000007,5,25,0.31,53.125,0.26059379894157997,[1],33.33333333333333,24,3,None,0.2450446649963851,,,009,Scanner,1,2019_Sep_06_1248,MID,3.1.5,60.01016692357299,
Triangle,4000,0,32,32,32,,242.69636643899867,None,4000,244.72804651900515,None,None,244.72804651900515,None,1.69,33,248.76200623800105,None,1,1,0.26082531599968206,248.76200623800105,None,You did not win or lose anything!,0.8000000000000007,3,25,0.31,54.54545454545454,0.2606066610003634,[1],33.33333333333333,24,3,None,0.26082531599968206,,,009,Scanner,1,2019_Sep_06_1248,MID,3.1.5,60.01016692357299,
SmallPun,2000,0,33,33,33,,250.81309239000257,None,2000,252.84535411900288,None,None,252.84535411900288,None,1.69,34,254.87929042800533,None,None,0,,254.87929042800533,None,You lost $0.20!,0.6000000000000008,5,26,0.31,52.94117647058824,0.2606066610003634,"[1, 0]",33.33333333333333,24,3,1,0.3283840970057645,,0.018384097005764488,009,Scanner,1,2019_Sep_06_1248,MID,3.1.5,60.01016692357299,
