Condition,FixationDur,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,TrialOrder,cueImage.started,cueImage.stopped,FixationDur,fixation.started,fixation.stopped,fixationResp.keys,fixationResp.started,fixationResp.stopped,feedbackDur,Trial counter,Target.started,Target.stopped,probeResp.keys,probeResp.corr,probeResp.started,probeResp.stopped,msg,TrackEarnings,TrialType,NonNeutralTrialsNum,probeDur,percentacc_total,meanrt,UserAcc,Acc,AdjTrial,AdjTrialInc,feedback_resp.keys,feedback_resp.rt,OverallRT,AdjRTmsg,probeResp.rt,fixationResp.rt,participant,prac_or_scan,run,date,expName,psychopyVersion,frameRate,
SmallPun,1500,0,37,37,37,,267.70393834200513,None,1500,269.73801881801046,None,None,269.73801881801046,None,1.62,38,271.27073240799655,None,None,0,271.27073240799655,None,You lost $0.20!,14.400000000000002,5,30,0.4199999999999998,44.73684210526316,0.26724679576257,[],33.33333333333333,30,3,None,,0.25667851300386246,Adjusting RT...,,,014,Scanner,2,2019_Sep_08_1512,MID,3.1.5,60.008689738354825,
SmallReward,2000,0,38,38,38,,273.32076790700376,None,2000,275.3548332930077,None,None,275.3548332930077,None,1.58,39,277.403842781001,None,1,1,277.403842781001,None,You won $0.20!,14.600000000000001,2,31,0.4199999999999998,46.15384615384615,0.269633834220359,[1],33.33333333333333,30,3,None,,0.3102134880027734,,0.3102134880027734,,014,Scanner,2,2019_Sep_08_1512,MID,3.1.5,60.008689738354825,
SmallPun,3500,0,39,39,39,,279.43771223899967,None,3500,281.47123513300903,None,None,281.47123513300903,None,1.58,40,285.0047823430068,None,1,1,285.0047823430068,None,You did not lose $0.20!,14.600000000000001,5,32,0.4199999999999998,47.5,0.2710907032083732,"[1, 1]",33.33333333333333,30,3,None,,0.2973143449926283,,0.2973143449926283,,014,Scanner,2,2019_Sep_08_1512,MID,3.1.5,60.008689738354825,
Triangle,1500,0,40,40,40,,287.0374760220002,None,1500,289.07250371100963,None,None,289.07250371100963,None,1.58,41,290.60513270400406,None,1,1,290.60513270400406,None,You did not win or lose anything!,14.600000000000001,3,32,0.4199999999999998,48.78048780487805,0.2730847864477255,"[1, 1]",33.33333333333333,30,3,None,,0.3109723679954186,,0.3109723679954186,,014,Scanner,2,2019_Sep_08_1512,MID,3.1.5,60.008689738354825,
SmallPun,1500,0,41,41,41,,292.6388385580067,None,1500,294.67289820400765,None,None,294.67289820400765,None,1.58,42,296.205075047008,None,None,0,296.205075047008,None,You lost $0.20!,14.400000000000002,5,33,0.3999999999999998,47.61904761904761,0.2730847864477255,[],66.66666666666666,33,3,1,0.17685539100784808,0.5768553910078479,Adjusting RT...,,,014,Scanner,2,2019_Sep_08_1512,MID,3.1.5,60.008689738354825,
LgPun,2000,0,42,42,42,,298.23809258799884,None,2000,300.2725727640063,None,None,300.2725727640063,None,1.6,43,302.3050525150029,None,1,1,302.3050525150029,None,You did not lose $5.00!,14.400000000000002,4,34,0.3999999999999998,48.837209302325576,0.27508298695015365,[1],66.66666666666666,33,3,None,,0.3150469969987171,,0.3150469969987171,,014,Scanner,2,2019_Sep_08_1512,MID,3.1.5,60.008689738354825,
LgPun,1500,0,43,43,43,,304.33914915900095,None,1500,306.3735538470064,None,None,306.3735538470064,None,1.6,44,307.9065524269972,None,1,1,307.9065524269972,None,You did not lose $5.00!,14.400000000000002,4,35,0.3999999999999998,50.0,0.2763328375433709,"[1, 1]",66.66666666666666,33,3,None,,0.30257970000093337,,0.30257970000093337,,014,Scanner,2,2019_Sep_08_1512,MID,3.1.5,60.008689738354825,
SmallReward,1500,0,44,44,44,,309.9570834930055,None,1500,311.9905908579967,None,None,311.9905908579967,None,1.6,45,313.5402101170039,None,None,0,313.5402101170039,None,You did not win $0.20!,14.400000000000002,2,36,0.3799999999999998,48.888888888888886,0.2763328375433709,[],66.66666666666666,36,3,1,0.35488886600069236,0.7348888660006921,Adjusting RT...,,,014,Scanner,2,2019_Sep_08_1512,MID,3.1.5,60.008689738354825,
Triangle,4000,0,45,45,45,,315.5735172850109,None,4000,317.5965580720076,None,None,317.5965580720076,None,1.62,46,321.64075016599963,None,1,1,321.64075016599963,None,You did not win or lose anything!,14.400000000000002,3,36,0.3799999999999998,50.0,0.27450094178050716,[],66.66666666666666,36,3,None,,0.2341992349975044,,0.2341992349975044,,014,Scanner,2,2019_Sep_08_1512,MID,3.1.5,60.008689738354825,
LgReward,1500,0,46,46,46,,323.7074788949976,None,1500,325.7304056800058,None,None,325.7304056800058,None,1.62,47,327.2821948810015,None,1,1,327.2821948810015,None,You won $5.00!,19.400000000000002,1,37,0.3799999999999998,51.06382978723404,0.27489431549777993,[1],66.66666666666666,36,3,None,,0.28394191099505406,,0.28394191099505406,,014,Scanner,2,2019_Sep_08_1512,MID,3.1.5,60.008689738354825,
SmallReward,1500,0,47,47,47,,329.34110305900685,None,1500,331.36492195799656,None,None,331.36492195799656,None,1.62,48,332.91548377199797,None,1,1,332.91548377199797,None,You won $0.20!,19.6,2,38,0.3799999999999998,52.083333333333336,0.2734834016376408,"[1, 1]",66.66666666666666,36,3,None,,0.2396214689943008,,0.2396214689943008,,014,Scanner,2,2019_Sep_08_1512,MID,3.1.5,60.008689738354825,
LgReward,1500,0,48,48,48,,334.9746928460081,None,1500,336.9991066040093,None,None,336.9991066040093,None,1.62,49,338.5579746209987,None,1,1,338.5579746209987,None,You won $5.00!,24.6,1,39,0.34999999999999976,53.06122448979592,0.2739265395743692,[],83.33333333333333,39,3,None,,0.2850049879925791,Adjusting RT...,0.2850049879925791,,014,Scanner,2,2019_Sep_08_1512,MID,3.1.5,60.008689738354825,
LgPun,1500,0,49,49,49,,340.5920816989965,None,1500,342.6157949240005,None,None,342.6157949240005,None,1.6500000000000004,50,344.15882375399815,None,1,1,344.15882375399815,None,You did not lose $5.00!,24.6,4,40,0.34999999999999976,54.0,0.27364323947943003,[1],83.33333333333333,39,3,None,,0.2662774370110128,,0.2662774370110128,,014,Scanner,2,2019_Sep_08_1512,MID,3.1.5,60.008689738354825,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,014,Scanner,2,2019_Sep_08_1512,MID,3.1.5,60.008689738354825,
