Condition,FixationDur,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,TrialOrder,cueImage.started,cueImage.stopped,FixationDur,fixation.started,fixation.stopped,fixationResp.keys,fixationResp.started,fixationResp.stopped,feedbackDur,Trial counter,Target.started,Target.stopped,probeResp.keys,probeResp.corr,probeResp.started,probeResp.stopped,msg,TrackEarnings,TrialType,NonNeutralTrialsNum,probeDur,percentacc_total,meanrt,UserAcc,Acc,AdjTrial,AdjTrialInc,feedback_resp.keys,feedback_resp.rt,OverallRT,fixationResp.rt,probeResp.rt,AdjRTmsg,participant,prac_or_scan,run,date,expName,psychopyVersion,frameRate,
SmallPun,1500,0,41,41,41,,310.0155235909988,None,1500,312.04032751900377,None,None,312.04032751900377,None,1.6900000000000002,42,313.5822536190026,None,1,1,313.5822536190026,None,You did not lose $0.20!,15.0,5,34,0.30999999999999983,54.761904761904766,0.2619258872174491,[1],83.33333333333333,33,3,None,,0.2571794059986132,,0.2571794059986132,,003,Scanner,1,2019_Sep_07_1130,MID,3.1.5,60.175054770417404,
SmallReward,1500,0,42,42,42,,315.648818022004,None,1500,317.67406451800343,None,None,317.67406451800343,None,1.6900000000000002,43,319.2257987949997,None,1,1,319.2257987949997,None,You won $0.20!,15.2,2,35,0.30999999999999983,55.81395348837209,0.2617418855418994,"[1, 1]",83.33333333333333,33,3,None,,0.2575098470042576,,0.2575098470042576,,003,Scanner,1,2019_Sep_07_1130,MID,3.1.5,60.175054770417404,
SmallReward,1500,0,43,43,43,,321.2910689749988,None,1500,323.30811265200464,None,None,323.30811265200464,None,1.6900000000000002,44,324.85870018300193,None,1,1,324.85870018300193,None,You won $0.20!,15.399999999999999,2,36,0.25999999999999984,56.81818181818182,0.26130185012036233,[],100.0,36,3,None,,0.25074100000347244,,0.25074100000347244,Adjusting RT...,003,Scanner,1,2019_Sep_07_1130,MID,3.1.5,60.175054770417404,
LgReward,1500,0,44,44,44,,326.89242913100315,None,1500,328.9257646360056,None,None,328.9257646360056,None,1.7400000000000002,45,330.47721323500446,None,None,0,330.47721323500446,None,You did not win $5.00!,15.399999999999999,1,37,0.25999999999999984,55.55555555555556,0.26130185012036233,[0],100.0,36,3,1,-0.010224863995972555,0.2497751360040273,,,,003,Scanner,1,2019_Sep_07_1130,MID,3.1.5,60.175054770417404,
Triangle,1500,0,45,45,45,,332.53323067800375,None,1500,334.5594721900052,None,None,334.5594721900052,None,1.7400000000000002,46,336.0945123950005,None,None,0,336.0945123950005,None,You did not win or lose anything!,15.399999999999999,3,37,0.25999999999999984,54.347826086956516,0.26130185012036233,[0],100.0,36,3,None,,0.2497751360040273,,,,003,Scanner,1,2019_Sep_07_1130,MID,3.1.5,60.175054770417404,
SmallPun,1500,0,46,46,46,,338.1501565560029,None,1500,340.1771760970005,None,None,340.1771760970005,None,1.7400000000000002,47,341.71124973000406,None,None,0,341.71124973000406,None,You lost $0.20!,15.2,5,38,0.25999999999999984,53.191489361702125,0.26130185012036233,"[0, 0]",100.0,36,3,None,,0.2497751360040273,,,,003,Scanner,1,2019_Sep_07_1130,MID,3.1.5,60.175054770417404,
SmallPun,2500,0,47,47,47,,343.76728499399906,None,2500,345.794506475002,None,None,345.794506475002,None,1.7400000000000002,48,348.32831093600544,None,None,0,348.32831093600544,None,You lost $0.20!,15.0,5,39,0.27999999999999986,52.083333333333336,0.26130185012036233,[],50.0,39,3,None,,0.2497751360040273,,,Adjusting RT...,003,Scanner,1,2019_Sep_07_1130,MID,3.1.5,60.175054770417404,
Triangle,3000,0,48,48,48,,350.3678525300056,None,3000,352.39541922100034,None,None,352.39541922100034,None,1.7200000000000002,49,355.4289054129986,None,None,0,355.4289054129986,None,You did not win or lose anything!,15.0,3,39,0.27999999999999986,51.02040816326531,0.26130185012036233,[],50.0,39,3,None,,0.2497751360040273,,,,003,Scanner,1,2019_Sep_07_1130,MID,3.1.5,60.175054770417404,
SmallReward,2000,0,49,49,49,,357.4961909620033,None,2000,359.5128978940047,None,None,359.5128978940047,None,1.7200000000000002,50,361.5629090959992,None,1,1,361.5629090959992,None,You won $0.20!,15.2,2,40,0.27999999999999986,52.0,0.26107944503886615,[1],50.0,39,3,None,,0.2555193180014612,,0.2555193180014612,,003,Scanner,1,2019_Sep_07_1130,MID,3.1.5,60.175054770417404,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,003,Scanner,1,2019_Sep_07_1130,MID,3.1.5,60.175054770417404,
