Condition,FixationDur,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,TrialOrder,cueImage.started,cueImage.stopped,FixationDur,fixation.started,fixation.stopped,fixationResp.keys,fixationResp.started,fixationResp.stopped,feedbackDur,Trial counter,Target.started,Target.stopped,probeResp.keys,probeResp.corr,probeResp.started,probeResp.stopped,msg,TrackEarnings,TrialType,NonNeutralTrialsNum,probeDur,percentacc_total,meanrt,UserAcc,Acc,AdjTrial,AdjTrialInc,feedback_resp.keys,feedback_resp.rt,OverallRT,fixationResp.rt,probeResp.rt,AdjRTmsg,participant,prac_or_scan,run,date,expName,psychopyVersion,frameRate,
LgReward,4000,0,10,10,10,,102.3066890379996,None,4000,104.34097464097431,None,None,104.34097464097431,None,1.6,11,108.39034584996989,None,1,1,108.39034584996989,None,You won $5.00!,4.8,1,10,0.39999999999999986,63.63636363636363,0.32311058457707986,[1],66.66666666666666,9,3,None,,0.3200045640114695,,0.3200045640114695,,012,Scanner,2,2019_Sep_01_1126,MID,3.1.5,60.287164542348904,
LgReward,2500,0,11,11,11,,110.44028257299215,None,2500,112.47420455300016,None,None,112.47420455300016,None,1.6,12,115.02491731999908,None,None,0,115.02491731999908,None,You did not win $5.00!,4.8,1,11,0.39999999999999986,58.333333333333336,0.32311058457707986,"[1, 0]",66.66666666666666,9,3,1,0.00893104204442352,0.4089310420444234,,,,012,Scanner,2,2019_Sep_01_1126,MID,3.1.5,60.287164542348904,
Triangle,1500,0,12,12,12,,117.07963584701065,None,1500,119.10887734196149,None,None,119.10887734196149,None,1.6,13,120.6423191279755,None,1,1,120.6423191279755,None,You did not win or lose anything!,4.8,3,11,0.39999999999999986,61.53846153846154,0.32395952312799636,"[1, 0]",66.66666666666666,9,3,None,,0.32990209298441187,,0.32990209298441187,,012,Scanner,2,2019_Sep_01_1126,MID,3.1.5,60.287164542348904,
LgReward,1500,0,13,13,13,,122.6799006939982,None,1500,124.70934597100131,None,1,124.70934597100131,None,1.6,14,126.26385786797618,None,None,0,126.26385786797618,None,You did not win $5.00!,4.8,1,12,0.43999999999999984,57.14285714285714,0.32395952312799636,[],33.33333333333333,12,3,None,,0.32990209298441187,0.6918889649678022,,Adjusting RT...,012,Scanner,2,2019_Sep_01_1126,MID,3.1.5,60.287164542348904,
SmallReward,1500,0,14,14,14,,128.30985955201322,None,1500,130.3431311220047,None,None,130.3431311220047,None,1.56,15,131.8929250719957,None,None,0,131.8929250719957,None,You did not win $0.20!,4.8,2,13,0.43999999999999984,53.333333333333336,0.32395952312799636,[0],33.33333333333333,12,3,1,0.02538182499120012,0.46538182499119995,,,,012,Scanner,2,2019_Sep_01_1126,MID,3.1.5,60.287164542348904,
LgPun,1500,0,15,15,15,,133.93126461899374,None,1500,135.96080939698732,None,None,135.96080939698732,None,1.56,16,137.49372294300701,None,None,0,137.49372294300701,None,You lost $5.00!,-0.20000000000000018,4,14,0.43999999999999984,50.0,0.32395952312799636,"[0, 0]",33.33333333333333,12,3,1,0.050558254995848984,0.4905582549958488,,,,012,Scanner,2,2019_Sep_01_1126,MID,3.1.5,60.287164542348904,
SmallReward,2500,0,16,16,16,,139.54423533199588,None,2500,141.56191982200835,None,None,141.56191982200835,None,1.56,17,144.1118954080157,None,1,1,144.1118954080157,None,You won $0.20!,-1.6653345369377348e-16,2,15,0.4799999999999998,52.94117647058824,0.3230177625599835,[],33.33333333333333,15,3,None,,0.3154836780158803,,0.3154836780158803,Adjusting RT...,012,Scanner,2,2019_Sep_01_1126,MID,3.1.5,60.287164542348904,
SmallReward,3000,0,17,17,17,,146.16210040496662,None,3000,148.19552811299218,None,1,148.19552811299218,None,1.5200000000000002,18,151.2465096070082,None,None,0,151.2465096070082,None,You did not win $0.20!,-1.6653345369377348e-16,2,16,0.4799999999999998,50.0,0.3230177625599835,[0],33.33333333333333,15,3,None,,0.3154836780158803,1.9458351320354268,,,012,Scanner,2,2019_Sep_01_1126,MID,3.1.5,60.287164542348904,
Triangle,2000,0,18,18,18,,153.2791425579926,None,2000,155.31369697401533,None,None,155.31369697401533,None,1.5200000000000002,19,157.34668006398715,None,None,0,157.34668006398715,None,You did not win or lose anything!,-1.6653345369377348e-16,3,16,0.4799999999999998,47.368421052631575,0.3230177625599835,[0],33.33333333333333,15,3,1,-0.0032874189782887697,0.47671258102171105,,,,012,Scanner,2,2019_Sep_01_1126,MID,3.1.5,60.287164542348904,
SmallReward,3500,0,19,19,19,,159.41367530700518,None,3500,161.44780142296804,None,None,161.44780142296804,None,1.5200000000000002,20,164.9976748090121,None,1,1,164.9976748090121,None,You won $0.20!,0.19999999999999984,2,17,0.4799999999999998,50.0,0.319590067100944,"[0, 1]",33.33333333333333,15,3,None,,0.2887408079695888,,0.2887408079695888,,012,Scanner,2,2019_Sep_01_1126,MID,3.1.5,60.287164542348904,
LgPun,2000,0,20,20,20,,167.0329146599979,None,2000,169.06553461099975,None,None,169.06553461099975,None,1.5200000000000002,21,171.09826442296617,None,None,0,171.09826442296617,None,You lost $5.00!,-4.8,4,18,0.5,47.61904761904761,0.319590067100944,[],33.33333333333333,18,3,1,0.5426295999786817,1.0426295999786817,,,Adjusting RT...,012,Scanner,2,2019_Sep_01_1126,MID,3.1.5,60.287164542348904,
LgReward,3000,0,21,21,21,,173.1489072929835,None,3000,175.1832542149932,None,1,175.1832542149932,None,1.5,22,178.2354462390067,None,None,0,178.2354462390067,None,You did not win $5.00!,-4.8,1,19,0.5,45.45454545454545,0.319590067100944,[0],33.33333333333333,18,3,None,,1.0426295999786817,2.098998167028185,,,012,Scanner,2,2019_Sep_01_1126,MID,3.1.5,60.287164542348904,
LgReward,2000,0,22,22,22,,180.28303042100742,None,2000,182.31661735498346,None,None,182.31661735498346,None,1.5,23,184.36694630398415,None,None,0,184.36694630398415,None,You did not win $5.00!,-4.8,1,20,0.5,43.47826086956522,0.319590067100944,"[0, 0]",33.33333333333333,18,3,None,,1.0426295999786817,,,,012,Scanner,2,2019_Sep_01_1126,MID,3.1.5,60.287164542348904,
Triangle,3000,0,23,23,23,,186.40109320898773,None,3000,188.43475787498755,None,None,188.43475787498755,None,1.5,24,191.46859297400806,None,1,1,191.46859297400806,None,You did not win or lose anything!,-4.8,3,20,0.5,45.83333333333333,0.32006041618296877,"[0, 0]",33.33333333333333,18,3,None,,0.32476390700321645,,0.32476390700321645,,012,Scanner,2,2019_Sep_01_1126,MID,3.1.5,60.287164542348904,
LgPun,2500,0,24,24,24,,193.50115120399278,None,2500,195.5355956829735,None,None,195.5355956829735,None,1.5,25,198.06848150596488,None,1,1,198.06848150596488,None,You did not lose $5.00!,-4.8,4,21,0.5,48.0,0.32686901641621563,[],33.33333333333333,21,3,None,,0.40176361898193136,,0.40176361898193136,Adjusting RT...,012,Scanner,2,2019_Sep_01_1126,MID,3.1.5,60.287164542348904,
SmallReward,1500,0,25,25,25,,200.1184450960136,None,1500,202.15204188699136,None,None,202.15204188699136,None,1.5,26,203.70240924996324,None,1,1,203.70240924996324,None,You won $0.20!,-4.6,2,22,0.5,50.0,0.3014696592312808,[1],33.33333333333333,21,3,None,,-0.003322626987937838,,-0.003322626987937838,,012,Scanner,2,2019_Sep_01_1126,MID,3.1.5,60.287164542348904,
Triangle,4000,0,26,26,26,,205.73566911998205,None,4000,207.7692748659756,None,None,207.7692748659756,None,1.5,27,211.8033575550071,None,1,1,211.8033575550071,None,You did not win or lose anything!,-4.6,3,22,0.5,51.85185185185185,0.31264985171479304,[1],33.33333333333333,21,3,None,,0.4579923540004529,,0.4579923540004529,,012,Scanner,2,2019_Sep_01_1126,MID,3.1.5,60.287164542348904,
SmallPun,2000,0,27,27,27,,213.835221960966,None,2000,215.87003457499668,None,None,215.87003457499668,None,1.5,28,217.9025664019864,None,None,0,217.9025664019864,None,You lost $0.20!,-4.8,5,23,0.5,50.0,0.31264985171479304,"[1, 0]",33.33333333333333,21,3,1,-0.008148327004164457,0.49185167299583554,,,,012,Scanner,2,2019_Sep_01_1126,MID,3.1.5,60.287164542348904,
Triangle,1500,0,28,28,28,,219.93625333800446,None,1500,221.97106109099695,None,None,221.97106109099695,None,1.5,29,223.50303837197134,None,None,0,223.50303837197134,None,You did not win or lose anything!,-4.8,3,23,0.5,48.275862068965516,0.31264985171479304,"[1, 0]",33.33333333333333,21,3,None,,0.49185167299583554,,,,012,Scanner,2,2019_Sep_01_1126,MID,3.1.5,60.287164542348904,
SmallPun,3500,0,29,29,29,,225.53664316801587,None,3500,227.57062285096617,None,None,227.57062285096617,None,1.5,30,231.10335529997246,None,1,1,231.10335529997246,None,You did not lose $0.20!,-4.8,5,24,0.5,50.0,0.31626832426991314,[],49.99999999999999,24,3,None,,0.3669269400415942,,0.3669269400415942,Adjusting RT...,012,Scanner,2,2019_Sep_01_1126,MID,3.1.5,60.287164542348904,
Triangle,2000,0,30,30,30,,233.13736971997423,None,2000,235.17116965795867,None,None,235.17116965795867,None,1.5,31,237.20403206400806,None,1,1,237.20403206400806,None,You did not win or lose anything!,-4.8,3,24,0.5,51.61290322580645,0.32014810937835136,[],49.99999999999999,24,3,None,,0.3783448860049248,,0.3783448860049248,,012,Scanner,2,2019_Sep_01_1126,MID,3.1.5,60.287164542348904,
SmallPun,1500,0,31,31,31,,239.2379150110064,None,1500,241.2720260139904,None,None,241.2720260139904,None,1.5,32,242.80529533000663,None,None,0,242.80529533000663,None,You lost $0.20!,-5.0,5,25,0.5,50.0,0.32014810937835136,[0],49.99999999999999,24,3,None,,0.3783448860049248,,,,012,Scanner,2,2019_Sep_01_1126,MID,3.1.5,60.287164542348904,
Triangle,3500,0,32,32,32,,244.8382455179817,None,3500,246.87256506300764,None,None,246.87256506300764,None,1.5,33,250.4054972800077,None,None,0,250.4054972800077,None,You did not win or lose anything!,-5.0,3,25,0.5,48.484848484848484,0.32014810937835136,[0],49.99999999999999,24,3,2,0.003808448964264244,0.5038084489642642,,,,012,Scanner,2,2019_Sep_01_1126,MID,3.1.5,60.287164542348904,
LgReward,3500,0,33,33,33,,252.45519977697404,None,3500,254.48951066099107,None,None,254.48951066099107,None,1.5,34,258.039496220008,None,None,0,258.039496220008,None,You did not win $5.00!,-5.0,1,26,0.5,47.05882352941176,0.32014810937835136,"[0, 0]",49.99999999999999,24,3,1,0.002883290988393128,0.5028832909883931,,,,012,Scanner,2,2019_Sep_01_1126,MID,3.1.5,60.287164542348904,
SmallReward,2000,0,34,34,34,,260.08932810096303,None,2000,262.12360024498776,None,None,262.12360024498776,None,1.5,35,264.1724566000048,None,1,1,264.1724566000048,None,You won $0.20!,-4.8,2,27,0.5,48.57142857142857,0.32148554882459235,[],49.99999999999999,27,3,None,,0.34288457996444777,,0.34288457996444777,Adjusting RT...,012,Scanner,2,2019_Sep_01_1126,MID,3.1.5,60.287164542348904,
Triangle,1500,0,35,35,35,,266.2067424959969,None,1500,268.2405779659748,None,None,268.2405779659748,None,1.5,36,269.7730448039947,None,1,1,269.7730448039947,None,You did not win or lose anything!,-4.8,3,27,0.5,50.0,0.32631013822457233,[],49.99999999999999,27,3,None,,0.40832815802423283,,0.40832815802423283,,012,Scanner,2,2019_Sep_01_1126,MID,3.1.5,60.287164542348904,
LgPun,2000,0,36,36,36,,271.8063945979811,None,2000,273.84025496797403,None,None,273.84025496797403,None,1.5,37,275.8735254229978,None,1,1,275.8735254229978,None,You did not lose $5.00!,-4.8,4,28,0.5,51.35135135135135,0.3249110651576254,[1],49.99999999999999,27,3,None,,0.2997277499525808,,0.2997277499525808,,012,Scanner,2,2019_Sep_01_1126,MID,3.1.5,60.287164542348904,
LgReward,1500,0,37,37,37,,277.92371980898315,None,1500,279.95790774101624,None,None,279.95790774101624,None,1.5,38,281.5076056479593,None,None,0,281.5076056479593,None,You did not win $5.00!,-4.8,1,29,0.5,50.0,0.3249110651576254,"[1, 0]",49.99999999999999,27,3,1,0.016024739015847445,0.5160247390158474,,,,012,Scanner,2,2019_Sep_01_1126,MID,3.1.5,60.287164542348904,
LgPun,1500,0,38,38,38,,283.54074457200477,None,1500,285.57441923499573,None,None,285.57441923499573,None,1.5,39,287.1082012639963,None,1,1,287.1082012639963,None,You did not lose $5.00!,-4.8,4,30,0.5,51.28205128205128,0.32276789140014445,[],49.99999999999999,30,3,None,,0.2820475900080055,,0.2820475900080055,Adjusting RT...,012,Scanner,2,2019_Sep_01_1126,MID,3.1.5,60.287164542348904,
Triangle,1500,0,39,39,39,,289.14126730698626,None,1500,291.1644403889659,None,None,291.1644403889659,None,1.5,40,292.70872977597173,None,None,0,292.70872977597173,None,You did not win or lose anything!,-4.8,3,30,0.5,50.0,0.32276789140014445,[],49.99999999999999,30,3,1,-0.005163415975403041,0.49483658402459696,,,,012,Scanner,2,2019_Sep_01_1126,MID,3.1.5,60.287164542348904,
LgReward,2000,0,40,40,40,,294.78040070296265,None,2000,296.798697974009,None,None,296.798697974009,None,1.5,41,298.84996928600594,None,1,1,298.84996928600594,None,You won $5.00!,0.20000000000000018,1,31,0.5,51.21951219512195,0.32965588609554936,[1],49.99999999999999,30,3,None,,0.46741578000364825,,0.46741578000364825,,012,Scanner,2,2019_Sep_01_1126,MID,3.1.5,60.287164542348904,
LgPun,1500,0,41,41,41,,300.89194466598565,None,1500,302.9165431269794,None,None,302.9165431269794,None,1.5,42,304.4593021849869,None,None,0,304.4593021849869,None,You lost $5.00!,-4.8,4,32,0.5,50.0,0.32965588609554936,"[1, 0]",49.99999999999999,30,3,1,0.08907979098148644,0.5890797909814864,,,,012,Scanner,2,2019_Sep_01_1126,MID,3.1.5,60.287164542348904,
SmallReward,1500,0,42,42,42,,306.50897200399777,None,1500,308.53386297798716,None,1,308.53386297798716,None,1.5,43,310.08474656398175,None,None,0,310.08474656398175,None,You did not win $0.20!,-4.8,2,33,0.5,48.837209302325576,0.32965588609554936,[],49.99999999999999,33,3,None,,0.5890797909814864,0.469525963999331,,Adjusting RT...,012,Scanner,2,2019_Sep_01_1126,MID,3.1.5,60.287164542348904,
SmallPun,1500,0,43,43,43,,312.12605795497075,None,1500,314.1505093409796,None,None,314.1505093409796,None,1.5,44,315.6930841989815,None,None,0,315.6930841989815,None,You lost $0.20!,-5.0,5,34,0.5,47.72727272727273,0.32965588609554936,[0],49.99999999999999,33,3,1,0.4562232439639047,0.9562232439639047,,,,012,Scanner,2,2019_Sep_01_1126,MID,3.1.5,60.287164542348904,
SmallPun,2500,0,44,44,44,,317.7265986879938,None,2500,319.7602164489799,None,None,319.7602164489799,None,1.5,45,322.2938833310036,None,1,1,322.2938833310036,None,You did not lose $0.20!,-5.0,5,35,0.5,48.888888888888886,0.3301482735921375,"[0, 1]",49.99999999999999,33,3,None,,0.34048841102048755,,0.34048841102048755,,012,Scanner,2,2019_Sep_01_1126,MID,3.1.5,60.287164542348904,
LgPun,1500,0,45,45,45,,324.32574005797505,None,1500,326.3529618859757,None,None,326.3529618859757,None,1.5,46,327.8940916690044,None,1,1,327.8940916690044,None,You did not lose $5.00!,-5.0,4,36,0.5,50.0,0.32919632195768395,[],49.99999999999999,36,3,None,,0.30825338599970564,,0.30825338599970564,Adjusting RT...,012,Scanner,2,2019_Sep_01_1126,MID,3.1.5,60.287164542348904,
LgReward,1500,0,46,46,46,,329.93637696496444,None,1500,331.9700883270125,None,None,331.9700883270125,None,1.5,47,333.51941299496684,None,None,0,333.51941299496684,None,You did not win $5.00!,-5.0,1,37,0.5,48.93617021276596,0.32919632195768395,[0],49.99999999999999,36,3,None,,0.30825338599970564,,,,012,Scanner,2,2019_Sep_01_1126,MID,3.1.5,60.287164542348904,
SmallReward,1500,0,47,47,47,,335.57755879696924,None,1500,337.6035473229713,None,1,337.6035473229713,None,1.5,48,339.1543838719954,None,None,0,339.1543838719954,None,You did not win $0.20!,-5.0,2,38,0.5,47.91666666666667,0.32919632195768395,"[0, 0]",49.99999999999999,36,3,None,,0.30825338599970564,0.3458367320126854,,,012,Scanner,2,2019_Sep_01_1126,MID,3.1.5,60.287164542348904,
SmallPun,2000,0,48,48,48,,341.1941379029886,None,2000,343.22138086199993,None,None,343.22138086199993,None,1.5,49,345.26187216397375,None,None,0,345.26187216397375,None,You lost $0.20!,-5.2,5,39,0.5,46.93877551020408,0.32919632195768395,[],33.33333333333333,39,3,1,0.529926493007224,1.029926493007224,,,Adjusting RT...,012,Scanner,2,2019_Sep_01_1126,MID,3.1.5,60.287164542348904,
LgPun,4000,0,49,49,49,,347.2950145700015,None,4000,349.32159737998154,None,None,349.32159737998154,None,1.5,50,353.3559907739982,None,None,0,353.3559907739982,None,You lost $5.00!,-10.2,4,40,0.5,46.0,0.32919632195768395,[0],33.33333333333333,39,3,None,,1.029926493007224,,,,012,Scanner,2,2019_Sep_01_1126,MID,3.1.5,60.287164542348904,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,012,Scanner,2,2019_Sep_01_1126,MID,3.1.5,60.287164542348904,
