Condition,FixationDur,run.thisRepN,run.thisTrialN,run.thisN,run.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,FixationDur,fixationResp.keys,feedbackDur,rt_list,Trial counter,probeResp.keys,probeResp.corr,msg,TrackEarnings,TrialType,NonNeutralTrialsNum,probeDur,percentacc_total,meanrt,UserAcc,Acc,AdjTrial,AdjTrialInc,probeResp.rt,AdjRTmsg,fixationResp.rt,participant,session,practiceRT,trial Order,date,expName,psychopyVersion,frameRate,
Triangle,2000,0,0,0,0,0,31,31,31,2000,None,1.6,"[0.26975015500283916, 0.23704319099852, 0.25380520300313947, 0.41962038099882193, 0.3656553850014461, 0.21942822100027115, 0.27066414699947927, 0.25324985300176195, 0.4008643579982163, 0.2361858949989255, 0.28738050299944007, 0.4374023500022304, 0.28618213799927616, 0.30272298799900454, 0.2542487499995332, 0.23634471600234974, 0.2532307219989889, 0.2700443150024512, 0.40234994899947196, 0.25390920900099445, 0.35334073299964075]",32,None,0,You did not win or lose anything!,5.6,3,25,0.3999999999999999,65.625,0.2982582458098477,[0],83.33333333333333,24,3,,,,0001,001,.5,1,2019_Aug_05_1938,MID,3.0.7,60.13952080113049,
LgPun,1500,0,0,0,0,0,32,32,32,1500,None,1.6,"[0.26975015500283916, 0.23704319099852, 0.25380520300313947, 0.41962038099882193, 0.3656553850014461, 0.21942822100027115, 0.27066414699947927, 0.25324985300176195, 0.4008643579982163, 0.2361858949989255, 0.28738050299944007, 0.4374023500022304, 0.28618213799927616, 0.30272298799900454, 0.2542487499995332, 0.23634471600234974, 0.2532307219989889, 0.2700443150024512, 0.40234994899947196, 0.25390920900099445, 0.35334073299964075, 0.33249959299791954]",33,space,1,You did not lose $5.00!,5.6,4,26,0.3999999999999999,66.66666666666666,0.2998146706820328,"[0, 1]",83.33333333333333,24,3,0.33249959299791954,,,0001,001,.5,1,2019_Aug_05_1938,MID,3.0.7,60.13952080113049,
Triangle,3500,0,0,0,0,0,33,33,33,3500,None,1.6,"[0.26975015500283916, 0.23704319099852, 0.25380520300313947, 0.41962038099882193, 0.3656553850014461, 0.21942822100027115, 0.27066414699947927, 0.25324985300176195, 0.4008643579982163, 0.2361858949989255, 0.28738050299944007, 0.4374023500022304, 0.28618213799927616, 0.30272298799900454, 0.2542487499995332, 0.23634471600234974, 0.2532307219989889, 0.2700443150024512, 0.40234994899947196, 0.25390920900099445, 0.35334073299964075, 0.33249959299791954, 0.253241242000513]",34,space,1,You did not win or lose anything!,5.6,3,26,0.3999999999999999,67.64705882352942,0.2977897390002276,"[0, 1]",83.33333333333333,24,3,0.253241242000513,,,0001,001,.5,1,2019_Aug_05_1938,MID,3.0.7,60.13952080113049,
LgPun,1500,0,0,0,0,0,34,34,34,1500,None,1.6,"[0.26975015500283916, 0.23704319099852, 0.25380520300313947, 0.41962038099882193, 0.3656553850014461, 0.21942822100027115, 0.27066414699947927, 0.25324985300176195, 0.4008643579982163, 0.2361858949989255, 0.28738050299944007, 0.4374023500022304, 0.28618213799927616, 0.30272298799900454, 0.2542487499995332, 0.23634471600234974, 0.2532307219989889, 0.2700443150024512, 0.40234994899947196, 0.25390920900099445, 0.35334073299964075, 0.33249959299791954, 0.253241242000513]",35,None,0,You lost $5.00!,0.5999999999999996,4,27,0.41999999999999993,65.71428571428571,0.2977897390002276,[],49.99999999999999,27,3,,Adjusting RT...,,0001,001,.5,1,2019_Aug_05_1938,MID,3.0.7,60.13952080113049,
Triangle,1500,0,0,0,0,0,35,35,35,1500,None,1.58,"[0.26975015500283916, 0.23704319099852, 0.25380520300313947, 0.41962038099882193, 0.3656553850014461, 0.21942822100027115, 0.27066414699947927, 0.25324985300176195, 0.4008643579982163, 0.2361858949989255, 0.28738050299944007, 0.4374023500022304, 0.28618213799927616, 0.30272298799900454, 0.2542487499995332, 0.23634471600234974, 0.2532307219989889, 0.2700443150024512, 0.40234994899947196, 0.25390920900099445, 0.35334073299964075, 0.33249959299791954, 0.253241242000513, 0.2867274099990027]",36,space,1,You did not win or lose anything!,0.5999999999999996,3,27,0.41999999999999993,66.66666666666666,0.2973288086251766,[],49.99999999999999,27,3,0.2867274099990027,,,0001,001,.5,1,2019_Aug_05_1938,MID,3.0.7,60.13952080113049,
SmallPun,1500,0,0,0,0,0,36,36,36,1500,None,1.58,"[0.26975015500283916, 0.23704319099852, 0.25380520300313947, 0.41962038099882193, 0.3656553850014461, 0.21942822100027115, 0.27066414699947927, 0.25324985300176195, 0.4008643579982163, 0.2361858949989255, 0.28738050299944007, 0.4374023500022304, 0.28618213799927616, 0.30272298799900454, 0.2542487499995332, 0.23634471600234974, 0.2532307219989889, 0.2700443150024512, 0.40234994899947196, 0.25390920900099445, 0.35334073299964075, 0.33249959299791954, 0.253241242000513, 0.2867274099990027]",37,None,0,You lost $0.20!,0.39999999999999963,5,28,0.41999999999999993,64.86486486486487,0.2973288086251766,[0],49.99999999999999,27,3,,,,0001,001,.5,1,2019_Aug_05_1938,MID,3.0.7,60.13952080113049,
LgReward,1500,0,0,0,0,0,37,37,37,1500,None,1.58,"[0.26975015500283916, 0.23704319099852, 0.25380520300313947, 0.41962038099882193, 0.3656553850014461, 0.21942822100027115, 0.27066414699947927, 0.25324985300176195, 0.4008643579982163, 0.2361858949989255, 0.28738050299944007, 0.4374023500022304, 0.28618213799927616, 0.30272298799900454, 0.2542487499995332, 0.23634471600234974, 0.2532307219989889, 0.2700443150024512, 0.40234994899947196, 0.25390920900099445, 0.35334073299964075, 0.33249959299791954, 0.253241242000513, 0.2867274099990027]",38,None,0,You did not win $5.00!,0.39999999999999963,1,29,0.41999999999999993,63.1578947368421,0.2973288086251766,"[0, 0]",49.99999999999999,27,3,,,,0001,001,.5,1,2019_Aug_05_1938,MID,3.0.7,60.13952080113049,
Triangle,1500,0,0,0,0,0,38,38,38,1500,None,1.58,"[0.26975015500283916, 0.23704319099852, 0.25380520300313947, 0.41962038099882193, 0.3656553850014461, 0.21942822100027115, 0.27066414699947927, 0.25324985300176195, 0.4008643579982163, 0.2361858949989255, 0.28738050299944007, 0.4374023500022304, 0.28618213799927616, 0.30272298799900454, 0.2542487499995332, 0.23634471600234974, 0.2532307219989889, 0.2700443150024512, 0.40234994899947196, 0.25390920900099445, 0.35334073299964075, 0.33249959299791954, 0.253241242000513, 0.2867274099990027, 0.30306939799993415]",39,space,1,You did not win or lose anything!,0.39999999999999963,3,29,0.41999999999999993,64.1025641025641,0.29755843220016687,"[0, 0]",49.99999999999999,27,3,0.30306939799993415,,,0001,001,.5,1,2019_Aug_05_1938,MID,3.0.7,60.13952080113049,
LgReward,2000,0,0,0,0,0,39,39,39,2000,None,1.58,"[0.26975015500283916, 0.23704319099852, 0.25380520300313947, 0.41962038099882193, 0.3656553850014461, 0.21942822100027115, 0.27066414699947927, 0.25324985300176195, 0.4008643579982163, 0.2361858949989255, 0.28738050299944007, 0.4374023500022304, 0.28618213799927616, 0.30272298799900454, 0.2542487499995332, 0.23634471600234974, 0.2532307219989889, 0.2700443150024512, 0.40234994899947196, 0.25390920900099445, 0.35334073299964075, 0.33249959299791954, 0.253241242000513, 0.2867274099990027, 0.30306939799993415, 0.2889739840029506]",40,space,1,You won $5.00!,5.3999999999999995,1,30,0.4599999999999999,65.0,0.29722826111565853,[],33.33333333333333,30,3,0.2889739840029506,Adjusting RT...,,0001,001,.5,1,2019_Aug_05_1938,MID,3.0.7,60.13952080113049,
LgPun,2500,0,0,0,0,0,40,40,40,2500,None,1.54,"[0.26975015500283916, 0.23704319099852, 0.25380520300313947, 0.41962038099882193, 0.3656553850014461, 0.21942822100027115, 0.27066414699947927, 0.25324985300176195, 0.4008643579982163, 0.2361858949989255, 0.28738050299944007, 0.4374023500022304, 0.28618213799927616, 0.30272298799900454, 0.2542487499995332, 0.23634471600234974, 0.2532307219989889, 0.2700443150024512, 0.40234994899947196, 0.25390920900099445, 0.35334073299964075, 0.33249959299791954, 0.253241242000513, 0.2867274099990027, 0.30306939799993415, 0.2889739840029506, 0.37125682899932144]",41,space,1,You did not lose $5.00!,5.3999999999999995,4,31,0.4599999999999999,65.85365853658537,0.2999700599261646,[1],33.33333333333333,30,3,0.37125682899932144,,,0001,001,.5,1,2019_Aug_05_1938,MID,3.0.7,60.13952080113049,
LgReward,3000,0,0,0,0,0,41,41,41,3000,None,1.54,"[0.26975015500283916, 0.23704319099852, 0.25380520300313947, 0.41962038099882193, 0.3656553850014461, 0.21942822100027115, 0.27066414699947927, 0.25324985300176195, 0.4008643579982163, 0.2361858949989255, 0.28738050299944007, 0.4374023500022304, 0.28618213799927616, 0.30272298799900454, 0.2542487499995332, 0.23634471600234974, 0.2532307219989889, 0.2700443150024512, 0.40234994899947196, 0.25390920900099445, 0.35334073299964075, 0.33249959299791954, 0.253241242000513, 0.2867274099990027, 0.30306939799993415, 0.2889739840029506, 0.37125682899932144, 0.23746390900123515]",42,space,1,You won $5.00!,10.399999999999999,1,32,0.4599999999999999,66.66666666666666,0.2977376973931314,"[1, 1]",33.33333333333333,30,3,0.23746390900123515,,,0001,001,.5,1,2019_Aug_05_1938,MID,3.0.7,60.13952080113049,
LgPun,1500,0,0,0,0,0,42,42,42,1500,None,1.54,"[0.26975015500283916, 0.23704319099852, 0.25380520300313947, 0.41962038099882193, 0.3656553850014461, 0.21942822100027115, 0.27066414699947927, 0.25324985300176195, 0.4008643579982163, 0.2361858949989255, 0.28738050299944007, 0.4374023500022304, 0.28618213799927616, 0.30272298799900454, 0.2542487499995332, 0.23634471600234974, 0.2532307219989889, 0.2700443150024512, 0.40234994899947196, 0.25390920900099445, 0.35334073299964075, 0.33249959299791954, 0.253241242000513, 0.2867274099990027, 0.30306939799993415, 0.2889739840029506, 0.37125682899932144, 0.23746390900123515, 0.35236056099893176]",43,space,1,You did not lose $5.00!,10.399999999999999,4,33,0.4399999999999999,67.44186046511628,0.29962124441402105,[],66.66666666666666,33,3,0.35236056099893176,Adjusting RT...,,0001,001,.5,1,2019_Aug_05_1938,MID,3.0.7,60.13952080113049,
LgReward,1500,0,0,0,0,0,43,43,43,1500,None,1.56,"[0.26975015500283916, 0.23704319099852, 0.25380520300313947, 0.41962038099882193, 0.3656553850014461, 0.21942822100027115, 0.27066414699947927, 0.25324985300176195, 0.4008643579982163, 0.2361858949989255, 0.28738050299944007, 0.4374023500022304, 0.28618213799927616, 0.30272298799900454, 0.2542487499995332, 0.23634471600234974, 0.2532307219989889, 0.2700443150024512, 0.40234994899947196, 0.25390920900099445, 0.35334073299964075, 0.33249959299791954, 0.253241242000513, 0.2867274099990027, 0.30306939799993415, 0.2889739840029506, 0.37125682899932144, 0.23746390900123515, 0.35236056099893176, 0.287215477997961]",44,space,1,You won $5.00!,15.399999999999999,1,34,0.4399999999999999,68.18181818181817,0.2992077188668191,[1],66.66666666666666,33,3,0.287215477997961,,,0001,001,.5,1,2019_Aug_05_1938,MID,3.0.7,60.13952080113049,
