Condition,FixationDur,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,TrialOrder,cueImage.started,cueImage.stopped,FixationDur,fixation.started,fixation.stopped,fixationResp.keys,fixationResp.started,fixationResp.stopped,feedbackDur,Trial counter,Target.started,Target.stopped,probeResp.keys,probeResp.corr,probeResp.started,probeResp.stopped,msg,TrackEarnings,TrialType,NonNeutralTrialsNum,probeDur,percentacc_total,meanrt,UserAcc,Acc,AdjTrial,AdjTrialInc,feedback_resp.keys,feedback_resp.rt,OverallRT,probeResp.rt,AdjRTmsg,fixationResp.rt,participant,prac_or_scan,run,date,expName,psychopyVersion,frameRate,
Triangle,1500,0,24,24,24,,183.471343842044,None,1500,185.4994548090035,None,None,185.4994548090035,None,1.6800000000000002,25,187.03423574601766,None,None,0,187.03423574601766,None,You did not win or lose anything!,10.0,3,19,0.31999999999999995,56.00000000000001,0.24319081707341997,[1],49.99999999999999,18,3,1,0.09520304499892518,0.41520304499892513,,,,019,Scanner,2,2019_Aug_31_1513,MID,3.1.5,59.81797044079377,
Triangle,2000,0,25,25,25,,189.0716553000384,None,2000,191.10044106299756,None,None,191.10044106299756,None,1.6800000000000002,26,193.132837733021,None,None,0,193.132837733021,None,You did not win or lose anything!,10.0,3,19,0.31999999999999995,53.84615384615385,0.24319081707341997,[1],49.99999999999999,18,3,None,,0.41520304499892513,,,,019,Scanner,2,2019_Aug_31_1513,MID,3.1.5,59.81797044079377,
LgReward,4000,0,26,26,26,,195.18359441001667,None,4000,197.2176987400162,None,None,197.2176987400162,None,1.6800000000000002,27,201.26744507899275,None,1,1,201.26744507899275,None,You won $5.00!,15.0,1,20,0.31999999999999995,55.55555555555556,0.24496262106889238,"[1, 1]",49.99999999999999,18,3,1,-0.0036021609557792544,0.2697678770055063,0.2697678770055063,,,019,Scanner,2,2019_Aug_31_1513,MID,3.1.5,59.81797044079377,
Triangle,2500,0,27,27,27,,203.30633954703808,None,2500,205.33506894099992,None,None,205.33506894099992,None,1.6800000000000002,28,207.86830876598833,None,1,1,207.86830876598833,None,You did not win or lose anything!,15.0,3,20,0.31999999999999995,57.14285714285714,0.24702440843975637,"[1, 1]",49.99999999999999,18,3,None,,0.27795121900271624,0.27795121900271624,,,019,Scanner,2,2019_Aug_31_1513,MID,3.1.5,59.81797044079377,
SmallPun,2500,0,28,28,28,,209.90614413801813,None,2500,211.9359867000021,None,None,211.9359867000021,None,1.6800000000000002,29,214.46958269900642,None,1,1,214.46958269900642,None,You did not lose $0.20!,15.0,5,21,0.29999999999999993,58.620689655172406,0.2461153748274014,[],66.66666666666666,21,3,None,,0.2315708370297216,0.2315708370297216,Adjusting RT...,,019,Scanner,2,2019_Aug_31_1513,MID,3.1.5,59.81797044079377,
SmallReward,2000,0,29,29,29,,216.53598062199308,None,2000,218.57076667802176,None,None,218.57076667802176,None,1.7000000000000002,30,220.619910353038,None,1,1,220.619910353038,None,You won $0.20!,15.2,2,22,0.29999999999999993,60.0,0.24485117628096809,[1],66.66666666666666,21,3,None,,0.22335980099160224,0.22335980099160224,,,019,Scanner,2,2019_Aug_31_1513,MID,3.1.5,59.81797044079377,
LgReward,2000,0,30,30,30,,222.67080988403177,None,2000,224.68778183101676,None,None,224.68778183101676,None,1.7000000000000002,31,226.73780885903398,None,1,1,226.73780885903398,None,You won $5.00!,20.2,1,23,0.29999999999999993,61.29032258064516,0.24362065042307796,"[1, 1]",66.66666666666666,21,3,None,,0.22147118498105556,0.22147118498105556,,,019,Scanner,2,2019_Aug_31_1513,MID,3.1.5,59.81797044079377,
SmallPun,2000,0,31,31,31,,228.77438569802325,None,2000,230.80474070599303,None,None,230.80474070599303,None,1.7000000000000002,32,232.83846734499093,None,None,0,232.83846734499093,None,You lost $0.20!,20.0,5,24,0.2699999999999999,59.375,0.24362065042307796,[],83.33333333333333,24,3,1,0.052496825985144824,0.32249682598514473,,Adjusting RT...,,019,Scanner,2,2019_Aug_31_1513,MID,3.1.5,59.81797044079377,
SmallPun,1500,0,32,32,32,,234.8743355179904,None,1500,236.90626197401434,None,None,236.90626197401434,None,1.73,33,238.43878234899603,None,None,0,238.43878234899603,None,You lost $0.20!,19.8,5,25,0.2699999999999999,57.57575757575758,0.24362065042307796,[0],83.33333333333333,24,3,1,0.12946176395053044,0.39946176395053035,,,,019,Scanner,2,2019_Aug_31_1513,MID,3.1.5,59.81797044079377,
SmallReward,1500,0,33,33,33,,240.4888594270451,None,1500,242.5233670489979,None,None,242.5233670489979,None,1.73,34,244.07272346602986,None,None,0,244.07272346602986,None,You did not win $0.20!,19.8,2,26,0.2699999999999999,55.88235294117647,0.24362065042307796,"[0, 0]",83.33333333333333,24,3,1,0.005104693991597742,0.27510469399159765,,,,019,Scanner,2,2019_Aug_31_1513,MID,3.1.5,59.81797044079377,
SmallReward,1500,0,34,34,34,,246.12313922599424,None,1500,248.1574090300128,None,None,248.1574090300128,None,1.73,35,249.70724327402422,None,1,1,249.70724327402422,None,You won $0.20!,20.0,2,27,0.2899999999999999,57.14285714285714,0.2427399856998818,[],49.99999999999999,27,3,None,,0.22600735595915467,0.22600735595915467,Adjusting RT...,,019,Scanner,2,2019_Aug_31_1513,MID,3.1.5,59.81797044079377,
LgPun,1500,0,35,35,35,,251.74205868900754,None,1500,253.77513573202305,None,None,253.77513573202305,None,1.71,36,255.30786112701753,None,None,0,255.30786112701753,None,You lost $5.00!,15.0,4,28,0.2899999999999999,55.55555555555556,0.2427399856998818,[0],49.99999999999999,27,3,None,,0.22600735595915467,,,,019,Scanner,2,2019_Aug_31_1513,MID,3.1.5,59.81797044079377,
SmallReward,4000,0,36,36,36,,257.3581230349955,None,4000,259.3920756120351,None,None,259.3920756120351,None,1.71,37,263.44230677501764,None,1,1,263.44230677501764,None,You won $0.20!,15.2,2,29,0.2899999999999999,56.75675675675676,0.23164223428604946,"[0, 1]",49.99999999999999,27,3,1,0.17136932502035052,0.009687206009402871,0.009687206009402871,,,019,Scanner,2,2019_Aug_31_1513,MID,3.1.5,59.81797044079377,
SmallPun,1500,0,37,37,37,,265.4766898510279,None,1500,267.51029658399057,None,None,267.51029658399057,None,1.71,38,269.0433788060327,None,None,0,269.0433788060327,None,You lost $0.20!,15.0,5,30,0.3299999999999999,55.26315789473685,0.23164223428604946,[],33.33333333333333,30,3,None,,0.009687206009402871,,Adjusting RT...,,019,Scanner,2,2019_Aug_31_1513,MID,3.1.5,59.81797044079377,
