Condition,FixationDur,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,TrialOrder,cueImage.started,cueImage.stopped,FixationDur,fixation.started,fixation.stopped,fixationResp.keys,fixationResp.started,fixationResp.stopped,feedbackDur,Trial counter,Target.started,Target.stopped,probeResp.keys,probeResp.corr,probeResp.rt,probeResp.started,probeResp.stopped,msg,TrackEarnings,TrialType,NonNeutralTrialsNum,probeDur,percentacc_total,meanrt,UserAcc,Acc,AdjTrial,AdjTrialInc,feedback_resp.keys,OverallRT,feedback_resp.rt,AdjRTmsg,fixationResp.rt,participant,prac_or_scan,run,date,expName,psychopyVersion,frameRate,
SmallPun,1500,0,10,10,10,,99.43189128197264,None,1500,101.45851049997145,None,None,101.45851049997145,None,1.6600000000000001,11,102.99304500594735,None,1,1,0.2651943590026349,102.99304500594735,None,You did not lose $0.20!,-4.6,5,9,0.3199999999999999,72.72727272727273,0.2420858663826948,[],66.66666666666666,9,3,None,0.2651943590026349,,Adjusting RT...,,021,Scanner,2,2019_Aug_31_1128,MID,3.1.5,59.99180415622089,
LgReward,3500,0,11,11,11,,105.04204723698786,None,3500,107.07568511198042,None,None,107.07568511198042,None,1.6800000000000002,12,110.62694165395806,None,1,1,0.23626110999612138,110.62694165395806,None,You won $5.00!,0.40000000000000036,1,10,0.3199999999999999,75.0,0.24143867122863108,[1],66.66666666666666,9,3,None,0.23626110999612138,,,,021,Scanner,2,2019_Aug_31_1128,MID,3.1.5,59.99180415622089,
LgPun,1500,0,12,12,12,,112.6660867210012,None,1500,114.69385390594834,None,None,114.69385390594834,None,1.6800000000000002,13,116.22732712997822,None,None,0,,116.22732712997822,None,You lost $5.00!,-4.6,4,11,0.3199999999999999,69.23076923076923,0.24143867122863108,"[1, 0]",66.66666666666666,9,3,1,0.693501093010418,0.3735010930104181,,,021,Scanner,2,2019_Aug_31_1128,MID,3.1.5,59.99180415622089,
SmallPun,2000,0,13,13,13,,118.26644187100464,None,2000,120.29466968995985,None,None,120.29466968995985,None,1.6800000000000002,14,122.32886982796481,None,1,1,0.27634416200453416,122.32886982796481,None,You did not lose $0.20!,-4.6,5,12,0.2999999999999999,71.42857142857143,0.24492922030622138,[],66.66666666666666,12,3,None,0.27634416200453416,,Adjusting RT...,,021,Scanner,2,2019_Aug_31_1128,MID,3.1.5,59.99180415622089,
LgReward,1500,0,14,14,14,,124.37754291697638,None,1500,126.41179839498363,None,None,126.41179839498363,None,1.7000000000000002,15,127.96155347197782,None,None,0,,127.96155347197782,None,You did not win $5.00!,-4.6,1,13,0.2999999999999999,66.66666666666666,0.24492922030622138,[0],66.66666666666666,12,3,1,0.4273527949815615,0.1273527949815616,,,021,Scanner,2,2019_Aug_31_1128,MID,3.1.5,59.99180415622089,
LgReward,1500,0,15,15,15,,130.0286250039935,None,1500,132.06243485899176,None,None,132.06243485899176,None,1.7000000000000002,16,133.61242799198953,None,None,0,,133.61242799198953,None,You did not win $5.00!,-4.6,1,14,0.2999999999999999,62.5,0.24492922030622138,"[0, 0]",66.66666666666666,12,3,1,0.3170762930065392,0.017076293006539345,,,021,Scanner,2,2019_Aug_31_1128,MID,3.1.5,59.99180415622089,
SmallReward,2000,0,16,16,16,,135.6632015609648,None,2000,137.6967091599945,None,None,137.6967091599945,None,1.7000000000000002,17,139.74688555899775,None,None,0,,139.74688555899775,None,You did not win $0.20!,-4.6,2,15,0.33999999999999986,58.82352941176471,0.24492922030622138,[],33.33333333333333,15,3,1,0.33766215303679914,-0.002337846963200718,Adjusting RT...,,021,Scanner,2,2019_Aug_31_1128,MID,3.1.5,59.99180415622089,
LgReward,2500,0,17,17,17,,141.7965227929526,None,2500,143.83100906998152,None,None,143.83100906998152,None,1.6600000000000001,18,146.38070192898158,None,1,1,0.26653705700300634,146.38070192898158,None,You won $5.00!,0.40000000000000036,1,16,0.33999999999999986,61.111111111111114,0.2468935690968382,[1],33.33333333333333,15,3,None,0.26653705700300634,,,,021,Scanner,2,2019_Aug_31_1128,MID,3.1.5,59.99180415622089,
LgReward,2000,0,18,18,18,,148.43103005795274,None,2000,150.46514571498847,None,None,150.46514571498847,None,1.6600000000000001,19,152.5152540789568,None,1,1,0.30084519600495696,152.5152540789568,None,You won $5.00!,5.4,1,17,0.33999999999999986,63.1578947368421,0.2513895380058481,"[1, 1]",33.33333333333333,15,3,None,0.30084519600495696,,,,021,Scanner,2,2019_Aug_31_1128,MID,3.1.5,59.99180415622089,
SmallPun,1500,0,19,19,19,,154.55218678998062,None,1500,156.58266745798755,None,None,156.58266745798755,None,1.6600000000000001,20,158.11593330500182,None,1,1,0.28529618901666254,158.11593330500182,None,You did not lose $0.20!,5.4,5,18,0.3599999999999999,65.0,0.2539977419297569,[],50.0,18,3,None,0.28529618901666254,,Adjusting RT...,,021,Scanner,2,2019_Aug_31_1128,MID,3.1.5,59.99180415622089,
SmallReward,3000,0,20,20,20,,160.18231826199917,None,3000,162.21702317497693,None,None,162.21702317497693,None,1.6400000000000001,21,165.26638118299888,None,1,1,0.2558285630075261,165.26638118299888,None,You won $0.20!,5.6000000000000005,2,19,0.3599999999999999,66.66666666666666,0.25412851486388327,[1],50.0,18,3,None,0.2558285630075261,,,,021,Scanner,2,2019_Aug_31_1128,MID,3.1.5,59.99180415622089,
