Condition,FixationDur,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,TrialOrder,cueImage.started,cueImage.stopped,FixationDur,fixation.started,fixation.stopped,fixationResp.keys,fixationResp.started,fixationResp.stopped,feedbackDur,Trial counter,Target.started,Target.stopped,probeResp.keys,probeResp.corr,probeResp.started,probeResp.stopped,msg,TrackEarnings,TrialType,NonNeutralTrialsNum,probeDur,percentacc_total,meanrt,UserAcc,Acc,AdjTrial,AdjTrialInc,feedback_resp.keys,feedback_resp.rt,OverallRT,probeResp.rt,AdjRTmsg,fixationResp.rt,participant,prac_or_scan,run,date,expName,psychopyVersion,frameRate,
LgReward,4000,0,24,24,24,,186.14031377100036,None,4000,188.1740797700004,None,1,188.1740797700004,None,1.75,25,192.22521067500202,None,None,0,192.22521067500202,None,You did not win $5.00!,5.6000000000000005,1,19,0.24999999999999992,64.0,0.2552606080625992,[0],83.33333333333333,18,3,1,0.02379666799970437,0.27379666799970426,,,0.24829707899698406,001,Scanner,1,2019_Sep_06_1102,MID,3.1.5,60.30067423658321,
SmallReward,2500,0,25,25,25,,194.27551473900166,None,2500,196.30837186799909,None,None,196.30837186799909,None,1.75,26,198.8587994139998,None,None,0,198.8587994139998,None,You did not win $0.20!,5.6000000000000005,2,20,0.24999999999999992,61.53846153846154,0.2552606080625992,"[0, 0]",83.33333333333333,18,3,1,0.02175417199759977,0.27175417199759966,,,,001,Scanner,1,2019_Sep_06_1102,MID,3.1.5,60.30067423658321,
Triangle,4000,0,26,26,26,,200.89568661500016,None,4000,202.92614782799865,None,None,202.92614782799865,None,1.75,27,206.9599412790012,None,None,0,206.9599412790012,None,You did not win or lose anything!,5.6000000000000005,3,20,0.24999999999999992,59.25925925925925,0.2552606080625992,"[0, 0]",83.33333333333333,18,3,1,0.016723269000067376,0.26672326900006726,,,,001,Scanner,1,2019_Sep_06_1102,MID,3.1.5,60.30067423658321,
SmallPun,2000,0,27,27,27,,208.9963920629998,None,2000,211.02715753699886,None,None,211.02715753699886,None,1.75,28,213.06101960900196,None,None,0,213.06101960900196,None,You lost $0.20!,5.4,5,21,0.2899999999999999,57.14285714285714,0.2552606080625992,[],33.33333333333333,21,3,1,0.04641897799956496,0.3364189779995649,,Adjusting RT...,,001,Scanner,1,2019_Sep_06_1102,MID,3.1.5,60.30067423658321,
SmallReward,3000,0,28,28,28,,215.11091867100185,None,3000,217.1446764479988,None,1,217.1446764479988,None,1.71,29,220.19502069599912,None,1,1,220.19502069599912,None,You won $0.20!,5.6000000000000005,2,22,0.2899999999999999,58.620689655172406,0.25362354629417977,[1],33.33333333333333,21,3,None,,0.22743055799946887,0.22743055799946887,,0.8917756190021464,001,Scanner,1,2019_Sep_06_1102,MID,3.1.5,60.30067423658321,
LgReward,1500,0,29,29,29,,222.24474680099956,None,1500,224.27878970800157,None,None,224.27878970800157,None,1.71,30,225.82925871599946,None,None,0,225.82925871599946,None,You did not win $5.00!,5.6000000000000005,1,23,0.2899999999999999,56.666666666666664,0.25362354629417977,"[1, 0]",33.33333333333333,21,3,1,0.17253568100204575,0.4625356810020457,,,,001,Scanner,1,2019_Sep_06_1102,MID,3.1.5,60.30067423658321,
SmallPun,2000,0,30,30,30,,227.86437858600038,None,2000,229.89630742300142,None,None,229.89630742300142,None,1.71,31,231.929955642001,None,1,1,231.929955642001,None,You did not lose $0.20!,5.6000000000000005,5,24,0.3299999999999999,58.06451612903226,0.24400823138886255,[],33.33333333333333,24,3,None,,0.08054787799846963,0.08054787799846963,Adjusting RT...,,001,Scanner,1,2019_Sep_06_1102,MID,3.1.5,60.30067423658321,
LgPun,2000,0,31,31,31,,233.96463387100084,None,2000,235.9975984369994,None,None,235.9975984369994,None,1.6700000000000002,32,238.03060017000098,None,1,1,238.03060017000098,None,You did not lose $5.00!,5.6000000000000005,4,25,0.3299999999999999,59.375,0.24573688705258015,[1],33.33333333333333,24,3,None,,0.27685268899949733,0.27685268899949733,,,001,Scanner,1,2019_Sep_06_1102,MID,3.1.5,60.30067423658321,
LgReward,3000,0,32,32,32,,240.08090000399898,None,3000,242.11498289700103,None,None,242.11498289700103,None,1.6700000000000002,33,245.16517888700037,None,1,1,245.16517888700037,None,You won $5.00!,10.600000000000001,1,26,0.3299999999999999,60.60606060606061,0.24765786254993144,"[1, 1]",33.33333333333333,24,3,None,,0.28415639699960593,0.28415639699960593,,,001,Scanner,1,2019_Sep_06_1102,MID,3.1.5,60.30067423658321,
Triangle,3500,0,33,33,33,,247.2150289400015,None,3500,249.24918691700077,None,None,249.24918691700077,None,1.6700000000000002,34,252.78276445899974,None,None,0,252.78276445899974,None,You did not win or lose anything!,10.600000000000001,3,26,0.3299999999999999,58.82352941176471,0.24765786254993144,"[1, 1]",33.33333333333333,24,3,1,0.045000082998740254,0.37500008299874016,,,,001,Scanner,1,2019_Sep_06_1102,MID,3.1.5,60.30067423658321,
Triangle,3000,0,34,34,34,,254.8161723109988,None,3000,256.8504192190012,None,None,256.8504192190012,None,1.6700000000000002,35,259.8831977459995,None,1,1,259.8831977459995,None,You did not win or lose anything!,10.600000000000001,3,26,0.3299999999999999,60.0,0.25010836342837484,"[1, 1]",33.33333333333333,24,3,None,,0.29911838099724264,0.29911838099724264,,,001,Scanner,1,2019_Sep_06_1102,MID,3.1.5,60.30067423658321,
