Condition,FixationDur,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,TrialOrder,cueImage.started,cueImage.stopped,FixationDur,fixation.started,fixation.stopped,fixationResp.keys,fixationResp.started,fixationResp.stopped,feedbackDur,Trial counter,Target.started,Target.stopped,probeResp.keys,probeResp.corr,probeResp.rt,probeResp.started,probeResp.stopped,msg,TrackEarnings,TrialType,NonNeutralTrialsNum,probeDur,percentacc_total,meanrt,UserAcc,Acc,AdjTrial,AdjTrialInc,feedback_resp.keys,OverallRT,AdjRTmsg,feedback_resp.rt,fixationResp.rt,participant,prac_or_scan,run,date,expName,psychopyVersion,frameRate,
SmallReward,2500,0,27,27,27,,204.11588062002556,None,2500,206.1498336570221,None,None,206.1498336570221,None,1.56,28,208.70001232199138,None,1,1,0.27613035001559183,208.70001232199138,None,You won $0.20!,10.399999999999999,2,21,0.38999999999999996,67.85714285714286,0.29791906163231224,[],100.0,21,3,None,0.27613035001559183,Adjusting RT...,,,016,Scanner,1,2019_Sep_03_0942,MID,3.1.5,59.93815053074408,
SmallPun,1500,0,28,28,28,,210.74015635898104,None,1500,212.77470707101747,None,None,212.77470707101747,None,1.61,29,214.30165608401876,None,None,0,,214.30165608401876,None,You lost $0.20!,10.2,5,22,0.38999999999999996,65.51724137931035,0.29791906163231224,[0],100.0,21,3,1,0.39016763596795495,,0.00016763596795499325,,016,Scanner,1,2019_Sep_03_0942,MID,3.1.5,59.93815053074408,
LgReward,2500,0,29,29,29,,216.35044332203688,None,2500,218.36786002398003,None,None,218.36786002398003,None,1.61,30,220.91880821803352,None,1,1,0.29128501401282847,220.91880821803352,None,You won $5.00!,15.2,1,23,0.38999999999999996,66.66666666666666,0.29758735925133806,"[0, 1]",100.0,21,3,None,0.29128501401282847,,,,016,Scanner,1,2019_Sep_03_0942,MID,3.1.5,59.93815053074408,
LgPun,1500,0,30,30,30,,222.95792399602942,None,1500,224.98539363901364,None,None,224.98539363901364,None,1.61,31,226.52542511798674,None,1,1,0.34366345999296755,226.52542511798674,None,You did not lose $5.00!,15.2,4,24,0.36,67.74193548387096,0.29978145928665373,[],83.33333333333333,24,3,None,0.34366345999296755,Adjusting RT...,,,016,Scanner,1,2019_Sep_03_0942,MID,3.1.5,59.93815053074408,
LgPun,1500,0,31,31,31,,228.5748768679914,None,1500,230.60285380401183,None,None,230.60285380401183,None,1.6400000000000001,32,232.14208257902646,None,1,1,0.31911689904518425,232.14208257902646,None,You did not lose $5.00!,15.2,4,25,0.36,68.75,0.3006603429120415,[1],83.33333333333333,24,3,None,0.31911689904518425,,,,016,Scanner,1,2019_Sep_03_0942,MID,3.1.5,59.93815053074408,
SmallPun,2500,0,32,32,32,,234.17546765500447,None,2500,236.2034995580325,None,None,236.2034995580325,None,1.6400000000000001,33,238.74124870001106,None,None,0,,238.74124870001106,None,You lost $0.20!,15.0,5,26,0.36,66.66666666666666,0.3006603429120415,"[1, 0]",83.33333333333333,24,3,1,0.5857047320017591,,0.2257047320017591,,016,Scanner,1,2019_Sep_03_0942,MID,3.1.5,59.93815053074408,
SmallReward,1500,0,33,33,33,,240.80385689501418,None,1500,242.8381023380207,None,None,242.8381023380207,None,1.6400000000000001,34,244.38820552901598,None,None,0,,244.38820552901598,None,You did not win $0.20!,15.0,2,27,0.38,64.70588235294117,0.3006603429120415,[],49.99999999999999,27,3,1,0.5484121139696799,Adjusting RT...,0.16841211396967992,,016,Scanner,1,2019_Sep_03_0942,MID,3.1.5,59.93815053074408,
LgReward,1500,0,34,34,34,,246.43829037999967,None,1500,248.47228393203113,None,None,248.47228393203113,None,1.62,35,250.02170592802577,None,1,1,0.27236606704536825,250.02170592802577,None,You won $5.00!,20.0,1,28,0.38,65.71428571428571,0.29943015700479486,[1],49.99999999999999,27,3,None,0.27236606704536825,,,,016,Scanner,1,2019_Sep_03_0942,MID,3.1.5,59.93815053074408,
SmallPun,1500,0,35,35,35,,252.0765963490121,None,1500,254.1065748350229,None,None,254.1065748350229,None,1.62,36,255.63936355203623,None,None,0,,255.63936355203623,None,You lost $0.20!,19.8,5,29,0.38,63.888888888888886,0.29943015700479486,"[1, 0]",49.99999999999999,27,3,1,0.565955916007515,,0.18595591600751504,,016,Scanner,1,2019_Sep_03_0942,MID,3.1.5,59.93815053074408,
SmallPun,3000,0,36,36,36,,257.67706907499814,None,3000,259.70669304201147,None,None,259.70669304201147,None,1.62,37,262.7406377689913,None,1,1,0.25757507199887186,262.7406377689913,None,You did not lose $0.20!,19.8,5,30,0.4,64.86486486486487,0.297686195129548,[],49.99999999999999,30,3,None,0.25757507199887186,Adjusting RT...,,,016,Scanner,1,2019_Sep_03_0942,MID,3.1.5,59.93815053074408,
