trial_type,arrow_1,arrow_2,corrAns,jiiter,run_end_fixation
go,sst_images/Right_Arrow.bmp,,2,742,
stop,sst_images/Right_Arrow.bmp,sst_images/Stop_Arrow.bmp,none,805,
go,sst_images/Left_Arrow.bmp,,1,711,
go,sst_images/Left_Arrow.bmp,,1,711,
go,sst_images/Right_Arrow.bmp,,2,833,
go,sst_images/Left_Arrow.bmp,,1,921,
go,sst_images/Left_Arrow.bmp,,1,765,
go,sst_images/Right_Arrow.bmp,,2,711,
go,sst_images/Right_Arrow.bmp,,2,976,
go,sst_images/Right_Arrow.bmp,,2,867,
go,sst_images/Left_Arrow.bmp,,1,714,
go,sst_images/Left_Arrow.bmp,,1,850,
stop,sst_images/Right_Arrow.bmp,sst_images/Stop_Arrow.bmp,none,898,
go,sst_images/Left_Arrow.bmp,,1,1102,
go,sst_images/Right_Arrow.bmp,,2,730,
go,sst_images/Right_Arrow.bmp,,2,778,
go,sst_images/Left_Arrow.bmp,,1,1488,
stop,sst_images/Left_Arrow.bmp,sst_images/Stop_Arrow.bmp,none,984,
go,sst_images/Left_Arrow.bmp,,1,738,
go,sst_images/Left_Arrow.bmp,,1,968,
go,sst_images/Right_Arrow.bmp,,2,899,
go,sst_images/Left_Arrow.bmp,,1,925,
stop,sst_images/Right_Arrow.bmp,sst_images/Stop_Arrow.bmp,none,2000,
go,sst_images/Left_Arrow.bmp,,1,1108,
go,sst_images/Right_Arrow.bmp,,2,1034,
go,sst_images/Right_Arrow.bmp,,2,803,
stop,sst_images/Left_Arrow.bmp,sst_images/Stop_Arrow.bmp,none,841,
go,sst_images/Left_Arrow.bmp,,1,954,
go,sst_images/Right_Arrow.bmp,,2,752,
go,sst_images/Left_Arrow.bmp,,1,1314,
go,sst_images/Right_Arrow.bmp,,2,839,
stop,sst_images/Right_Arrow.bmp,sst_images/Stop_Arrow.bmp,none,788,
go,sst_images/Right_Arrow.bmp,,2,793,
go,sst_images/Left_Arrow.bmp,,1,1013,
go,sst_images/Right_Arrow.bmp,,2,709,
go,sst_images/Left_Arrow.bmp,,1,760,
stop,sst_images/Right_Arrow.bmp,sst_images/Stop_Arrow.bmp,none,715,
go,sst_images/Right_Arrow.bmp,,2,702,
go,sst_images/Left_Arrow.bmp,,1,776,
stop,sst_images/Left_Arrow.bmp,sst_images/Stop_Arrow.bmp,none,701,
go,sst_images/Right_Arrow.bmp,,2,1044,
go,sst_images/Right_Arrow.bmp,,2,779,
go,sst_images/Left_Arrow.bmp,,1,757,
go,sst_images/Left_Arrow.bmp,,1,812,
go,sst_images/Right_Arrow.bmp,,2,911,
go,sst_images/Right_Arrow.bmp,,2,1507,
go,sst_images/Right_Arrow.bmp,,2,1299,
go,sst_images/Left_Arrow.bmp,,1,750,
go,sst_images/Left_Arrow.bmp,,1,778,
go,sst_images/Right_Arrow.bmp,,2,933,
go,sst_images/Left_Arrow.bmp,,1,836,
go,sst_images/Right_Arrow.bmp,,2,964,
go,sst_images/Left_Arrow.bmp,,1,725,
stop,sst_images/Right_Arrow.bmp,sst_images/Stop_Arrow.bmp,none,734,
go,sst_images/Right_Arrow.bmp,,2,927,
go,sst_images/Left_Arrow.bmp,,1,1191,
go,sst_images/Left_Arrow.bmp,,1,841,
stop,sst_images/Right_Arrow.bmp,sst_images/Stop_Arrow.bmp,none,748,
go,sst_images/Left_Arrow.bmp,,1,844,
