trial_type,arrow_1,arrow_2,corrAns,jitter,run_end_fixation,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,key_response.keys,key_response.corr,key_response.rt,trial_t.routineEndVal,ss_delay,iti_duration,SOA,participant,prac_or_scan,handedness,run,date,expName,psychopyVersion,frameRate,
go,sst_images/Right_Arrow.bmp,None,2,1071,None,0,46,46,46,2,1,0.5448464969958877,go,0.2,1.071,2.0709999999999997,0006,Scanner,R,1,2019_Aug_20_1513,stopSignal,3.0.7,23.983325199967833,
go,sst_images/Right_Arrow.bmp,None,2,913,None,0,47,47,47,2,1,0.5881152879956062,go,0.2,0.913,1.913,0006,Scanner,R,1,2019_Aug_20_1513,stopSignal,3.0.7,23.983325199967833,
go,sst_images/Right_Arrow.bmp,None,2,941,None,0,48,48,48,2,1,0.5435738560045138,go,0.2,0.941,1.9409999999999998,0006,Scanner,R,1,2019_Aug_20_1513,stopSignal,3.0.7,23.983325199967833,
go,sst_images/Left_Arrow.bmp,None,1,1253,None,0,49,49,49,1,1,0.4874360270041507,go,0.2,1.253,2.253,0006,Scanner,R,1,2019_Aug_20_1513,stopSignal,3.0.7,23.983325199967833,
go,sst_images/Left_Arrow.bmp,None,1,1230,None,0,50,50,50,1,1,0.6292721349964268,go,0.2,1.23,2.23,0006,Scanner,R,1,2019_Aug_20_1513,stopSignal,3.0.7,23.983325199967833,
go,sst_images/Left_Arrow.bmp,None,1,870,None,0,51,51,51,1,1,0.6712944339960814,go,0.2,0.87,1.87,0006,Scanner,R,1,2019_Aug_20_1513,stopSignal,3.0.7,23.983325199967833,
go,sst_images/Right_Arrow.bmp,None,2,881,None,0,52,52,52,2,1,0.6309611200049403,go,0.2,0.881,1.881,0006,Scanner,R,1,2019_Aug_20_1513,stopSignal,3.0.7,23.983325199967833,
stop,sst_images/Right_Arrow.bmp,sst_images/Stop_Arrow.bmp,none,954,None,0,53,53,53,None,1,,stop,0.25,0.954,1.954,0006,Scanner,R,1,2019_Aug_20_1513,stopSignal,3.0.7,23.983325199967833,
go,sst_images/Right_Arrow.bmp,None,2,784,None,0,54,54,54,2,1,0.5836759180019726,go,0.25,0.784,1.784,0006,Scanner,R,1,2019_Aug_20_1513,stopSignal,3.0.7,23.983325199967833,
go,sst_images/Left_Arrow.bmp,None,1,1789,None,0,55,55,55,1,1,0.6310595989998546,go,0.25,1.789,2.7889999999999997,0006,Scanner,R,1,2019_Aug_20_1513,stopSignal,3.0.7,23.983325199967833,
go,sst_images/Left_Arrow.bmp,None,1,919,None,0,56,56,56,1,1,0.6297282530067605,go,0.25,0.919,1.919,0006,Scanner,R,1,2019_Aug_20_1513,stopSignal,3.0.7,23.983325199967833,
go,sst_images/Left_Arrow.bmp,None,1,1155,None,0,57,57,57,1,1,0.5874090319994139,go,0.25,1.155,2.1550000000000002,0006,Scanner,R,1,2019_Aug_20_1513,stopSignal,3.0.7,23.983325199967833,
go,sst_images/Right_Arrow.bmp,None,2,716,None,0,58,58,58,2,1,0.6723358780000126,go,0.25,0.716,1.716,0006,Scanner,R,1,2019_Aug_20_1513,stopSignal,3.0.7,23.983325199967833,
go,sst_images/Left_Arrow.bmp,None,1,791,None,0,59,59,59,1,1,0.588349317004031,go,0.25,0.791,1.791,0006,Scanner,R,1,2019_Aug_20_1513,stopSignal,3.0.7,23.983325199967833,
go,sst_images/Left_Arrow.bmp,None,1,786,None,0,60,60,60,1,1,0.7110175740017439,go,0.25,0.786,1.786,0006,Scanner,R,1,2019_Aug_20_1513,stopSignal,3.0.7,23.983325199967833,
go,sst_images/Right_Arrow.bmp,None,2,987,None,0,61,61,61,2,1,0.7958095139983925,go,0.25,0.987,1.987,0006,Scanner,R,1,2019_Aug_20_1513,stopSignal,3.0.7,23.983325199967833,
stop,sst_images/Left_Arrow.bmp,sst_images/Stop_Arrow.bmp,none,1076,None,0,62,62,62,1,0,0.5321506280015456,stop,0.2,1.076,2.0938493719984543,0006,Scanner,R,1,2019_Aug_20_1513,stopSignal,3.0.7,23.983325199967833,
go,sst_images/Right_Arrow.bmp,None,2,957,None,0,63,63,63,2,1,0.7957581209993805,go,0.2,0.957,1.9569999999999999,0006,Scanner,R,1,2019_Aug_20_1513,stopSignal,3.0.7,23.983325199967833,
go,sst_images/Left_Arrow.bmp,None,1,1855,None,0,64,64,64,1,1,0.581692984997062,go,0.2,1.855,2.855,0006,Scanner,R,1,2019_Aug_20_1513,stopSignal,3.0.7,23.983325199967833,
go,sst_images/Right_Arrow.bmp,None,2,825,None,0,65,65,65,2,1,0.5002281950000906,go,0.2,0.825,1.825,0006,Scanner,R,1,2019_Aug_20_1513,stopSignal,3.0.7,23.983325199967833,
go,sst_images/Left_Arrow.bmp,None,1,979,None,0,66,66,66,1,1,0.5449971510024625,go,0.2,0.979,1.979,0006,Scanner,R,1,2019_Aug_20_1513,stopSignal,3.0.7,23.983325199967833,
go,sst_images/Right_Arrow.bmp,None,2,985,None,0,67,67,67,2,1,0.629130070003157,go,0.2,0.985,1.9849999999999999,0006,Scanner,R,1,2019_Aug_20_1513,stopSignal,3.0.7,23.983325199967833,
go,sst_images/Right_Arrow.bmp,None,2,1699,None,0,68,68,68,2,1,0.5680523019982502,go,0.2,1.699,2.699,0006,Scanner,R,1,2019_Aug_20_1513,stopSignal,3.0.7,23.983325199967833,
