trial_type,arrow_1,arrow_2,corrAns,jitter,run_end_fixation,runs.thisRepN,runs.thisTrialN,runs.thisN,runs.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,key_response.keys,key_response.corr,key_response.rt,trial_t.routineEndVal,ss_delay,iti_duration,SOA,participant,prac_or_scan,handedness,date,expName,psychopyVersion,frameRate,
go,sst_images/Left_Arrow.bmp,None,1,816,None,0,0,0,0,0,54,54,54,1,1,0.588392974999806,go,0.2,0.816,1.8159999999999998,0001,Scanner,R,2019_Aug_15_1410,stopSignal,3.0.7,24.010897662860813,
go,sst_images/Left_Arrow.bmp,None,1,721,None,0,0,0,0,0,55,55,55,1,1,0.5902665789999446,go,0.2,0.721,1.721,0001,Scanner,R,2019_Aug_15_1410,stopSignal,3.0.7,24.010897662860813,
go,sst_images/Left_Arrow.bmp,None,1,1164,None,0,0,0,0,0,56,56,56,1,1,0.5848286549999102,go,0.2,1.164,2.1639999999999997,0001,Scanner,R,2019_Aug_15_1410,stopSignal,3.0.7,24.010897662860813,
go,sst_images/Right_Arrow.bmp,None,2,839,None,0,0,0,0,0,57,57,57,2,1,0.5887730869999359,go,0.2,0.839,1.839,0001,Scanner,R,2019_Aug_15_1410,stopSignal,3.0.7,24.010897662860813,
go,sst_images/Left_Arrow.bmp,None,1,761,None,0,0,0,0,0,58,58,58,1,1,0.5416078830003244,go,0.2,0.761,1.7610000000000001,0001,Scanner,R,2019_Aug_15_1410,stopSignal,3.0.7,24.010897662860813,
stop,sst_images/Right_Arrow.bmp,sst_images/Stop_Arrow.bmp,none,886,None,0,0,0,0,0,59,59,59,2,0,0.4592157870001756,stop,0.15000000000000002,0.886,1.9267842129998245,0001,Scanner,R,2019_Aug_15_1410,stopSignal,3.0.7,24.010897662860813,
go,sst_images/Left_Arrow.bmp,None,1,805,None,0,0,0,0,0,60,60,60,1,1,0.5081602709997242,go,0.15000000000000002,0.805,1.8050000000000002,0001,Scanner,R,2019_Aug_15_1410,stopSignal,3.0.7,24.010897662860813,
stop,sst_images/Left_Arrow.bmp,sst_images/Stop_Arrow.bmp,none,976,None,0,0,0,0,0,61,61,61,None,1,,stop,0.2,0.976,1.9759999999999998,0001,Scanner,R,2019_Aug_15_1410,stopSignal,3.0.7,24.010897662860813,
go,sst_images/Right_Arrow.bmp,None,2,707,None,0,0,0,0,0,62,62,62,2,1,0.5033477930001027,go,0.2,0.707,1.7069999999999999,0001,Scanner,R,2019_Aug_15_1410,stopSignal,3.0.7,24.010897662860813,
go,sst_images/Right_Arrow.bmp,None,2,927,None,0,0,0,0,0,63,63,63,2,1,0.5455540020002445,go,0.2,0.927,1.927,0001,Scanner,R,2019_Aug_15_1410,stopSignal,3.0.7,24.010897662860813,
go,sst_images/Left_Arrow.bmp,None,1,908,None,0,0,0,0,0,64,64,64,1,1,0.5831883260007089,go,0.2,0.908,1.908,0001,Scanner,R,2019_Aug_15_1410,stopSignal,3.0.7,24.010897662860813,
stop,sst_images/Right_Arrow.bmp,sst_images/Stop_Arrow.bmp,none,852,None,0,0,0,0,0,65,65,65,2,0,0.3987164339996525,stop,0.15000000000000002,0.852,1.9532835660003474,0001,Scanner,R,2019_Aug_15_1410,stopSignal,3.0.7,24.010897662860813,
