trial_type,arrow_1,arrow_2,corrAns,jitter,run_end_fixation,runs.thisRepN,runs.thisTrialN,runs.thisN,runs.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,key_response.keys,key_response.corr,key_response.rt,trial_t.routineEndVal,ss_delay,iti_duration,SOA,participant,prac_or_scan,handedness,date,expName,psychopyVersion,frameRate,
go,sst_images/Left_Arrow.BMP,None,1,760,None,0,0,0,0,0,21,21,21,2,0,0.2639322169998195,go,0.0,0.76,1.76,0001,Practice,R,2019_Aug_14_1209,stopSignal,3.0.7,59.63462343248128,
stop,sst_images/Right_Arrow.BMP,sst_images/Stop_Arrow.BMP,none,985,None,0,0,0,0,0,22,22,22,None,1,,stop,0.0,0.985,1.985,0001,Practice,R,2019_Aug_14_1209,stopSignal,3.0.7,59.63462343248128,
go,sst_images/Right_Arrow.BMP,None,2,715,None,0,0,0,0,0,23,23,23,2,1,0.35703181700228015,go,0.0,0.715,1.7149999999999999,0001,Practice,R,2019_Aug_14_1209,stopSignal,3.0.7,59.63462343248128,
go,sst_images/Left_Arrow.BMP,None,1,745,3264.0,0,0,0,0,0,24,24,24,1,1,0.33536451799591305,go,0.0,0.745,1.745,0001,Practice,R,2019_Aug_14_1209,stopSignal,3.0.7,59.63462343248128,
,,,,,,0,0,0,0,,,,,,,,,,,,0001,Practice,R,2019_Aug_14_1209,stopSignal,3.0.7,59.63462343248128,
go,sst_images/Left_Arrow.BMP,None,1,955,None,1,0,1,0,0,0,0,0,1,1,0.48622202599653974,go,0.0,0.955,1.955,0001,Practice,R,2019_Aug_14_1209,stopSignal,3.0.7,59.63462343248128,
go,sst_images/Right_Arrow.BMP,None,2,925,None,1,0,1,0,0,1,1,1,2,1,0.32864958699792624,go,0.0,0.925,1.925,0001,Practice,R,2019_Aug_14_1209,stopSignal,3.0.7,59.63462343248128,
go,sst_images/Right_Arrow.BMP,None,2,925,None,1,0,1,0,0,2,2,2,2,1,0.36762979599734535,go,0.0,0.925,1.925,0001,Practice,R,2019_Aug_14_1209,stopSignal,3.0.7,59.63462343248128,
go,sst_images/Left_Arrow.BMP,None,1,865,None,1,0,1,0,0,3,3,3,1,1,0.3020929859994794,go,0.0,0.865,1.865,0001,Practice,R,2019_Aug_14_1209,stopSignal,3.0.7,59.63462343248128,
go,sst_images/Left_Arrow.BMP,None,1,1045,None,1,0,1,0,0,4,4,4,1,1,0.35357740599283716,go,0.0,1.045,2.045,0001,Practice,R,2019_Aug_14_1209,stopSignal,3.0.7,59.63462343248128,
stop,sst_images/Right_Arrow.BMP,sst_images/Stop_Arrow.BMP,none,790,None,1,0,1,0,0,5,5,5,None,1,,stop,0.0,0.79,1.79,0001,Practice,R,2019_Aug_14_1209,stopSignal,3.0.7,59.63462343248128,
go,sst_images/Right_Arrow.BMP,None,2,745,None,1,0,1,0,0,6,6,6,2,1,0.3329531670024153,go,0.0,0.745,1.745,0001,Practice,R,2019_Aug_14_1209,stopSignal,3.0.7,59.63462343248128,
go,sst_images/Left_Arrow.BMP,None,1,820,None,1,0,1,0,0,7,7,7,1,1,0.3128686839991133,go,0.0,0.82,1.8199999999999998,0001,Practice,R,2019_Aug_14_1209,stopSignal,3.0.7,59.63462343248128,
go,sst_images/Right_Arrow.BMP,None,2,1090,None,1,0,1,0,0,8,8,8,2,1,0.3029225860009319,go,0.0,1.09,2.09,0001,Practice,R,2019_Aug_14_1209,stopSignal,3.0.7,59.63462343248128,
go,sst_images/Right_Arrow.BMP,None,2,700,None,1,0,1,0,0,9,9,9,2,1,0.2953856439999072,go,0.0,0.7,1.7,0001,Practice,R,2019_Aug_14_1209,stopSignal,3.0.7,59.63462343248128,
go,sst_images/Left_Arrow.BMP,None,1,760,None,1,0,1,0,0,10,10,10,1,1,0.3021997019968694,go,0.0,0.76,1.76,0001,Practice,R,2019_Aug_14_1209,stopSignal,3.0.7,59.63462343248128,
stop,sst_images/Left_Arrow.BMP,sst_images/Stop_Arrow.BMP,none,880,None,1,0,1,0,0,11,11,11,None,1,,stop,0.0,0.88,1.8800000000000001,0001,Practice,R,2019_Aug_14_1209,stopSignal,3.0.7,59.63462343248128,
go,sst_images/Right_Arrow.BMP,None,2,730,None,1,0,1,0,0,12,12,12,2,1,0.35260057599953143,go,0.0,0.73,1.73,0001,Practice,R,2019_Aug_14_1209,stopSignal,3.0.7,59.63462343248128,
go,sst_images/Left_Arrow.BMP,None,1,910,None,1,0,1,0,0,13,13,13,1,1,0.32600191199890105,go,0.0,0.91,1.9100000000000001,0001,Practice,R,2019_Aug_14_1209,stopSignal,3.0.7,59.63462343248128,
go,sst_images/Left_Arrow.BMP,None,1,955,None,1,0,1,0,0,14,14,14,1,1,0.3531221219964209,go,0.0,0.955,1.955,0001,Practice,R,2019_Aug_14_1209,stopSignal,3.0.7,59.63462343248128,
go,sst_images/Left_Arrow.BMP,None,1,1045,None,1,0,1,0,0,15,15,15,1,1,0.3597324770016712,go,0.0,1.045,2.045,0001,Practice,R,2019_Aug_14_1209,stopSignal,3.0.7,59.63462343248128,
go,sst_images/Right_Arrow.BMP,None,2,1045,None,1,0,1,0,0,16,16,16,2,1,0.3363748189949547,go,0.0,1.045,2.045,0001,Practice,R,2019_Aug_14_1209,stopSignal,3.0.7,59.63462343248128,
go,sst_images/Left_Arrow.BMP,None,1,985,None,1,0,1,0,0,17,17,17,1,1,0.3241115940036252,go,0.0,0.985,1.9849999999999999,0001,Practice,R,2019_Aug_14_1209,stopSignal,3.0.7,59.63462343248128,
