Condition,FixationDur,runs.thisRepN,runs.thisTrialN,runs.thisN,runs.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,instructFig.started,instructFig.stopped,text_2.started,text_2.stopped,PrepFixation.started,PrepFixation.stopped,TrialOrder,cueImage.started,cueImage.stopped,FixationDur,fixation.started,fixation.stopped,fixationResp.keys,fixationResp.started,fixationResp.stopped,feedbackDur,rt_list,Trial counter,Target.started,Target.stopped,probeResp.keys,probeResp.corr,probeResp.started,probeResp.stopped,msg,TrackEarnings,TrialType,NonNeutralTrialsNum,probeDur,percentacc_total,meanrt,UserAcc,Acc,AdjTrial,AdjTrialInc,feedbackMsg.started,feedbackMsg.stopped,probeResp.rt,AdjRTmsg,fixationResp.rt,polygon.started,polygon.stopped,text.started,text.stopped,participant,prac_or_scan,practiceRT,date,expName,psychopyVersion,frameRate,
SmallReward,1500,0,0,0,0,0,20,20,20,,,,,,,,144.73153537200415,None,1500,146.74805539999943,None,None,146.74805539999943,None,1.61,"[0.2542431369947735, 0.2521261920046527, 0.2278964819997782, 0.028245911998965312, 0.24655221500142943, 0.2810867330044857, 0.24129695699957665, 0.24258045100577874, 0.13636809099989478, 0.2802276790025644, 0.24199843099631835]",21,148.2754606870003,None,None,0,148.2754606870003,None,You did not win $0.20!,0.0,2,18,0.41,52.38095238095239,0.22114748000074708,[],49.99999999999999,18,3,148.61499839099997,None,,Adjusting RT...,,,,,,1,Scanner,0.35,2019_Aug_14_1139,MID,3.1.5,59.9010861757641,
LgPun,1500,0,0,0,0,0,21,21,21,,,,,,,,150.19853585799865,None,1500,152.23259244699875,None,None,152.23259244699875,None,1.59,"[0.2542431369947735, 0.2521261920046527, 0.2278964819997782, 0.028245911998965312, 0.24655221500142943, 0.2810867330044857, 0.24129695699957665, 0.24258045100577874, 0.13636809099989478, 0.2802276790025644, 0.24199843099631835]",22,153.73236952300067,None,None,0,153.73236952300067,None,You lost $5.00!,-5.0,4,19,0.41,50.0,0.22114748000074708,[0],49.99999999999999,18,3,154.09842135300278,None,,,,,,,,1,Scanner,0.35,2019_Aug_14_1139,MID,3.1.5,59.9010861757641,
LgReward,3500,0,0,0,0,0,22,22,22,,,,,,,,155.70537645900185,None,3500,157.71605945299962,None,None,157.71605945299962,None,1.59,"[0.2542431369947735, 0.2521261920046527, 0.2278964819997782, 0.028245911998965312, 0.24655221500142943, 0.2810867330044857, 0.24129695699957665, 0.24258045100577874, 0.13636809099989478, 0.2802276790025644, 0.24199843099631835, 0.2582734710013028]",23,161.24249450200296,None,1,1,161.24249450200296,None,You won $5.00!,0.0,1,20,0.41,52.17391304347826,0.22424131258412672,"[0, 1]",49.99999999999999,18,3,161.58381146100146,None,0.2582734710013028,,,,,,,1,Scanner,0.35,2019_Aug_14_1139,MID,3.1.5,59.9010861757641,
SmallReward,4000,0,0,0,0,0,23,23,23,,,,,,,,163.19065099600266,None,4000,165.20037694599887,None,1,165.20037694599887,None,1.59,"[0.2542431369947735, 0.2521261920046527, 0.2278964819997782, 0.028245911998965312, 0.24655221500142943, 0.2810867330044857, 0.24129695699957665, 0.24258045100577874, 0.13636809099989478, 0.2802276790025644, 0.24199843099631835, 0.2582734710013028]",24,169.23061930000404,None,None,0,169.23061930000404,None,You did not win $0.20!,0.0,2,21,0.43,50.0,0.22424131258412672,[],49.99999999999999,21,3,169.58563083800254,None,,Adjusting RT...,3.348067571998399,,,,,1,Scanner,0.35,2019_Aug_14_1139,MID,3.1.5,59.9010861757641,
Triangle,2000,0,0,0,0,0,24,24,24,,,,,,,,171.15306182100176,None,2000,173.18498277300387,None,None,173.18498277300387,None,1.57,"[0.2542431369947735, 0.2521261920046527, 0.2278964819997782, 0.028245911998965312, 0.24655221500142943, 0.2810867330044857, 0.24129695699957665, 0.24258045100577874, 0.13636809099989478, 0.2802276790025644, 0.24199843099631835, 0.2582734710013028]",25,175.19881249299942,None,None,0,175.19881249299942,None,You did not win or lose anything!,0.0,3,21,0.43,48.0,0.22424131258412672,[],49.99999999999999,21,3,175.6023529189988,None,,,,,,,,1,Scanner,0.35,2019_Aug_14_1139,MID,3.1.5,59.9010861757641,
LgPun,2000,0,0,0,0,0,25,25,25,,,,,,,,177.15206372000102,None,2000,179.18619811799726,None,None,179.18619811799726,None,1.57,"[0.2542431369947735, 0.2521261920046527, 0.2278964819997782, 0.028245911998965312, 0.24655221500142943, 0.2810867330044857, 0.24129695699957665, 0.24258045100577874, 0.13636809099989478, 0.2802276790025644, 0.24199843099631835, 0.2582734710013028, 0.23398807900230167]",26,181.18648410300375,None,1,1,181.18648410300375,None,You did not lose $5.00!,0.0,4,22,0.43,50.0,0.22499106384706324,[1],49.99999999999999,21,3,181.58531192199735,None,0.23398807900230167,,,,,,,1,Scanner,0.35,2019_Aug_14_1139,MID,3.1.5,59.9010861757641,
SmallReward,2000,0,0,0,0,0,26,26,26,,,,,,,,183.1712807849981,None,2000,185.18663666900102,None,None,185.18663666900102,None,1.57,"[0.2542431369947735, 0.2521261920046527, 0.2278964819997782, 0.028245911998965312, 0.24655221500142943, 0.2810867330044857, 0.24129695699957665, 0.24258045100577874, 0.13636809099989478, 0.2802276790025644, 0.24199843099631835, 0.2582734710013028, 0.23398807900230167, 0.23995493500115117]",27,187.2366389059971,None,1,1,187.2366389059971,None,You won $0.20!,0.2,2,23,0.43,51.85185185185185,0.22605991178664095,"[1, 1]",49.99999999999999,21,3,187.58625047300302,None,0.23995493500115117,,,,,,,1,Scanner,0.35,2019_Aug_14_1139,MID,3.1.5,59.9010861757641,
Triangle,3000,0,0,0,0,0,27,27,27,,,,,,,,189.15341506500408,None,3000,191.18739214800007,None,None,191.18739214800007,None,1.57,"[0.2542431369947735, 0.2521261920046527, 0.2278964819997782, 0.028245911998965312, 0.24655221500142943, 0.2810867330044857, 0.24129695699957665, 0.24258045100577874, 0.13636809099989478, 0.2802276790025644, 0.24199843099631835, 0.2582734710013028, 0.23398807900230167, 0.23995493500115117, 0.3234939550020499]",28,194.20109496000077,None,1,1,194.20109496000077,None,You did not win or lose anything!,0.2,3,23,0.43,53.57142857142857,0.23255551466766822,"[1, 1]",49.99999999999999,21,3,194.58684353400167,None,0.3234939550020499,,,,,,,1,Scanner,0.35,2019_Aug_14_1139,MID,3.1.5,59.9010861757641,
SmallReward,3500,0,0,0,0,0,28,28,28,,,,,,,,196.17836013600026,None,3500,198.1885513390007,None,None,198.1885513390007,None,1.57,"[0.2542431369947735, 0.2521261920046527, 0.2278964819997782, 0.028245911998965312, 0.24655221500142943, 0.2810867330044857, 0.24129695699957665, 0.24258045100577874, 0.13636809099989478, 0.2802276790025644, 0.24199843099631835, 0.2582734710013028, 0.23398807900230167, 0.23995493500115117, 0.3234939550020499, 0.28956394200213253]",29,201.70684690099733,None,1,1,201.70684690099733,None,You won $0.20!,0.4,2,24,0.41,55.172413793103445,0.23611854137607224,[],66.66666666666666,24,3,202.08863621300407,None,0.28956394200213253,Adjusting RT...,,,,,,1,Scanner,0.35,2019_Aug_14_1139,MID,3.1.5,59.9010861757641,
Triangle,1500,0,0,0,0,0,29,29,29,,,,,,,,203.65562335600407,None,1500,205.6890695080001,None,None,205.6890695080001,None,1.59,"[0.2542431369947735, 0.2521261920046527, 0.2278964819997782, 0.028245911998965312, 0.24655221500142943, 0.2810867330044857, 0.24129695699957665, 0.24258045100577874, 0.13636809099989478, 0.2802276790025644, 0.24199843099631835, 0.2582734710013028, 0.23398807900230167, 0.23995493500115117, 0.3234939550020499, 0.28956394200213253]",30,207.20294858499983,None,None,0,207.20294858499983,None,You did not win or lose anything!,0.4,3,24,0.41,53.333333333333336,0.23611854137607224,[],66.66666666666666,24,3,207.5733326979971,None,,,,,,,,1,Scanner,0.35,2019_Aug_14_1139,MID,3.1.5,59.9010861757641,
