Condition,FixationDur,runs.thisRepN,runs.thisTrialN,runs.thisN,runs.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,instructFig.started,instructFig.stopped,PrepFixation.started,PrepFixation.stopped,TrialOrder,cueImage.started,cueImage.stopped,FixationDur,fixation.started,fixation.stopped,fixationResp.keys,fixationResp.started,fixationResp.stopped,feedbackDur,rt_list,Trial counter,Target.started,Target.stopped,probeResp.keys,probeResp.corr,probeResp.started,probeResp.stopped,msg,TrackEarnings,TrialType,NonNeutralTrialsNum,probeDur,percentacc_total,meanrt,UserAcc,Acc,AdjTrial,AdjTrialInc,feedbackMsg.started,feedbackMsg.stopped,AdjRTmsg,fixationResp.rt,probeResp.rt,participant,prac_or_scan,practiceRT,date,expName,psychopyVersion,frameRate,
SmallPun,2000,0,0,0,0,0,25,25,25,,,,,,187.2551000450003,None,2000,189.26796107500013,None,None,189.26796107500013,None,1.53,"[0.2672770990002391, 0.1001334010006758, 0.30220959999951447, 0.3476288520005255, 0.38886918400021386, 0.339089108000735, 0.38360768599977746, 0.34629565500017634, 0.33708518000003096]",26,191.27389527600008,None,None,0,191.27389527600008,None,You lost $0.20!,-5.2,5,20,0.47,34.61538461538461,0.3124661961113209,"[0, 0]",83.33333333333333,18,3,191.71347274300024,None,,,,0001,Scanner,0.31,2019_Aug_15_1401,MID,3.1.5,23.9329252772798,
SmallReward,2500,0,0,0,0,0,26,26,26,,,,,,193.25529941700006,None,2500,195.2697353070007,None,None,195.2697353070007,None,1.53,"[0.2672770990002391, 0.1001334010006758, 0.30220959999951447, 0.3476288520005255, 0.38886918400021386, 0.339089108000735, 0.38360768599977746, 0.34629565500017634, 0.33708518000003096, 0.3304176820001885]",27,197.78686762400048,None,1,1,197.78686762400048,None,You won $0.20!,-5.0,2,21,0.44999999999999996,37.03703703703704,0.3142613447002077,[],66.66666666666666,21,3,198.21746915700078,None,Adjusting RT...,,0.3304176820001885,0001,Scanner,0.31,2019_Aug_15_1401,MID,3.1.5,23.9329252772798,
SmallPun,2500,0,0,0,0,0,27,27,27,,,,,,199.71385962000022,None,2500,201.72206436300075,None,None,201.72206436300075,None,1.55,"[0.2672770990002391, 0.1001334010006758, 0.30220959999951447, 0.3476288520005255, 0.38886918400021386, 0.339089108000735, 0.38360768599977746, 0.34629565500017634, 0.33708518000003096, 0.3304176820001885, 0.3480253249999805]",28,204.23016025500056,None,1,1,204.23016025500056,None,You did not lose $0.20!,-5.0,5,22,0.44999999999999996,39.285714285714285,0.3173307974547325,[1],66.66666666666666,21,3,204.67454275300042,None,,,0.3480253249999805,0001,Scanner,0.31,2019_Aug_15_1401,MID,3.1.5,23.9329252772798,
Triangle,4000,0,0,0,0,0,28,28,28,,,,,,206.2136739940006,None,4000,208.2232035950001,None,None,208.2232035950001,None,1.55,"[0.2672770990002391, 0.1001334010006758, 0.30220959999951447, 0.3476288520005255, 0.38886918400021386, 0.339089108000735, 0.38360768599977746, 0.34629565500017634, 0.33708518000003096, 0.3304176820001885, 0.3480253249999805]",29,212.2380415710004,None,None,0,212.2380415710004,None,You did not win or lose anything!,-5.0,3,22,0.44999999999999996,37.93103448275862,0.3173307974547325,[1],66.66666666666666,21,3,212.6724605040008,None,,,,0001,Scanner,0.31,2019_Aug_15_1401,MID,3.1.5,23.9329252772798,
LgPun,3500,0,0,0,0,0,29,29,29,,,,,,214.21454640499996,None,3500,216.22250180400079,None,None,216.22250180400079,None,1.55,"[0.2672770990002391, 0.1001334010006758, 0.30220959999951447, 0.3476288520005255, 0.38886918400021386, 0.339089108000735, 0.38360768599977746, 0.34629565500017634, 0.33708518000003096, 0.3304176820001885, 0.3480253249999805]",30,219.73999526600073,None,None,0,219.73999526600073,None,You lost $5.00!,-10.0,4,23,0.44999999999999996,36.666666666666664,0.3173307974547325,"[1, 0]",66.66666666666666,21,3,220.17307276300016,None,,,,0001,Scanner,0.31,2019_Aug_15_1401,MID,3.1.5,23.9329252772798,
Triangle,1500,0,0,0,0,0,30,30,30,,,,,,221.71424433300035,None,1500,223.72359094900003,None,None,223.72359094900003,None,1.55,"[0.2672770990002391, 0.1001334010006758, 0.30220959999951447, 0.3476288520005255, 0.38886918400021386, 0.339089108000735, 0.38360768599977746, 0.34629565500017634, 0.33708518000003096, 0.3304176820001885, 0.3480253249999805]",31,225.23942432200056,None,None,0,225.23942432200056,None,You did not win or lose anything!,-10.0,3,23,0.44999999999999996,35.483870967741936,0.3173307974547325,"[1, 0]",66.66666666666666,21,3,225.67326088100072,None,,,,0001,Scanner,0.31,2019_Aug_15_1401,MID,3.1.5,23.9329252772798,
LgReward,3000,0,0,0,0,0,31,31,31,,,,,,227.2153233120007,None,3000,229.2247073060007,None,None,229.2247073060007,None,1.55,"[0.2672770990002391, 0.1001334010006758, 0.30220959999951447, 0.3476288520005255, 0.38886918400021386, 0.339089108000735, 0.38360768599977746, 0.34629565500017634, 0.33708518000003096, 0.3304176820001885, 0.3480253249999805]",32,232.24347381400003,None,None,0,232.24347381400003,None,You did not win $5.00!,-10.0,1,24,0.48999999999999994,34.375,0.3173307974547325,[],33.33333333333333,24,3,232.67761039700054,None,Adjusting RT...,,,0001,Scanner,0.31,2019_Aug_15_1401,MID,3.1.5,23.9329252772798,
Triangle,2500,0,0,0,0,0,32,32,32,,,,,,234.21536186899993,None,2500,236.22660850400007,None,None,236.22660850400007,None,1.51,"[0.2672770990002391, 0.1001334010006758, 0.30220959999951447, 0.3476288520005255, 0.38886918400021386, 0.339089108000735, 0.38360768599977746, 0.34629565500017634, 0.33708518000003096, 0.3304176820001885, 0.3480253249999805]",33,238.73278639300042,None,None,0,238.73278639300042,None,You did not win or lose anything!,-10.0,3,24,0.48999999999999994,33.33333333333333,0.3173307974547325,[],33.33333333333333,24,3,239.21744659900014,None,,,,0001,Scanner,0.31,2019_Aug_15_1401,MID,3.1.5,23.9329252772798,
Triangle,2000,0,0,0,0,0,33,33,33,,,,,,240.715952474,None,2000,242.72542053600046,None,None,242.72542053600046,None,1.51,"[0.2672770990002391, 0.1001334010006758, 0.30220959999951447, 0.3476288520005255, 0.38886918400021386, 0.339089108000735, 0.38360768599977746, 0.34629565500017634, 0.33708518000003096, 0.3304176820001885, 0.3480253249999805]",34,244.7340447000006,None,None,0,244.7340447000006,None,You did not win or lose anything!,-10.0,3,24,0.48999999999999994,32.35294117647059,0.3173307974547325,[],33.33333333333333,24,3,245.2158240280005,None,,,,0001,Scanner,0.31,2019_Aug_15_1401,MID,3.1.5,23.9329252772798,
SmallReward,1500,0,0,0,0,0,34,34,34,,,,,,246.716171862,None,1500,248.72660298500068,None,None,248.72660298500068,None,1.51,"[0.2672770990002391, 0.1001334010006758, 0.30220959999951447, 0.3476288520005255, 0.38886918400021386, 0.339089108000735, 0.38360768599977746, 0.34629565500017634, 0.33708518000003096, 0.3304176820001885, 0.3480253249999805, 0.3458193369997389]",35,250.25043473000005,None,1,1,250.25043473000005,None,You won $0.20!,-9.8,2,25,0.48999999999999994,34.285714285714285,0.31970484241681635,[1],33.33333333333333,24,3,250.71639977500035,None,,,0.3458193369997389,0001,Scanner,0.31,2019_Aug_15_1401,MID,3.1.5,23.9329252772798,
