Condition,FixationDur,run.thisRepN,run.thisTrialN,run.thisN,run.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,instructFig.started,instructFig.stopped,text_2.started,text_2.stopped,PrepFixation.started,PrepFixation.stopped,cueImage.started,cueImage.stopped,FixationDur,fixation.started,fixation.stopped,fixationResp.keys,fixationResp.started,fixationResp.stopped,feedbackDur,rt_list,Trial counter,Target.started,Target.stopped,probeResp.keys,probeResp.corr,probeResp.rt,probeResp.started,probeResp.stopped,msg,TrackEarnings,TrialType,NonNeutralTrialsNum,probeDur,percentacc_total,meanrt,UserAcc,Acc,AdjTrial,AdjTrialInc,feedbackMsg.started,feedbackMsg.stopped,AdjRTmsg,fixationResp.rt,polygon.started,polygon.stopped,text.started,text.stopped,participant,session,practiceRT,trial Order,date,expName,psychopyVersion,frameRate,
LgPun,1500,0,0,0,0,0,20,20,20,,,,,,,141.49841511399427,None,1500,143.53221789699455,None,None,143.53221789699455,None,1.63,"[0.27773098099714844, 0.38358042699837824, 0.26019814999744995, 0.25041592799971113, 0.2553734120010631, 0.2550152839976363, 0.2465918150046491, 0.2763600440011942, 0.2289352349980618, 0.24017292800272116, 0.3309272190017509, 0.26651511400268646, 0.2527252040017629, 0.23252140099793905]",21,145.03225305299566,None,None,0,,145.03225305299566,None,You lost $5.00!,0.6000000000000014,4,16,0.37,66.66666666666666,0.26836165300015374,[0],49.99999999999999,15,3,145.38230925099924,None,,,,,,,1,001,.5,1,2019_Aug_07_1221,MID,3.1.5,59.85288997679131,
SmallPun,2000,0,0,0,0,0,21,21,21,,,,,,,147.0005305809973,None,2000,149.03251718699903,None,None,149.03251718699903,None,1.63,"[0.27773098099714844, 0.38358042699837824, 0.26019814999744995, 0.25041592799971113, 0.2553734120010631, 0.2550152839976363, 0.2465918150046491, 0.2763600440011942, 0.2289352349980618, 0.24017292800272116, 0.3309272190017509, 0.26651511400268646, 0.2527252040017629, 0.23252140099793905, 0.26037774599535624]",22,151.04618413199933,None,1,1,0.26037774599535624,151.04618413199933,None,You did not lose $0.20!,0.6000000000000014,5,17,0.37,68.18181818181817,0.2678293925331673,"[0, 1]",49.99999999999999,15,3,151.38291140599904,None,,,,,,,1,001,.5,1,2019_Aug_07_1221,MID,3.1.5,59.85288997679131,
LgPun,1500,0,0,0,0,0,22,22,22,,,,,,,153.00028168199788,None,1500,155.0338833220012,None,None,155.0338833220012,None,1.63,"[0.27773098099714844, 0.38358042699837824, 0.26019814999744995, 0.25041592799971113, 0.2553734120010631, 0.2550152839976363, 0.2465918150046491, 0.2763600440011942, 0.2289352349980618, 0.24017292800272116, 0.3309272190017509, 0.26651511400268646, 0.2527252040017629, 0.23252140099793905, 0.26037774599535624]",23,156.53407244799746,None,None,0,,156.53407244799746,None,You lost $5.00!,-4.399999999999999,4,18,0.41,65.21739130434783,0.2678293925331673,[],33.33333333333333,18,3,156.88417354799458,None,Adjusting RT...,,,,,,1,001,.5,1,2019_Aug_07_1221,MID,3.1.5,59.85288997679131,
SmallReward,2500,0,0,0,0,0,23,23,23,,,,,,,158.52411643199594,None,2500,160.53396511999745,None,None,160.53396511999745,None,1.59,"[0.27773098099714844, 0.38358042699837824, 0.26019814999744995, 0.25041592799971113, 0.2553734120010631, 0.2550152839976363, 0.2465918150046491, 0.2763600440011942, 0.2289352349980618, 0.24017292800272116, 0.3309272190017509, 0.26651511400268646, 0.2527252040017629, 0.23252140099793905, 0.26037774599535624, 0.2647544330029632]",24,163.0615646829974,None,1,1,0.2647544330029632,163.0615646829974,None,You won $0.20!,-4.199999999999998,2,19,0.41,66.66666666666666,0.2676372075625295,[1],33.33333333333333,18,3,163.41806946699944,None,,,,,,,1,001,.5,1,2019_Aug_07_1221,MID,3.1.5,59.85288997679131,
Triangle,2000,0,0,0,0,0,24,24,24,,,,,,,164.98479762399802,None,2000,167.018250532994,None,None,167.018250532994,None,1.59,"[0.27773098099714844, 0.38358042699837824, 0.26019814999744995, 0.25041592799971113, 0.2553734120010631, 0.2550152839976363, 0.2465918150046491, 0.2763600440011942, 0.2289352349980618, 0.24017292800272116, 0.3309272190017509, 0.26651511400268646, 0.2527252040017629, 0.23252140099793905, 0.26037774599535624, 0.2647544330029632]",25,169.01870868699916,None,None,0,,169.01870868699916,None,You did not win or lose anything!,-4.199999999999998,3,19,0.41,64.0,0.2676372075625295,[1],33.33333333333333,18,3,169.4026857860008,None,,,,,,,1,001,.5,1,2019_Aug_07_1221,MID,3.1.5,59.85288997679131,
LgPun,2000,0,0,0,0,0,25,25,25,,,,,,,170.96887512199464,None,2000,173.00304582199897,None,1,173.00304582199897,None,1.59,"[0.27773098099714844, 0.38358042699837824, 0.26019814999744995, 0.25041592799971113, 0.2553734120010631, 0.2550152839976363, 0.2465918150046491, 0.2763600440011942, 0.2289352349980618, 0.24017292800272116, 0.3309272190017509, 0.26651511400268646, 0.2527252040017629, 0.23252140099793905, 0.26037774599535624, 0.2647544330029632]",26,175.00342912999622,None,None,0,,175.00342912999622,None,You lost $5.00!,-9.2,4,20,0.41,61.53846153846154,0.2676372075625295,"[1, 0]",33.33333333333333,18,3,175.38629948699963,None,,0.3357825720013352,,,,,1,001,.5,1,2019_Aug_07_1221,MID,3.1.5,59.85288997679131,
LgReward,1500,0,0,0,0,0,26,26,26,,,,,,,176.96908747199632,None,1500,178.98625720099517,None,None,178.98625720099517,None,1.59,"[0.27773098099714844, 0.38358042699837824, 0.26019814999744995, 0.25041592799971113, 0.2553734120010631, 0.2550152839976363, 0.2465918150046491, 0.2763600440011942, 0.2289352349980618, 0.24017292800272116, 0.3309272190017509, 0.26651511400268646, 0.2527252040017629, 0.23252140099793905, 0.26037774599535624, 0.2647544330029632]",27,180.50371820599685,None,None,0,,180.50371820599685,None,You did not win $5.00!,-9.2,1,21,0.44999999999999996,59.25925925925925,0.2676372075625295,[],33.33333333333333,21,3,180.87038700799894,None,Adjusting RT...,,,,,,1,001,.5,1,2019_Aug_07_1221,MID,3.1.5,59.85288997679131,
LgPun,4000,0,0,0,0,0,27,27,27,,,,,,,182.4388581489984,None,4000,184.46966920200066,None,None,184.46966920200066,None,1.55,"[0.27773098099714844, 0.38358042699837824, 0.26019814999744995, 0.25041592799971113, 0.2553734120010631, 0.2550152839976363, 0.2465918150046491, 0.2763600440011942, 0.2289352349980618, 0.24017292800272116, 0.3309272190017509, 0.26651511400268646, 0.2527252040017629, 0.23252140099793905, 0.26037774599535624, 0.2647544330029632, 0.24474878200271633]",28,188.48410067999794,None,1,1,0.24474878200271633,188.48410067999794,None,You did not lose $5.00!,-9.2,4,22,0.44999999999999996,60.71428571428571,0.2662908295884229,[1],33.33333333333333,21,3,188.9051838949963,None,,,,,,,1,001,.5,1,2019_Aug_07_1221,MID,3.1.5,59.85288997679131,
LgReward,3500,0,0,0,0,0,28,28,28,,,,,,,190.4543097239948,None,3500,192.47184017799736,None,None,192.47184017799736,None,1.55,"[0.27773098099714844, 0.38358042699837824, 0.26019814999744995, 0.25041592799971113, 0.2553734120010631, 0.2550152839976363, 0.2465918150046491, 0.2763600440011942, 0.2289352349980618, 0.24017292800272116, 0.3309272190017509, 0.26651511400268646, 0.2527252040017629, 0.23252140099793905, 0.26037774599535624, 0.2647544330029632, 0.24474878200271633, 0.2411801620037295]",29,196.0013022169951,None,1,1,0.2411801620037295,196.0013022169951,None,You won $5.00!,-4.199999999999999,1,23,0.44999999999999996,62.06896551724138,0.2648957925003843,"[1, 1]",33.33333333333333,21,3,196.40576207100094,None,,,,,,,1,001,.5,1,2019_Aug_07_1221,MID,3.1.5,59.85288997679131,
LgReward,1500,0,0,0,0,0,29,29,29,,,,,,,197.95574238999689,None,1500,199.97226141599822,None,None,199.97226141599822,None,1.55,"[0.27773098099714844, 0.38358042699837824, 0.26019814999744995, 0.25041592799971113, 0.2553734120010631, 0.2550152839976363, 0.2465918150046491, 0.2763600440011942, 0.2289352349980618, 0.24017292800272116, 0.3309272190017509, 0.26651511400268646, 0.2527252040017629, 0.23252140099793905, 0.26037774599535624, 0.2647544330029632, 0.24474878200271633, 0.2411801620037295, 0.3752834980041371]",30,201.47275867199642,None,1,1,0.3752834980041371,201.47275867199642,None,You won $5.00!,0.8000000000000007,1,24,0.42999999999999994,63.33333333333333,0.27070567173742394,[],66.66666666666666,24,3,201.88989178399788,None,Adjusting RT...,,,,,,1,001,.5,1,2019_Aug_07_1221,MID,3.1.5,59.85288997679131,
