Condition,FixationDur,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,preinstruc_text.started,preinstruc_text.stopped,instructFig.started,instructFig.stopped,PrepFixation.started,PrepFixation.stopped,TrialOrder,cueImage.started,cueImage.stopped,FixationDur,fixation.started,fixation.stopped,fixationResp.keys,fixationResp.started,fixationResp.stopped,feedbackDur,rt_list,Trial counter,Target.started,Target.stopped,probeResp.keys,probeResp.corr,probeResp.started,probeResp.stopped,msg,TrackEarnings,TrialType,NonNeutralTrialsNum,probeDur,percentacc_total,meanrt,UserAcc,Acc,AdjTrial,AdjTrialInc,feedbackMsg.started,feedbackMsg.stopped,AdjRTmsg,probeResp.rt,polygon.started,polygon.stopped,text.started,text.stopped,participant,prac_or_scan,run,date,expName,psychopyVersion,frameRate,
LgPun,4000,0,23,23,23,,,,,,,,192.911865013004,None,4000,194.93029629100056,None,None,194.93029629100056,None,1.53,"[0.2715647280056146, 0.37146648099587765, 0.3061468789965147, 0.35233363199949963, 0.2666429620003328, 0.33248993800225435, 0.27730592800071463, 0.3525808339982177, 0.284189673999208, 0.3531536509981379, 0.2991101749939844, 0.3342433469952084, 0.30234835400187876]",24,198.92975111200212,None,1,1,198.92975111200212,None,You did not lose $5.00!,5.0,4,20,0.47,54.166666666666664,0.31565973715288026,"[1, 1]",83.33333333333333,18,3,199.37046186600492,None,,0.30234835400187876,,,,,0006,Scanner,1,2019_Aug_20_1456,MID,3.1.5,24.005745688472174,
LgPun,2000,0,24,24,24,,,,,,,,200.91121492299862,None,2000,202.93141169100272,None,None,202.93141169100272,None,1.53,"[0.2715647280056146, 0.37146648099587765, 0.3061468789965147, 0.35233363199949963, 0.2666429620003328, 0.33248993800225435, 0.27730592800071463, 0.3525808339982177, 0.284189673999208, 0.3531536509981379, 0.2991101749939844, 0.3342433469952084, 0.30234835400187876]",25,204.93120391100092,None,None,0,204.93120391100092,None,You lost $5.00!,0.0,4,21,0.43999999999999995,52.0,0.31565973715288026,[],83.33333333333333,21,3,205.37073922900163,None,Adjusting RT...,,,,,,0006,Scanner,1,2019_Aug_20_1456,MID,3.1.5,24.005745688472174,
SmallPun,1500,0,25,25,25,,,,,,,,206.9120266040045,None,1500,208.9315481080048,None,None,208.9315481080048,None,1.56,"[0.2715647280056146, 0.37146648099587765, 0.3061468789965147, 0.35233363199949963, 0.2666429620003328, 0.33248993800225435, 0.27730592800071463, 0.3525808339982177, 0.284189673999208, 0.3531536509981379, 0.2991101749939844, 0.3342433469952084, 0.30234835400187876]",26,210.43221858800098,None,None,0,210.43221858800098,None,You lost $0.20!,-0.2,5,22,0.43999999999999995,50.0,0.31565973715288026,[0],83.33333333333333,21,3,210.8294388120048,None,,,,,,,0006,Scanner,1,2019_Aug_20_1456,MID,3.1.5,24.005745688472174,
LgPun,3000,0,26,26,26,,,,,,,,212.37100381200435,None,3000,214.38242337100382,None,None,214.38242337100382,None,1.56,"[0.2715647280056146, 0.37146648099587765, 0.3061468789965147, 0.35233363199949963, 0.2666429620003328, 0.33248993800225435, 0.27730592800071463, 0.3525808339982177, 0.284189673999208, 0.3531536509981379, 0.2991101749939844, 0.3342433469952084, 0.30234835400187876, 0.30213818100310164]",27,217.39004886399925,None,1,1,217.39004886399925,None,You did not lose $5.00!,-0.2,4,23,0.43999999999999995,51.85185185185185,0.3146939117136104,"[0, 1]",83.33333333333333,21,3,217.78667375900113,None,,0.30213818100310164,,,,,0006,Scanner,1,2019_Aug_20_1456,MID,3.1.5,24.005745688472174,
LgReward,2000,0,27,27,27,,,,,,,,219.3289561040001,None,2000,221.3503424810042,None,None,221.3503424810042,None,1.56,"[0.2715647280056146, 0.37146648099587765, 0.3061468789965147, 0.35233363199949963, 0.2666429620003328, 0.33248993800225435, 0.27730592800071463, 0.3525808339982177, 0.284189673999208, 0.3531536509981379, 0.2991101749939844, 0.3342433469952084, 0.30234835400187876, 0.30213818100310164]",28,223.36677066200355,None,None,0,223.36677066200355,None,You did not win $5.00!,-0.2,1,24,0.45999999999999996,50.0,0.3146939117136104,[],49.99999999999999,24,3,223.74623668999993,None,Adjusting RT...,,,,,,0006,Scanner,1,2019_Aug_20_1456,MID,3.1.5,24.005745688472174,
Triangle,1500,0,28,28,28,,,,,,,,225.2883597980035,None,1500,227.30013057799806,None,None,227.30013057799806,None,1.54,"[0.2715647280056146, 0.37146648099587765, 0.3061468789965147, 0.35233363199949963, 0.2666429620003328, 0.33248993800225435, 0.27730592800071463, 0.3525808339982177, 0.284189673999208, 0.3531536509981379, 0.2991101749939844, 0.3342433469952084, 0.30234835400187876, 0.30213818100310164]",29,228.8080164540006,None,None,0,228.8080164540006,None,You did not win or lose anything!,-0.2,3,24,0.45999999999999996,48.275862068965516,0.3146939117136104,[],49.99999999999999,24,3,229.2465682059992,None,,,,,,,0006,Scanner,1,2019_Aug_20_1456,MID,3.1.5,24.005745688472174,
Triangle,2000,0,29,29,29,,,,,,,,230.78756363600405,None,2000,232.80169291399943,None,None,232.80169291399943,None,1.54,"[0.2715647280056146, 0.37146648099587765, 0.3061468789965147, 0.35233363199949963, 0.2666429620003328, 0.33248993800225435, 0.27730592800071463, 0.3525808339982177, 0.284189673999208, 0.3531536509981379, 0.2991101749939844, 0.3342433469952084, 0.30234835400187876, 0.30213818100310164, 0.34324656300304923]",30,234.8068343660052,None,1,1,234.8068343660052,None,You did not win or lose anything!,-0.2,3,24,0.45999999999999996,50.0,0.31659742179957295,[],49.99999999999999,24,3,235.24685121900256,None,,0.34324656300304923,,,,,0006,Scanner,1,2019_Aug_20_1456,MID,3.1.5,24.005745688472174,
SmallReward,4000,0,30,30,30,,,,,,,,236.78767016000347,None,4000,238.8025367279988,None,None,238.8025367279988,None,1.54,"[0.2715647280056146, 0.37146648099587765, 0.3061468789965147, 0.35233363199949963, 0.2666429620003328, 0.33248993800225435, 0.27730592800071463, 0.3525808339982177, 0.284189673999208, 0.3531536509981379, 0.2991101749939844, 0.3342433469952084, 0.30234835400187876, 0.30213818100310164, 0.34324656300304923, 0.3020501639985014]",31,242.8210307920017,None,1,1,242.8210307920017,None,You won $0.20!,0.0,2,25,0.45999999999999996,51.61290322580645,0.315688218187006,[1],49.99999999999999,24,3,243.2489028609998,None,,0.3020501639985014,,,,,0006,Scanner,1,2019_Aug_20_1456,MID,3.1.5,24.005745688472174,
Triangle,4000,0,31,31,31,,,,,,,,244.7887003979995,None,4000,246.80293010500463,None,None,246.80293010500463,None,1.54,"[0.2715647280056146, 0.37146648099587765, 0.3061468789965147, 0.35233363199949963, 0.2666429620003328, 0.33248993800225435, 0.27730592800071463, 0.3525808339982177, 0.284189673999208, 0.3531536509981379, 0.2991101749939844, 0.3342433469952084, 0.30234835400187876, 0.30213818100310164, 0.34324656300304923, 0.3020501639985014]",32,250.80810308400396,None,None,0,250.80810308400396,None,You did not win or lose anything!,0.0,3,25,0.45999999999999996,50.0,0.315688218187006,[1],49.99999999999999,24,3,251.24796991900075,None,,,,,,,0006,Scanner,1,2019_Aug_20_1456,MID,3.1.5,24.005745688472174,
SmallReward,3500,0,32,32,32,,,,,,,,252.7895344760036,None,3500,254.80431414100167,None,None,254.80431414100167,None,1.54,"[0.2715647280056146, 0.37146648099587765, 0.3061468789965147, 0.35233363199949963, 0.2666429620003328, 0.33248993800225435, 0.27730592800071463, 0.3525808339982177, 0.284189673999208, 0.3531536509981379, 0.2991101749939844, 0.3342433469952084, 0.30234835400187876, 0.30213818100310164, 0.34324656300304923, 0.3020501639985014, 0.3055062390048988]",33,258.32269184300094,None,1,1,258.32269184300094,None,You won $0.20!,0.2,2,26,0.45999999999999996,51.515151515151516,0.31508927823511734,"[1, 1]",49.99999999999999,24,3,258.74947268699907,None,,0.3055062390048988,,,,,0006,Scanner,1,2019_Aug_20_1456,MID,3.1.5,24.005745688472174,
