Condition,FixationDur,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,TrialOrder,cueImage.started,cueImage.stopped,FixationDur,fixation.started,fixation.stopped,fixationResp.keys,fixationResp.started,fixationResp.stopped,feedbackDur,Trial counter,Target.started,Target.stopped,probeResp.keys,probeResp.corr,probeResp.started,probeResp.stopped,msg,TrackEarnings,TrialType,NonNeutralTrialsNum,probeDur,percentacc_total,meanrt,UserAcc,Acc,AdjTrial,AdjTrialInc,AdjRTmsg,participant,prac_or_scan,run,date,expName,psychopyVersion,frameRate,
SmallPun,2500,0,27,27,27,,185.46608182998898,None,2500,187.4998327959911,None,None,187.4998327959911,None,1.5,28,190.01464197300083,None,None,0,190.01464197300083,None,You lost $0.20!,-35.800000000000004,5,22,0.5,0.0,nan,[0],0.0,21,3,,0009,Scanner,1,2019_Aug_21_0939,MID,3.1.5,59.86949061705388,
Triangle,4000,0,28,28,28,,191.967162076995,None,4000,194.00044722598977,None,None,194.00044722598977,None,1.5,29,198.01441407999664,None,None,0,198.01441407999664,None,You did not win or lose anything!,-35.800000000000004,3,22,0.5,0.0,nan,[0],0.0,21,3,,0009,Scanner,1,2019_Aug_21_0939,MID,3.1.5,59.86949061705388,
LgPun,3500,0,29,29,29,,199.96760384200024,None,3500,202.00181653098844,None,None,202.00181653098844,None,1.5,30,205.51573383899813,None,None,0,205.51573383899813,None,You lost $5.00!,-40.800000000000004,4,23,0.5,0.0,nan,"[0, 0]",0.0,21,3,,0009,Scanner,1,2019_Aug_21_0939,MID,3.1.5,59.86949061705388,
Triangle,1500,0,30,30,30,,207.46895998698892,None,1500,209.5030075659888,None,None,209.5030075659888,None,1.5,31,211.00317108799936,None,None,0,211.00317108799936,None,You did not win or lose anything!,-40.800000000000004,3,23,0.5,0.0,nan,"[0, 0]",0.0,21,3,,0009,Scanner,1,2019_Aug_21_0939,MID,3.1.5,59.86949061705388,
LgReward,3000,0,31,31,31,,212.99381427199114,None,3000,215.00318051899376,None,None,215.00318051899376,None,1.5,32,218.031027953999,None,None,0,218.031027953999,None,You did not win $5.00!,-40.800000000000004,1,24,0.5,0.0,nan,[],0.0,24,3,Adjusting RT...,0009,Scanner,1,2019_Aug_21_0939,MID,3.1.5,59.86949061705388,
Triangle,2500,0,32,32,32,,219.97077048299252,None,2500,222.00456509599462,None,None,222.00456509599462,None,1.5,33,224.5184752139903,None,None,0,224.5184752139903,None,You did not win or lose anything!,-40.800000000000004,3,24,0.5,0.0,nan,[],0.0,24,3,,0009,Scanner,1,2019_Aug_21_0939,MID,3.1.5,59.86949061705388,
Triangle,2000,0,33,33,33,,226.47092358399823,None,2000,228.5054710599943,None,None,228.5054710599943,None,1.5,34,230.50517591599782,None,None,0,230.50517591599782,None,You did not win or lose anything!,-40.800000000000004,3,24,0.5,0.0,nan,[],0.0,24,3,,0009,Scanner,1,2019_Aug_21_0939,MID,3.1.5,59.86949061705388,
SmallReward,1500,0,34,34,34,,232.4895327189879,None,1500,234.50651681899035,None,None,234.50651681899035,None,1.5,35,236.0232716009923,None,None,0,236.0232716009923,None,You did not win $0.20!,-40.800000000000004,2,25,0.5,0.0,nan,[0],0.0,24,3,,0009,Scanner,1,2019_Aug_21_0939,MID,3.1.5,59.86949061705388,
LgPun,2000,0,35,35,35,,237.97449973299808,None,2000,240.00675572598993,None,None,240.00675572598993,None,1.5,36,242.02017850699485,None,None,0,242.02017850699485,None,You lost $5.00!,-45.800000000000004,4,26,0.5,0.0,nan,"[0, 0]",0.0,24,3,,0009,Scanner,1,2019_Aug_21_0939,MID,3.1.5,59.86949061705388,
SmallReward,3000,0,36,36,36,,243.99051168699225,None,3000,246.0073860249977,None,None,246.0073860249977,None,1.5,37,249.02343876598752,None,None,0,249.02343876598752,None,You did not win $0.20!,-45.800000000000004,2,27,0.5,0.0,nan,[],0.0,27,3,Adjusting RT...,0009,Scanner,1,2019_Aug_21_0939,MID,3.1.5,59.86949061705388,
