Condition,FixationDur,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,preinstruc_text.started,preinstruc_text.stopped,instructFig.started,instructFig.stopped,PrepFixation.started,PrepFixation.stopped,TrialOrder,cueImage.started,cueImage.stopped,FixationDur,fixation.started,fixation.stopped,fixationResp.keys,fixationResp.started,fixationResp.stopped,feedbackDur,rt_list,Trial counter,Target.started,Target.stopped,probeResp.keys,probeResp.corr,probeResp.started,probeResp.stopped,msg,TrackEarnings,TrialType,NonNeutralTrialsNum,probeDur,percentacc_total,meanrt,UserAcc,Acc,AdjTrial,AdjTrialInc,feedbackMsg.started,feedbackMsg.stopped,AdjRTmsg,polygon.started,polygon.stopped,text.started,text.stopped,participant,prac_or_scan,run,date,expName,psychopyVersion,frameRate,
SmallPun,4000,0,38,38,38,,,,,,,,266.71759079100593,None,4000,268.74641145800706,None,None,268.74641145800706,None,1.5,[],39,272.7472274920001,None,None,0,272.7472274920001,None,You lost $0.20!,-36.400000000000006,5,31,0.5,0.0,nan,[0],0.0,30,3,273.23031780500605,None,,,,,,0005,Scanner,1,2019_Aug_20_1227,MID,3.1.5,60.11706692493159,
LgPun,2000,0,39,39,39,,,,,,,,274.7185502230059,None,2000,276.74721027400665,None,None,276.74721027400665,None,1.5,[],40,278.7491132830037,None,None,0,278.7491132830037,None,You lost $5.00!,-41.400000000000006,4,32,0.5,0.0,nan,"[0, 0]",0.0,30,3,279.230889972001,None,,,,,,0005,Scanner,1,2019_Aug_20_1227,MID,3.1.5,60.11706692493159,
Triangle,3500,0,40,40,40,,,,,,,,280.71954620300676,None,3500,282.74820591200114,None,None,282.74820591200114,None,1.5,[],41,286.249412353005,None,None,0,286.249412353005,None,You did not win or lose anything!,-41.400000000000006,3,32,0.5,0.0,nan,"[0, 0]",0.0,30,3,286.732326491001,None,,,,,,0005,Scanner,1,2019_Aug_20_1227,MID,3.1.5,60.11706692493159,
SmallReward,1500,0,41,41,41,,,,,,,,288.23677826100175,None,1500,290.249150913005,None,None,290.249150913005,None,1.5,[],42,291.76560829200025,None,None,0,291.76560829200025,None,You did not win $0.20!,-41.400000000000006,2,33,0.5,0.0,nan,[],0.0,33,3,292.23216009500175,None,Adjusting RT...,,,,,0005,Scanner,1,2019_Aug_20_1227,MID,3.1.5,60.11706692493159,
SmallPun,2000,0,42,42,42,,,,,,,,293.72114497500297,None,2000,295.7492639530028,None,None,295.7492639530028,None,1.5,[],43,297.750110468005,None,None,0,297.750110468005,None,You lost $0.20!,-41.60000000000001,5,34,0.5,0.0,nan,[0],0.0,33,3,298.23325762200693,None,,,,,,0005,Scanner,1,2019_Aug_20_1227,MID,3.1.5,60.11706692493159,
SmallReward,3000,0,43,43,43,,,,,,,,299.7361727170064,None,3000,301.7496983000019,None,None,301.7496983000019,None,1.5,[],44,304.7710238170039,None,None,0,304.7710238170039,None,You did not win $0.20!,-41.60000000000001,2,35,0.5,0.0,nan,"[0, 0]",0.0,33,3,305.23355550700217,None,,,,,,0005,Scanner,1,2019_Aug_20_1227,MID,3.1.5,60.11706692493159,
SmallPun,1500,0,44,44,44,,,,,,,,306.7193873970027,None,1500,308.75140668400127,None,None,308.75140668400127,None,1.5,[],45,310.25255540000217,None,None,0,310.25255540000217,None,You lost $0.20!,-41.80000000000001,5,36,0.5,0.0,nan,[],0.0,36,3,310.7351438810001,None,Adjusting RT...,,,,,0005,Scanner,1,2019_Aug_20_1227,MID,3.1.5,60.11706692493159,
LgPun,3500,0,45,45,45,,,,,,,,312.2236045650061,None,3500,314.252139672004,None,None,314.252139672004,None,1.5,[],46,317.7525402260071,None,None,0,317.7525402260071,None,You lost $5.00!,-46.80000000000001,4,37,0.5,0.0,nan,[0],0.0,36,3,318.23565559200506,None,,,,,,0005,Scanner,1,2019_Aug_20_1227,MID,3.1.5,60.11706692493159,
Triangle,1500,0,46,46,46,,,,,,,,319.7246828250063,None,1500,321.7529914400002,None,None,321.7529914400002,None,1.5,[],47,323.2543276050055,None,None,0,323.2543276050055,None,You did not win or lose anything!,-46.80000000000001,3,37,0.5,0.0,nan,[0],0.0,36,3,323.7365867230037,None,,,,,,0005,Scanner,1,2019_Aug_20_1227,MID,3.1.5,60.11706692493159,
LgReward,2500,0,47,47,47,,,,,,,,325.2378678390014,None,2500,327.2541235030003,None,None,327.2541235030003,None,1.5,[],48,329.77055730600114,None,None,0,329.77055730600114,None,You did not win $5.00!,-46.80000000000001,1,38,0.5,0.0,nan,"[0, 0]",0.0,36,3,330.2373927640001,None,,,,,,0005,Scanner,1,2019_Aug_20_1227,MID,3.1.5,60.11706692493159,
LgPun,2000,0,48,48,48,,,,,,,,331.72608738800045,None,2000,333.756090106006,None,None,333.756090106006,None,1.5,[],49,335.755822981002,None,None,0,335.755822981002,None,You lost $5.00!,-51.80000000000001,4,39,0.5,0.0,nan,[],0.0,39,3,336.2384068040046,None,Adjusting RT...,,,,,0005,Scanner,1,2019_Aug_20_1227,MID,3.1.5,60.11706692493159,
SmallPun,1500,0,49,49,49,,,,,,,,337.7270701210073,None,1500,339.75579939100135,None,None,339.75579939100135,None,1.5,[],50,341.2569648630015,None,None,0,341.2569648630015,None,You lost $0.20!,-52.000000000000014,5,40,0.5,0.0,nan,[0],0.0,39,3,341.7397637450049,None,,,,,,0005,Scanner,1,2019_Aug_20_1227,MID,3.1.5,60.11706692493159,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0005,Scanner,1,2019_Aug_20_1227,MID,3.1.5,60.11706692493159,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,343.2223291150003,None,348.24023009500524,None,,,,,,,,
